逐字逐句 逐字逐句	62-2139-B
逐年	62-2234-S
逐年 逐年	62-2234-B
逐次	62-2303-S
逐次 逐次	62-2303-B
逐步	62-2380-S
逐步 逐步	62-2380-B
逐步升級 逐步升级	62-2439-B
逐步升级	62-2439-S
逐渐	62-2505-S
逐漸 逐渐	62-2505-B
逐行	62-2549-S,62-2609-S
逐行 逐行	62-2549-B,62-2609-B
逐行扫描	62-2655-S
逐行掃描 逐行扫描	62-2655-B
逐退	62-2755-S
逐退 逐退	62-2755-B
逑	62-2796-S
逑 逑	62-2796-B
递	62-59643-S
递交	62-59693-S
递升	62-59745-S
递增	62-59803-S
递嬗	62-59881-S
递解	62-59938-S
递进	62-60067-S
递送	62-60021-S
逓	62-2835-S
逓 逓	62-2835-B
途	62-2884-S
途 途	62-2884-B
途中	62-2920-S
途中 途中	62-2920-B
途径	62-2963-S
途徑 途径	62-2963-B
逕 迳	62-3008-B
逕向 迳向	62-3056-B
逕庭 迳庭	62-3099-B
逕流 迳流	62-3149-B
逕直 迳直	62-3190-B
逕自 迳自	62-3240-B
逕賽 迳赛	62-3312-B
逕跡 迳迹	62-3352-B
逖	62-3391-S
逖 逖	62-3391-B
逗	62-3416-S
逗 逗	62-3416-B
逗乐	62-4141-S
逗人	62-3500-S
逗人 逗人	62-3500-B
逗人发笑	62-3618-S
逗人喜愛 逗人喜爱	62-3560-B
逗人喜爱	62-3560-S
逗人發笑 逗人发笑	62-3618-B
逗号	62-4415-S
逗哈哈	62-3694-S
逗哈哈 逗哈哈	62-3694-B
逗哏	62-3760-S
逗哏 逗哏	62-3760-B
逗嘴	62-3929-S
逗嘴 逗嘴	62-3929-B
逗弄	62-3972-S
逗弄 逗弄	62-3972-B
逗引	62-4026-S
逗引 逗引	62-4026-B
逗情	62-4074-S
逗情 逗情	62-4074-B
逗樂 逗乐	62-4141-B
逗点	62-4606-S
逗留	62-4226-S
逗留 逗留	62-4226-B
逗笑	62-4279-S
逗笑 逗笑	62-4279-B
逗笑儿	62-4348-S
逗笑兒 逗笑儿	62-4348-B
逗號 逗号	62-4415-B
逗趣	62-4463-S
逗趣 逗趣	62-4463-B
逗趣儿	62-4530-S
逗趣兒 逗趣儿	62-4530-B
逗點 逗点	62-4606-B
這 这	62-4646-B
這些 这些	62-4726-B
這些個 这些个	62-4765-B
這位 这位	62-4814-B
這個 这个	62-4861-B
這個月 这个月	62-4906-B
這兒 这儿	62-4979-B
這咱 这咱	62-5015-B
這天 这天	62-5067-B
這山望著那山高 这山望着那山高	62-5116-B
這幾天 这几天	62-5361-B
這早晚兒 这早晚儿	62-5423-B
這時 这时	62-5503-B
這會兒 这会儿	62-5564-B
這樣 这样	62-5618-B
這樣一來 这样一来	62-5666-B
這樣吧 这样吧	62-5747-B
這次 这次	62-5813-B
這次危機 这次危机	62-5865-B
這種 这种	62-5948-B
這種方式 这种方式	62-6027-B
這裏	62-6099-S
這裏 這裏	62-6099-B
這裡 这里	62-6161-B
這邊 这边	62-6198-B
這邊兒 这边儿	62-6247-B
這陣兒 这阵儿	62-6321-B
這陣子 这阵子	62-6396-B
這項 这项	62-6471-B
這類 这类	62-6519-B
這麼 这么	62-6567-B
這麼樣 这么样	62-6645-B
這麼著 这么着	62-6705-B
通	62-6773-S
通 通	62-6773-B
通书	62-10057-S
通什	62-6854-S
通什 通什	62-6854-B
通佈圖 通布图	62-6917-B
通俗	62-7015-S
通俗 通俗	62-7015-B
