况且	37-28007-S
冶	8-20369-S
冶 冶	8-20369-B
冶炼	8-20396-S
冶炼炉	8-20444-S
冶煉 冶炼	8-20396-B
冶煉爐 冶炼炉	8-20444-B
冶金	8-20516-S
冶金 冶金	8-20516-B
冶金学	8-20559-S
冶金學 冶金学	8-20559-B
冷	8-20613-S
冷 冷	8-20613-B
冷冷	8-20641-S
冷冷 冷冷	8-20641-B
冷冻	8-20682-S
冷凍 冷冻	8-20682-B
冷却	8-20742-S
冷却剂	8-20793-S
冷却塔	8-20845-S
冷却水	8-20903-S
冷卻 冷却	8-20742-B
冷卻劑 冷却剂	8-20793-B
冷卻塔 冷却塔	8-20845-B
冷卻水 冷却水	8-20903-B
冷天	8-20978-S
冷天 冷天	8-20978-B
冷字	8-21038-S
冷字 冷字	8-21038-B
冷战	8-21105-S
冷战以后	8-21179-S
冷戰 冷战	8-21105-B
冷戰以後 冷战以后	8-21179-B
冷房	8-21249-S
冷房 冷房	8-21249-B
冷暖自知	8-21293-S
冷暖自知 冷暖自知	8-21293-B
冷森森	8-21423-S
冷森森 冷森森	8-21423-B
冷气	8-21503-S
冷气机	8-21570-S
冷氣 冷气	8-21503-B
冷氣機 冷气机	8-21570-B
冷水	8-21629-S
冷水 冷水	8-21629-B
冷水江	8-21720-S
冷水江 冷水江	8-21720-B
冷水滩	8-21802-S
冷水灘 冷水滩	8-21802-B
冷涩	8-22308-S
冷淡	8-21880-S
冷淡 冷淡	8-21880-B
冷淡关系	8-21931-S
冷淡關係 冷淡关系	8-21931-B
冷湖	8-22027-S
冷湖 冷湖	8-22027-B
冷漠	8-22090-S
冷漠 冷漠	8-22090-B
冷漠对待	8-22188-S
冷漠對待 冷漠对待	8-22188-B
冷澀 冷涩	8-22308-B
冷热度数	8-22366-S
冷熱度數 冷热度数	8-22366-B
冷眼	8-22458-S
冷眼 冷眼	8-22458-B
冷眼旁觀 冷眼旁观	8-22548-B
冷眼旁观	8-22548-S
冷笑	8-22659-S
冷笑 冷笑	8-22659-B
冷艳	8-22755-S
冷艷 冷艳	8-22755-B
冷若冰霜	8-22818-S
冷若冰霜 冷若冰霜	8-22818-B
冷落	8-22947-S
冷落 冷落	8-22947-B
冷藏	8-23047-S
冷藏 冷藏	8-23047-B
冷血	8-23123-S
冷血 冷血	8-23123-B
冷血动物	8-23190-S
冷血動物 冷血动物	8-23190-B
冷言冷語 冷言冷语	8-23291-B
冷言冷语	8-23291-S
冷語 冷语	8-23392-B
冷语	8-23392-S
冷軋 冷轧	8-23458-B
冷轧	8-23458-S
冷遇	8-23530-S
冷遇 冷遇	8-23530-B
冷酷	8-23600-S
冷酷 冷酷	8-23600-B
冷酷无情	8-23656-S
冷酷無情 冷酷无情	8-23656-B
冷門 冷门	8-23742-B
冷门	8-23742-S
冷静	8-23804-S
冷靜 冷静	8-23804-B
冷面	8-23856-S,8-23953-S
冷面 冷面	8-23856-B
冷飲 冷饮	8-23908-B
冷饮	8-23908-S
冷麵 冷面	8-23953-B
冻	8-27120-S
冻土	8-27153-S
冻死	8-27217-S
冻硬	8-27290-S
冻穿	8-27354-S
冻结	8-27410-S
冻雨	8-27450-S
冼	8-24043-S
冼 冼	8-24043-B
冼星海	8-24079-S
冼星海 冼星海	8-24079-B
冽	8-24150-S
冽 冽	8-24150-B
净	38-44504-S
净值	38-44549-S
净化	38-44587-S
净土	38-44628-S
净尽	38-44752-S
净现值	38-44682-S
凄	8-24185-S
凄 凄	8-24185-B
凄凄	8-24258-S
凄凄 凄凄	8-24258-B
凄凉	8-24845-S,38-41751-S
凄切	8-24305-S
凄切 凄切	8-24305-B
凄厉	8-24353-S
凄厲 凄厉	8-24353-B
凄哀	8-24399-S
凄哀 凄哀	8-24399-B
凄婉	8-24448-S
凄婉 凄婉	8-24448-B
凄寒	8-24496-S
凄寒 凄寒	8-24496-B
凄怆	8-24667-S
凄恻	8-24614-S
凄惋	8-24546-S
凄惋 凄惋	8-24546-B
凄惨	38-41690-S
凄惻 凄恻	8-24614-B
凄愴 凄怆	8-24667-B
凄暗	8-25251-S
凄梗	8-24731-S
凄梗 凄梗	8-24731-B
凄楚	8-24790-S
凄楚 凄楚	8-24790-B
凄涼 凄凉	8-24845-B
凄清	8-24904-S
凄清 凄清	8-24904-B
凄然	8-24954-S
凄然 凄然	8-24954-B
凄苦	8-24998-S
凄苦 凄苦	8-24998-B
凄迷	8-25045-S
凄迷 凄迷	8-25045-B
凄風苦雨 凄风苦雨	8-25101-B
凄风苦雨	8-25101-S
凄黯 凄暗	8-25251-B
凅	8-25296-S
凅 凅	8-25296-B
准	8-25340-S,39-16476-S
准 准	8-25340-B
准则	39-16637-S
准噶尔	39-16694-S
准噶尔翼龙	39-16745-S
准备	39-16517-S
准备好了	39-16571-S
准将	39-16846-S
准时	39-16916-S
准格尔旗	39-16979-S
准格尔盆地	39-17075-S
准确	39-17222-S
准确性	39-17279-S
准稳旋涡结构	39-17334-S
准葛尔盆地	39-17466-S
准許 准许	8-25409-B
准许	8-25409-S
凇	8-25470-S
凇 凇	8-25470-B
凈	8-25500-S
凈 凈	8-25500-B
凉	38-38850-S
凉亭	38-38923-S
凉城	38-38968-S
凉山彝族自治州	38-39046-S
凉快	38-39188-S
凉拌	38-39253-S
凉水	38-39360-S
凉爽	38-39422-S
凉茶	38-39480-S
凉鞋	38-39532-S
凉风	38-39574-S
凊	8-25548-S
凊 凊	8-25548-B
凋	8-25590-S
凋 凋	8-25590-B
凋敝	8-25622-S
凋敝 凋敝	8-25622-B
凋謝 凋谢	8-25704-B
凋谢	8-25704-S
凌	8-25747-S
凌 凌	8-25747-B
凌乱	8-25807-S
凌亂 凌乱	8-25807-B
凌云	8-27055-S
凌夷	8-25848-S
凌夷 凌夷	8-25848-B
凌志	8-25936-S
凌志 凌志	8-25936-B
凌晨	8-25976-S
凌晨 凌晨	8-25976-B
凌杂	8-26929-S
凌杂米盐	8-26974-S
凌汛	8-26032-S
凌汛 凌汛	8-26032-B
凌河	8-26139-S
凌河 凌河	8-26139-B
凌河区	8-26224-S
凌河區 凌河区	8-26224-B
凌海	8-26319-S
凌海 凌海	8-26319-B
凌海市	8-26404-S
凌海市 凌海市	8-26404-B
凌源	8-26500-S
凌源 凌源	8-26500-B
凌源市	8-26588-S
凌源市 凌源市	8-26588-B
凌濛初	8-26687-S
凌濛初 凌濛初	8-26687-B
凌空	8-26758-S
凌空 凌空	8-26758-B
凌蒙初	8-26815-S
凌蒙初 凌蒙初	8-26815-B
凌辱	8-26886-S
凌辱 凌辱	8-26886-B
凌雜 凌杂	8-26929-B
凌雜米鹽 凌杂米盐	8-26974-B
凌雲 凌云	8-27055-B
凍 冻	8-27120-B
凍土 冻土	8-27153-B
凍死 冻死	8-27217-B
凍硬 冻硬	8-27290-B
凍穿 冻穿	8-27354-B
凍結 冻结	8-27410-B
凍雨 冻雨	8-27450-B
减	38-66655-S
减产	39-877-S
减价	38-66856-S
减低	38-66733-S
减低速度	38-66785-S
减免	38-66943-S
减刑	39-0-S
减半	39-92-S
减压	39-242-S
减去	39-144-S
减小	39-303-S
减少	39-372-S
减弱	39-448-S
减慢	39-504-S
减掉	39-551-S
减排	39-595-S
减数分裂	39-649-S
减核	39-713-S
减法	39-769-S
减灾	39-814-S
减税	39-972-S
减缓	39-1015-S
减肥	39-1073-S
减轻	39-1122-S
减退	39-1189-S
减速	39-1252-S
减速器	39-1330-S
凑	39-9185-S
凑合	39-9254-S
凑巧	39-9368-S
凑成	39-9440-S
凑手	39-9574-S
凑热闹	39-9651-S
凑齐	39-9784-S
凔	8-27489-S
凔 凔	8-27489-B
凛	8-27517-S
凛冽	8-27564-S
凜 凛	8-27517-B
凜冽 凛冽	8-27564-B
凝	8-27609-S
凝 凝	8-27609-B
凝固	8-27677-S
凝固 凝固	8-27677-B
凝固点	8-27768-S
凝固點 凝固点	8-27768-B
凝块	8-27828-S
凝塊 凝块	8-27828-B
凝望	8-27879-S
凝望 凝望	8-27879-B
凝滞	8-27960-S
凝滯 凝滞	8-27960-B
凝結 凝结	8-28005-B
凝練 凝练	8-28092-B
凝练	8-28092-S
凝结	8-28005-S
凝聚	8-28153-S
凝聚 凝聚	8-28153-B
凝聚力	8-28230-S
凝聚力 凝聚力	8-28230-B
凝聚态	8-28304-S
凝聚態 凝聚态	8-28304-B
凝胶	8-28373-S
凝膠 凝胶	8-28373-B
凝血	8-28412-S
凝血 凝血	8-28412-B
凝血脢	8-28457-S
凝血脢 凝血脢	8-28457-B
凝血脢原	8-28511-S
凝血脢原 凝血脢原	8-28511-B
凝視 凝视	8-28580-B
凝視時間 凝视时间	8-28619-B
凝视	8-28580-S
凝视时间	8-28619-S
凝集	8-28690-S
凝集 凝集	8-28690-B
