machete	18-332-B
machine	18-354-B
machinery/ splendor, magnificence.	11-6558-S
machless, unique. .	5-2420-S
mad, out of one's mind, foolish.	16-3665-S
mad.	18-376-B
made firm.	20-6452-S
made known.	25-2944-S
made of canvas.	18-390-B
made of copper or bronze, brazen.	18-416-B
made of flax.	2-7251-S
made of flesh.	18-464-B
made of iron /hard, unfeeliing, cruel, unbending.	18-487-B
made of iron, or shod with iron.	39-3834-S
made of lead /dull, stupid, heavy, opressive, bad.	17-2601-S
made of rushes.	18-545-B
made or reed -- pen, arrow, pipe, etc.	5-4868-S
made public, publicized.	18-569-B
made safe, secured/ fenced/ secured by law.	3-1697-S
made safe.	3-1560-S
made up of different substances, heterogenous.	8-5800-S
made up of pieces.	20-3164-S
made up.	23-1104-S
made, be done, become.	6-4295-S
made.	1-6230-S,5-6226-S,12-2844-S,24-5304-S
madness, folly.	16-3724-S
madness, fury, frenzy.	18-604-B
madness, rage, frenzy.	18-634-B
madness.	18-663-B
magic has me in its spell.	1-3734-S
magical /witch, wizard, caster of spells.	21-3200-S
magical.	18-679-B
magistrate.	18-694-B
magnanimity.	18-780-S
magnate, prince.	3-142-S
magnate.	3-1396-S
magnates, great lords, the best people, the upper class.	18-713-B
magnates.	21-5298-S
magnificence, splendor, eminence, magnanimity.	18-780-B
magnificence.	11-6558-S
magnificent.	11-4907-S,25-2575-S
magnify, glorify, honor /slay, fight, punish, afflict.	34-3992-S
magpie.	16-6182-S
maiden, virgin, young girl.	18-841-B
maiden.	18-875-B
maidservant, also used by nuns to decribe themselves.	18-889-B
mail], a knight's service.	15-136-S
maim, mutilate, mangle /imperfect, not whole, missing a part.	18-951-B
main consideration.	3-3133-S
main point, support.	25-5120-S
main verb for weaving of cloth.	27-212-S
main, open sea.	18-1020-B
maintain /shoot (a missile), cast.	28-1793-S
maintain /to continue.	33-4226-S
maintain that, be willing.	39-2761-S
maintain, keep up, carry out, fulfill, accomplish.	34-4056-S
maintain, keep, hold to.	35-4328-S
maintain, keep.	19-4293-S
maintain, support, accept, receive, undertake.	35-7497-S
maintain, sustain.	34-4119-S
maintain.	33-3954-S,33-4281-S
maintain/ strengthen, make firm / encourage.	28-1848-S
maintenance, resource,.	26-155-S
mainz.	18-1044-B
maior = still greater.	1-1316-S
majesty, dignity, greatness.	18-1061-B
make /duplicate, copy.	32-4540-S
make a bargain or agreement, covenant, deal.	34-4150-S
make a claim.	30-6739-S
make a deal.	37-6775-S
make a diligent search for, examine.	34-4207-S
make a face.	34-4256-S
make a hole, penetrate.	29-2604-S
make a loan.	34-4282-S
make a mound, heap up, increase.	34-4310-S
make a noise /sing /celebrate/ (of words) to mean.	34-4353-S
