native.	19-5500-S,19-5539-S
natural science.	3-6378-S
natural, plain.	23-2765-S
nature of being.	19-1537-B
nature.	2-9242-S,16-3402-S,19-1559-B,22-2924-S
naught, destroy, annul, make void.	29-4180-S
naval squadron /part of line of battle /sails, oars.	41-6030-S
navi) to swim, float, fly, sail.	2-5002-S
navigate.	36-5832-S
navigation.	19-1574-B,41-394-S
nay, should i say, on the contrary.	19-1595-B
ne] shudder at, be horrified at.	27-4355-S
near /(things) to be added.	28-481-S
near /haunt, frequent /besiege, invest.	37-2444-S
near at hand.	27-2065-S
near cisoing.	26-4203-S
near to, not far, not long from now.	19-1685-S
near to/ (time) just before.	1-967-S
near, approach, near.	3-0-S
near, approach.	2-2660-S
near, approaching, appropriate, appositively.	21-1854-S
near, be in attendance,.	28-1966-S
near, close at hand, be under, be subject.	28-5523-S
near, close, on account of, because of.	1-1132-S
near, close, similar, nearly related.	19-1636-B
near, come close, approach.	1-1997-S
near, draw near, approach.	2-2660-S
near, drawn near, come close, approach.	1-1997-S
near, near to, not far, not long from now.	19-1685-B
near, nearly, not far from, just now, closely.	19-1734-B
near, put to, serve, put on the table.	35-2205-S
near.	3-0-S
near/ in like manner, equally.	8-3903-S
near;y, not quite, generally.	5-2361-S
nearest, closest, next.	19-1787-B
nearly related.	19-1636-S
nearly, almost.	19-1820-B
nearly, not far from, just now, closely.	19-1734-S
nearness, closeness.	16-4868-S
neat, correct.	8-3454-S
neat, elegant.	8-3483-S
neat.	23-1652-S
necessary, needed, essential, necessary.	19-1848-B
necessary, unavoidable, indispensable.	1-4195-S
necessary.	15-5766-S,19-1848-S
neck, boldness.	19-1901-B
neck, throat, gullet.	19-1924-B
neck.	19-1953-B
need of, destitute.	16-998-S
need of.	36-3336-S
need, exigency, unavoidability.	19-1966-B
need, lack, want, be without.	34-7163-S
need, needy, wthout resources.	21-3374-S
need, require.	30-1943-S
need, stand in need of.	36-3336-S
need, trouble, distress.	10-5243-S
need.	42-419-S
needed, essential, necessary.	19-1848-S
needed.	19-2009-S
needful of.	10-4136-S
needful, it behooves.	16-5866-S
needful, things needed.	19-2009-B
needle.	34-7201-S
needy, wthout resources.	21-3374-S
needy.	34-7222-S
negative, containing a no, rejection.	19-2045-B
negative] care nothing for.	27-4401-S
neglect, careless, negligent.	19-2094-B
neglect, lack of cultivation.	19-2135-B
neglect, overlook.	28-4955-S
neglect, passing over, omission.	19-2174-B
neglect.	7-6271-S
neglected, dilapidated.	19-2235-B
neglected.	40-3293-S
negligent, thoughtless, feckless.	15-6139-S
negligent.	19-2094-S
negligently, carelessly.	19-2266-B
negotiation.	8-6592-S
neigborhood, quarter (or a city), street.	40-6395-S
neighbor.	19-2301-B
neighbor/ (med.) resident.	19-2318-B
neighborhood, limit.	19-2353-B
neighborhood.	22-6538-S
neighboring, adjacent, related to, similar.	19-2383-B
neither .. nor.	19-2447-B
neither good nor bad.	19-2478-B
neither nor.	19-2512-B
nest / hive of bees / seat.	6-5170-S
nest for young birds.	19-2536-B
net, seine / a clean sweep.	3-4662-S
