other hand.	16-816-S
other meanings.	15-2550-S
other one.	27-704-S
other respects.	11-4805-S
other than greece or rome, savagery, rudeness.	3-3646-S
other than.	3-2097-S,20-3731-B
other, another, someone else, something else.	20-3756-B
other, by turns, mutually, each other.	20-1104-S
other, the rest.	27-368-S
other, time after time.	23-380-S
other.	20-1104-S,27-331-S
others.	25-648-S,27-506-S,30-2445-S
otherwise bring upon, enter, be troublesome.	35-264-S
otherwise than.	10-5110-S
otherwise, in another way, in a different fashion.	20-3821-B
otherwise, in some respects /in general.	1-5451-S
otherwise, moreover, but.	1-5508-S
otherwise, not so.	20-3879-B
otherwise.	1-5549-S,1-5575-S,6-774-S,13-2841-S
ouen.	25-3271-S
ought.	16-5902-S
ounce.	4-1365-S
our hearts beat as one.	20-3904-S
our ours /our hearts beat as one.	20-3904-B
our ours /that old dream of ours.	20-3952-B
our, ours.	20-4000-B
ours /our hearts beat as one.	20-3904-S
ours /that old dream of ours.	20-3952-S
ours.	20-3952-S,20-4000-S
out (+ relexive) sail away, ride away.	2-9751-S
out (like bees).	29-2461-S
out (like molten metal), melt, cast.	35-3768-S
out / estimate, ponder, consider / pay, purchase.	39-2075-S
out / get off / escape / result.	33-307-S
out / pay.	39-1961-S
out / paying, payment, rent / day of payment.	4-1641-S
out / raze, demolish.	31-1363-S
out / reading, perusal.	24-1103-S
out / turn out, result.	38-2461-S
out /a projection.	16-6933-S
out /let go.	34-8152-S
out /result, prosper /turn out well.	33-195-S
out beneath, lay under, set out, provide.	37-4318-S
out by cares.	7-6175-S
out cheeks.	3-5847-S
out colonists, found a colony.	33-7171-S
out for.	3-1112-S,28-2952-S
out of (one out of many).	2-8182-S
out of doors / + dare = to publish.	20-4413-S
out of doors, outside, abroad / from abroad, from outside.	20-4033-B
out of many).	2-8182-S
out of one's mind, foolish.	16-3665-S
out of ones senses.	20-4098-B
out of place.	19-3553-S
out of the way, be concealed.	33-6578-S
out of, from within, from / on account of.	1-3065-S
out of.	33-1595-S
out to, to rebuke.	1-6435-S
out well, ascribe, refer.	38-6099-S
out well.	33-195-S
out with certainty, lay open.	31-1716-S
out" a letter or ambassador.	28-889-S
out, ascertain.	34-1345-S
out, banish.	31-4270-S
out, be extant, appear, project, show itself.	37-5153-S
out, blow out.	29-3483-S
out, bring forth/ advance, impell/cite, mention.	29-6505-S
out, burst forth / (milit.) attack.	29-2946-S
out, bury, lift up, exalt.	29-6571-S
out, cleansing /excsuing, justification.	8-3512-S
out, coax out.	34-3933-S
out, come out /result, prosper /turn out well.	33-195-S
out, creep over, creep up.	30-4655-S
out, declare openly.	37-3670-S
out, depart, arise.	37-5477-S
out, destroy, obliterate, get rid of.	36-4760-S
out, discover.	32-2845-S
out, discovered. tracked down.	13-4852-S
out, divide, allot, assign, grant, give, allow.	32-6474-S
out, draw on, produce, recall to the colors.	31-3470-S
out, dressed.	11-6313-S
out, eject / dislodge, overturn.	38-6152-S
out, eject, drive out.	38-3291-S
out, equipment.	21-5375-S
out, erase / destroy.	1-8887-S
out, erase /annihilate, destroy.	7-1083-S
out, erase.	1-8289-S
out, esteem highly, prize, love.	30-206-S
out, exact, demand, sell.	11-2438-S
out, excavate /to gut.	31-1325-S
out, excavate/ pierce/ dig, cultivate.	15-2944-S
out, except /take, capture.	1-9165-S
out, exclude.	37-1901-S
out, expel, force out, banish.	31-4270-S
out, expend, disburse.	28-1255-S
out, expend, weigh out.	34-400-S
out, express oneself, declare, speak eloquently.	37-3710-S
out, extend, expand, increase.	37-4380-S
out, extend.	37-6284-S,37-6317-S
out, extended, wide, copious.	2-1734-S
out, extract, remove/.	11-1707-S
out, fail, withdraw.	38-3886-S
out, find out, discover.	32-2845-S
out, force out, exact, demand, sell.	11-2438-S
out, fulfill, accomplish.	34-4056-S
out, going forth, exit, end, finish.	14-2650-S
out, happen/go away, withdraw.	33-730-S
out, jut, extend.	37-5214-S
out, lead out, march out/bring up, rear/ issue.	31-3529-S
out, leak, seep /become known.	39-24-S
out, leave, depart, exit.	33-256-S
out, march out/bring up, rear/ issue.	31-3529-S
out, obliterate, destroy.	39-2451-S
out, ordain, appoint, nominate.	37-1517-S
out, pluck out / turn out, result.	38-2461-S
out, plunder, pillage.	2-9694-S
out, pour forth, shed, utter.	35-3609-S
out, project, be remarkable, conspicuous.	37-5250-S
out, provide.	37-4318-S
out, regard, consider carefully, survey.	34-6011-S
out, relate to.	34-5021-S
out, remove, waste.	32-4933-S
out, result.	38-2461-S
out, rinse cleanse /squander, waste.	39-1206-S
out, rpotact, defer, make known.	31-3591-S
out, select, choose.	35-1889-S
out, set out / get off / escape / result.	33-307-S
out, shift.	34-6849-S
out, sing, praise, narrate.	30-5130-S
out, spread /arise, emanate, originate.	32-3700-S
out, spread out, extend.	37-6317-S
out, standing out /a projection.	16-6933-S
out, stray off.	39-702-S
out, supply, provide, allow.	34-8015-S
out, throw out, eject / dislodge, overturn.	38-6152-S
out, throw out.	1-6897-S
out, to start forward, to arise.	30-7305-S
out, to stay away all night.	37-3954-S
out, utter.	30-5176-S
out, valued.	20-5102-S
out, weed, cull.	38-2855-S
out, write down, place on record.	39-3307-S
out-of-the-way roads.	20-4293-B
out.	1-6764-S,1-6897-S,5-5519-S,10-3990-S,13-671-S,21-6266-S,22-2581-S,28-4779-S,29-2224-S,29-3483-S,29-5883-S,30-1204-S,31-159-S,31-356-S,31-1060-S,31-4109-S,31-4337-S,31-7219-S,32-187-S,32-2414-S,32-3303-S,32-4719-S,32-5073-S,33-36-S,33-609-S,33-1493-S,33-4400-S,34-400-S,34-3933-S,35-2408-S,35-3655-S,35-5793-S,35-6005-S,36-4859-S,36-6060-S,36-7182-S,36-7484-S,37-1931-S,37-3776-S,37-3796-S,37-4428-S,37-4451-S,37-5308-S,37-6359-S,37-6383-S,38-1323-S,38-3291-S,39-110-S,39-2628-S
out/bring up, rear/ issue.	31-3529-S
outcome, success, fate, event, occurrence.	20-4124-B
outcry.	3-7704-S,20-4175-B
outer, foreign, outside, external.	20-4195-B
outermost, last, extreme.	20-4239-B
outermost.	20-4274-B
outlander.	3-4813-S
outlandish.	13-3210-S
outlaw, gain an injunction.	32-4138-S
outlay, interest on a loan.	12-1900-S
outlay.	12-1976-S
outlet /seepage.	5-3769-S
outlet.	42-963-S
outrageous, self-willed, impudent.	20-4321-B
outre-mer.	7-0-S
outside, abroad / from abroad, from outside.	20-4033-S
outside, exraneous/ foreign, strange.	20-4365-B
outside, external.	20-4195-S
outside, without, out of doors / + dare = to publish.	20-4413-B
outside.	2-8608-S,20-4033-S,20-4551-S
outspread.	20-4473-B
outstanding, excell, surpass, show.	37-4953-S
outstanding.	12-1439-S
outstrip.	39-156-S
outward, external/ strange, unrelated, foreign.	20-4493-B
outwardly, externally, from the outside.	20-4551-B
oven, furnace, kiln.	20-4604-B
oven, furnace/ tray for bread making.	20-4642-B
