ply one's oars.	36-4574-S
pocket, lap /bay, gulf.	10-135-S
poem /prediction, incantation /religious formula.	25-1332-S
poem, song.	21-3032-S
poem, verse, rhyme.	21-2997-B
poem.	11-6411-S
poet.	2-4694-S
poetry, poem, song.	21-3032-B
point /main consideration.	3-3133-S
point of the ear, the beard on an ear of wheat.	27-397-S
point out, ordain, appoint, nominate.	37-1517-S
point out.	31-356-S
point that, the fact that.	6-5044-S
point, edge, dagger point.	3-7644-S
point, so far.	15-2636-S
point, so much, so long, etc.	1-6016-S
point, spot, place.	3-6939-S
point, sting, spear, dart.	24-2974-S
point, such an extent, so far, so long.	37-7452-S
point, support.	25-5120-S
point, sword.	26-2163-S
point, the pointed end /spear, javelin /cooking spit.	21-3059-B
point.	3-7644-S,29-2676-S
pointed down, sloping down.	21-3120-B
pointed end /spear, javelin /cooking spit.	21-3059-S
pointer.	10-1169-S
poise, balance.	21-3159-B
poison, potion.	11-2535-S
poison, taint, corrupt.	35-3156-S
poison.	21-3184-B,41-65-S
poisonous, magical /witch, wizard, caster of spells.	21-3200-B
poisonous.	21-3263-B
pole or pivot.	2-2584-S
pole, heavens.	21-3284-B
pole.	4-755-S
policemen).	2-6667-S
polish, adorn, refine, serve.	33-4423-S
polish, instruct.	35-3207-S
polish, smooth / instruct, teach, educate.	35-3235-S
polish.	37-3105-S
polished, smooth, fine, elegant.	23-4035-S
polishing, revision.	12-6186-S
poll tax.	21-3305-B
pollis ).	12-6353-S
pollute with guilt, with blood, etc.	35-3288-S
pollute, infect.	35-3348-S
pollute.	35-3378-S,37-4864-S
poluted.	25-2906-S
pompous /on a grander scale.	39-3791-S
pompous, swollen, puffed up, inflated.	21-3326-B
pompous.	35-5903-S
pond, pool /deficiency, loss.	3-5482-S
pond, troough, tank, tub.	3-5540-S
ponder /practice.	36-1384-S
ponder over.	36-2390-S
ponder, compass + gen.	35-3396-S
ponder, consider / pay, purchase.	39-2075-S
ponder, consider, plan.	38-2939-S
ponder, consider, think over.	35-3429-S
ponder, reflect.	36-1483-S
ponder.	30-3468-S,34-175-S
pondering.	9-263-S
pool /deficiency, loss.	3-5482-S
pool, pond, troough, tank, tub.	3-5540-S
poop.	25-4407-S
poor, helpless, in need, needy, wthout resources.	21-3374-B
poor, poverty-stricken.	20-7045-S
poor, with few means, poverty-stricken.	21-3430-B
poor.	27-2459-S
poorly adapted, unsuiited.	40-2469-S
poppy.	21-3477-B
populace, laity.	21-3492-B
populace, lower classes, the mob.	21-3517-B
popular, famous.	4-5407-S
popular.	21-3557-B
populated.	23-6185-S
population, numerous assembly.	3-5743-S
population.	10-4698-S
portent / monster, unnatural thing.	21-6211-S
portent, omen, monster.	21-3574-B
portent.	21-3607-B
porter, pall-bearer, carrier of a burden /steward.	21-3625-B
porter.	20-3572-S
portions of a civitas.	11-757-S
posco; herimann, cap. 28, 69.	24-804-S
position, place, arrangment.	21-3684-B
position, responsibility.	11-3104-S
position.	35-2326-S
poss. adj.) his, her, its, their own.	2-9014-S
possess /consider, regard.	33-3260-S
possess, enjoy.	38-7687-S
possess, hold, get possession of.	1-2276-S
possess, maintain /to continue.	33-4226-S
possess, maintain.	33-4281-S
possessing wealth or worth.	23-2447-S
possession of.	1-2276-S,34-7619-S
possession, grasp, seize, enjoy, get a start on.	38-1632-S
possession, property.	21-3721-B
possession.	33-2984-S
possessions, chattels.	8-658-S
possible.	1-4627-S,5-6258-S,5-6499-S,5-6657-S,6-0-S
post, club.	17-5279-S
post, position, responsibility.	11-3104-S
post, station.	34-581-S,37-669-S
posted.	38-1511-S
posterity, (plants, fruit).	20-23-S
posterity.	21-3753-B,26-0-S
postpone / to differ, be different.	30-6591-S
postpone.	31-5477-S,37-4269-S
postponed / lax, loose, relaxed.	41-5303-S
pot or jar.	3-6829-S
pot, bowl, drinking vessel.	2-1979-S
potion.	11-2535-S
potius.	3-2123-B
poultice / alleviation.	21-3772-B
pound's weight /weight, mass, load /heavy body.	3-6848-S
pound, talent, endowment, aptitude.	21-3805-B
pound.	35-3470-S
pour forth, gush, stream.	35-3489-S
pour forth, inflict.	33-86-S
pour forth, scatter.	37-4476-S
pour forth, shed, utter.	35-3609-S
pour forth.	29-6981-S
pour in or over /(+ dat.) administer.	35-3545-S
pour out (like molten metal), melt, cast.	35-3768-S
pour out, leak, seep /become known.	39-24-S
pour out, pour forth, shed, utter.	35-3609-S
pour out.	35-3655-S
pour together, mix, blend /confound, confuse, trouble.	35-3676-S
pour upon.	35-3743-S
pour, pour out (like molten metal), melt, cast.	35-3768-S
pour, stream.	32-3755-S
pouring form, effusion.	3-6905-S
poverty barrenness.	27-2490-S
poverty, destitution.	16-2086-S
poverty, humble circumstances.	6-5539-S
poverty-stricken.	20-7045-S,21-3430-S
poverty.	15-4732-S,23-6316-S,32-264-S
powder /arena, scene of action.	11-2895-S
power or manner of comprehension / idea.	3-3184-S
power to aid, power to help.	24-4762-S
power to command, authority, command, rule, control.	21-3850-B
power to help.	24-4762-S
power, ability, authority /opportunity.	21-3912-B
power, authority.	18-4339-S
power, be effective.	33-3150-S
power, be well.	28-6475-S
power, means, opportunity, capacity, ability, stock.	21-3961-B
power, might / opulence, splendor.	23-2610-S
power, power to aid, power to help.	24-4762-S
power, right, authority.	41-145-S
power, strength, might, influence.	13-3090-S
power.	6-2308-S,10-4084-S,21-5571-S,23-3642-S,35-4790-S,40-4707-S
power] influence.	3-1648-S
powerful, able.	28-6534-S
powerful, almighty, omnipotent.	5-2088-S
powerful, exceeding.	18-4420-S
powerful, healthy /able, worthwhile.	25-4657-S
powerful, mighty / splendid, sumptuous.	23-2485-S
powerful, robust, steadfast, courageous.	25-5546-S
powerful, strong.	18-4373-S
powerful.	15-5830-S,19-1049-S,40-5663-S,40-5689-S
powerfully /very, exceedingly.	25-5691-S
powerfully.	11-4014-S
powerless.	10-4328-S
practical judgment, discretion.	21-4023-B
practice in oratory.	21-4065-B
practice of.	28-3452-S
practice, preparation, getting ready.	21-4097-B
practice.	33-4086-S,36-1384-S,38-4819-S
practise diligently.	35-3825-S
praise	21-4145-B,21-4192-B
praise exaggerate /decorate, adorn.	35-3858-S
praise very much, approve highly.	35-3905-S
praise, commendation.	21-4221-B
praise, extoll, commend /name, mention, cite, quote.	35-3951-S
praise, glory, fame.	21-4252-B
praise, narrate.	30-5130-S
praised	21-4278-B
praiser	21-4315-B
praiser.	21-4350-B
praisers	21-4368-B
praiseworthy, laudable.	21-4405-B
prate, chatter.	35-4013-S
prating, chattering, talkativeness.	21-4440-B
pray	21-4487-B,21-4504-B,21-4523-B
pray for.	35-5526-S
pray, beg, entreat, invoke.	29-1361-S
prayer	21-4541-B,21-4565-B,21-4587-B
prayer, beseeching.	21-4607-B
prayer, vespers.	12-733-S
prayer, wish, desire /vow, promise to god.	21-4636-B
prayer.	21-4685-B,21-4704-B,23-766-S
prayerful	21-4719-B
praying	21-4748-B,21-4771-B
pre-eminence, first place.	23-4417-S
preach	21-4792-B,21-4812-B,21-4842-B
preach.	35-4039-S
preacher	21-4866-B
preaches	21-4893-B,21-4914-B,21-4945-B
preaching (s), foretelling (s), condemning.	21-4969-B
preamble	21-5025-B
preambles	21-5049-B
precaution, security.	8-944-S
precautions.	38-1696-S,38-1727-S
precede /to say in advance /to order.	32-7799-S
precede, go before /surpass, excell.	35-4061-S
precede.	35-4119-S,35-4140-S
precept, preconception.	21-5073-B
precept.	16-4107-S
precinct, temple, sometimes church, sanctuary.	23-4792-S
precipately / imprudent, rash.	42-1085-S
precipice.	21-5117-B
precipitate.	20-4851-S
precise.	21-5137-B
precision.	21-5155-B
preconception.	21-5073-S
predecessor.	21-5177-B,25-905-S
predestine.	31-934-S
prediction, divination.	21-5201-B
prediction, incantation /religious formula.	25-1332-S
predominate.	36-1761-S
preeminent person, magnate, prince.	3-142-S
prefer, favor, promote.	1-1658-S
prefer.	1-3133-S,29-6256-S,30-256-S,37-630-S
preferable.	3-794-S
preferably.	22-4212-S
preference.	18-6265-S
preferrably.	22-4239-S
preferring.	21-5235-B
prefix meaning half-.	21-5254-B
prefix to an adjective) very, excessively, quite.	2-8022-B
pregnant.	21-5280-B,29-231-S
prelates, chiefs, magnates.	21-5298-B
preliminary exercise, prelude.	21-5335-B
prelude.	21-5335-S
premature.	23-2946-S
prematurely born.	20-1476-S
prep + abl) in connection with, with regard to.	2-8077-B
prep + abl) numbers - counting from.	2-8135-B
prep + abl) separation - out of (one out of many).	2-8182-B
prep + abl) space- from, away from.	2-8243-B
prep + abl) time - from, since, after.	2-8289-B
