hé jiān	37-21571-B
hé jiāng	12-35045-B
hé jiāng chí	33-55335-B
hé jiě	13-25213-B
hé jiě fèi	13-25276-B
hé jiǎo	12-37252-B
hé jì	2-52366-S,12-37520-B
hé jì shù	33-57825-B
hé jì shù gōng sī	51-59958-S
hé jìng	13-25625-B
hé jù biàn	33-61462-B
hé jù biàn fǎn yìng	41-19742-S
hé jù hé	48-826-S
hé jùn sù	49-42308-S
hé jú	13-21967-B
hé jī	12-34540-B
hé jīn	12-38164-B,37-20601-B,64-38775-S
hé jīng shén wén míng	41-54961-S
hé jūn	25-36455-S
hé jūn bèi	33-62600-B
hé jūn gāng	28-25646-S
hé jūn shì	33-56610-B
hé jūn yǎn	51-60827-S
hé jǐn	12-33181-B
hé kuàng	5-2758-B
hé kuò sàn	33-57948-B
hé kè	39-21552-S
hé kē	44-52057-S
hé kǒu	34-11339-S,37-19401-B,51-28867-S
hé kǒu qū	37-19462-B
hé kǒu shì	34-11427-S
hé kǒu yáo zú zì zhì xiàn	37-19533-B
hé kǔ	5-2860-B
hé kǔ ne	5-2928-B
hé liàng	22-56814-S,67-35951-S
hé lián nǚ zǐ xué yuàn	32-14924-S
hé lián suǒ fǎn yìng	33-62944-B
hé liè biàn	33-61861-B
hé liú	12-35300-B,37-20660-B
hé liú yù	7-46583-S,71-20720-S
hé luàn	51-12813-S
hé luò rén	37-20545-B
hé lán	10-35119-S,11-2981-S,54-20003-B,54-29077-B
hé lán dùn	54-20168-B
hé lán qín	54-20224-B
hé lán wáng guó	54-20059-B
hé lán yǔ	54-20275-B
hé lè	13-23532-B
hé lè ér bù wéi	5-2623-B
hé lì	12-32330-B
hé lì liang	26-19636-S
hé lí	37-20914-B
hé lín gé ěr	13-23395-B
hé lóng	12-38481-B,13-25852-B
hé lóng shì	13-26000-B
hé lùn	49-37994-S,66-57066-S
hé lú	13-1250-S,65-52064-B
hé lǐ	2-231-S,7-59531-S,12-33391-S,12-35711-B
hé lǐ huà	12-35767-B
hé lǐ xìng	12-35873-B
hé lǒng	12-34612-B
hé lǘ	13-1328-S,65-52120-B
hé lǘ chéng	65-52176-B
hé lǘ chéng yí zhǐ	65-52272-B
hé lǜ	49-40356-S
hé miáo	47-10918-B
hé méi	51-53824-S
hé mén	38-62685-S
hé mén jiàn	33-63218-B
hé mén qū	38-62782-S
hé mì kè lóng	51-48927-S
hé míng	42-59713-S
hé mó xíng	33-58441-B,38-53568-S,40-5203-S,49-40412-S
hé móu	12-37661-B
hé mù	13-24441-B
hé mù kē	47-10729-B
hé mù xiāng chù	13-24502-B
hé měi	13-24796-B
hé měi guó lì yì	48-6390-S
hé měi zhèn	13-24858-B
hé mǎ	5-31658-S,37-21631-B,54-20334-B
hé mǎ chéng	5-31727-S
hé mǎ zhōu	5-31814-S,18-12557-S
hé mǔ dù	37-19720-B
hé nán	37-19058-B
hé nán méng gǔ zú zì zhì xiàn	37-19215-B
hé nán shěng	37-19130-B
hé nán sāng wēi qí	10-68590-S
hé nèi	37-18675-B
hé néng	33-61527-B
hé néng jì shù	33-61575-B
hé néng yuán	33-61648-B
hé néng zǒng gōng sī	2-59642-S
hé ní wéi sī	51-45439-S
hé pài	3-4302-S,39-19721-S
hé pàn	37-20952-B
hé pán tuō chū	13-24287-B
hé píng	2-39005-S,13-22013-B,13-22099-B,26-19235-S,36-48411-S
hé píng bì	33-57140-B
hé píng gòng chǔ	13-22201-B
hé píng gē	13-22894-B
hé píng huì tán	13-22453-B
hé píng jiǎng	13-22607-B,58-49874-S
hé píng jī jīn huì	15-15726-S
hé píng lì yòng	13-22289-B
hé píng lǐ	13-22818-B
hé píng qū	13-22357-B
hé píng tiáo yuē	13-22538-B
hé píng tán pàn	13-22667-B
hé píng xiāng	13-22741-B
hé píng zhǔ yì	13-22138-B
hé píng zǔ zhī	49-65945-S
hé pāi	12-34348-B
hé pǔ	12-35398-B
hé pǔ lín xī bǐ	51-45861-S
hé qi	13-23647-B
hé qián tǐng	20-58673-S,29-47635-S,33-59568-B
hé qiú cháng guó	66-3290-S
hé quán	44-49883-S,51-13050-S
hé qì	12-50473-S,31-36113-S,67-9084-S
hé qì dào	12-34912-B
hé qì jiàn	67-35840-S
hé qì shēng cái	13-23701-B
hé qì zhì xiáng	13-23795-B
hé qí	13-23488-B,65-68868-S
hé qí tā	4-41986-S
hé qíng bào	33-57641-B
hé qíng hé lǐ	12-33391-B
hé qī	20-33544-S,65-38271-S
hé qū	8-26224-S,10-31553-S,17-57338-S,37-5190-S,38-8234-S,38-62590-S,40-54805-S,49-31802-S,64-8207-S
hé qǐ lai	7-33601-S
hé qǔ	37-19937-B
hé rán liào	33-59773-B
hé rán liào hòu chù lǐ	33-59919-B
hé rán liào rán hào	33-60107-B
hé rán liào xún huán	33-60021-B
hé rán liào yuán jiàn	33-59830-B
hé rè	33-59729-B
hé rén	4-41936-S,5-2233-B,33-55268-B,40-61953-S
hé shang	13-21920-B,65-6828-S
hé shuò	13-24570-B
hé shuō bù qīng	60-45420-S
hé shuǐ	3-56645-S,12-34984-B
hé shuǐ bù fàn jǐng shuǐ	37-20133-B
hé shàn	13-21727-B
hé shàng	17-61554-S
hé shè shī	33-62005-B
hé shèng yuē	30-4203-S
hé shì	1-27144-S,2-285-S,12-38101-B,33-55894-B,33-62086-B,39-53542-S,40-61882-S,49-57247-S,56-779-S,71-31142-S
hé shì bào	33-62133-B
hé shì gù xié diào zhōng xīn	51-60198-S
hé shì hé chéng cí	51-59854-S
hé shì jiàn	33-55207-B
hé shì lù yīn cí dài	45-3657-B
hé shì yàn	15-37859-S,17-24048-S,33-62191-B,36-38316-S,38-7967-S
hé shì yàn chǎng	33-62322-B
hé shì yàn duī	33-62247-B
hé shì yàn tiáo yuē	7-42693-S
hé shí	5-2586-B,32-15821-S,40-62014-S,57-29168-B
hé shí jiān sài pǎo	13-23133-B
hé shí qī	8-18540-S
hé shí yí	2-57-S,12-34724-B
hé shù lǐ tǒng jì	34-37730-S
hé shù xué	49-37901-S
hé shùn	13-25689-B
hé shā	37-20500-B
hé shā shāng pò huài gū jì	33-59397-B
hé shān	12-33077-B
hé shāng	37-20045-B
hé shēng	13-24929-B
hé shēng cún néng lì	33-60724-B
hé shēng míng	51-60585-S
hé shēng wù	11-33739-S
hé shēng wù jiè	11-33806-S
hé shī yǔ zhèng	38-53418-S
hé shǔ ān de liè sī	54-19683-B
hé suàn	12-36550-B,57-29327-B
hé suān	11-38190-S,33-61232-S,33-63104-B,52-33014-S,52-33202-S,67-2106-S
hé sàn shè	33-58073-B
hé sè	71-23392-S
hé sì jí gòng zhèn	33-56385-B
hé sì yǐ chǐ gōng	12-32666-B
hé sù	29-50275-S,33-61362-B
hé sān jiǎo zhōu	39-8829-S
hé sǎn nà	13-23061-B
hé tao	33-58331-B
hé tao rén	33-58385-B
hé tián	13-23984-B
hé tián dì qū	13-24060-B
hé tián hé	13-24156-B
hé tián yù	13-24223-B
hé tiě lù	17-58836-S
hé tong	12-32371-B
hé tong fǎ	12-32507-B
hé tong gè fāng	12-32423-B
hé tuán	51-12875-S,59-3214-S
hé tuán yùn dòng	51-12968-S
hé tuò pū	22-56578-S
hé tuò pū xué	22-56657-S
hé tuó luó	33-63339-B
hé tuī jìn	33-57886-B
hé tài kōng shǔ	15-5023-S
hé tán	13-25377-B,32-50516-S
hé tán pàn	33-62396-B
hé táng	33-61192-B,52-32946-S
hé táng hé suān	11-38190-S,33-61232-B,52-33014-S
hé táng tǐ	33-61310-B
hé tóng táng	33-63034-B
hé tún	37-21346-B
hé tún dú sù	37-21396-B
hé tōng xùn shè	51-60906-S,68-11638-S
hé tǐ	38-53773-S,42-20401-S,51-54031-S,66-57127-S
hé tǐ tǒng	2-336-S,26-7966-S
hé tǐ zì	12-38302-B,14-16375-S,19-5381-S
hé tǔ	1-32613-S
hé tǔ jiā zú zì zhì xiàn	37-26979-S
hé wài xīng xì	37-19659-B
hé wáng guó	17-33389-S,51-60360-S,54-4242-S
hé wèi lǐ qì	13-24971-B
hé wèi yī	56-10659-S
hé wèi zhī fú wù qì	23-12946-S
hé wèn tí	32-48109-S,33-56323-B
hé wéi	12-35535-B
hé wéi hù	49-61138-S
hé wén míng	7-46500-S
hé wù	10-20831-S,32-35425-S,36-33229-S,38-53723-S,46-31948-S,46-32025-S,51-53775-S
hé wù lǐ	33-60667-B
hé wēi	33-56736-B
hé wēi shè lì liang	33-56799-B
hé wēi shè zhéng cè	33-56882-B
hé wū	12-49154-S
hé wǔ	33-58498-B
hé wǔ kù	33-59340-B
hé wǔ qì	10-48480-S,20-62060-S,26-19727-S,26-20301-S,33-58544-B,34-55497-S,41-19656-S,41-35111-S,44-28495-S,44-57070-S
hé wǔ qì chǔ bèi	33-58686-B
hé wǔ qì cái liào	33-58940-B
hé wǔ qì cāo liàn	33-58852-B
hé wǔ qì guó jiā	67-65713-S
hé wǔ qì shì gù	33-58600-B
hé wǔ qì shì yàn	33-59264-B
hé wǔ qì shì yàn tiáo yuē	47-894-S
hé wǔ qì tiáo yuē	2-12567-S
hé wǔ qì yán jiū suǒ	10-26980-S
hé wǔ qì yán zhì jì huà	33-59140-B
hé wǔ qì yǎn liàn	33-59052-B
hé wǔ qì ān quán	33-58767-B
hé xià xiàn	1-64514-S
hé xiàn	1-37623-S,4-20466-S,13-24744-B,22-56747-S,33-50157-S,37-45569-S,48-54140-S,66-33527-S,69-26418-S
hé xián	13-22951-B
hé xiè lòu	33-59510-B
hé xié	13-25421-B
hé xié xìng	13-25464-B
hé xié yì	33-55944-B
hé xiāng	33-20322-S
hé xiāng hù zuò yòng	33-61017-B
hé xiāo	33-63150-B,57-29381-B
hé xiǎo tǐ	33-57086-B
hé xué	4-31530-S,7-27165-S,8-52853-S,20-35118-S,22-56527-S,24-18178-S,27-1472-S,35-27823-S,35-28145-S,57-50622-S,67-65968-S,71-27159-S
hé xì	64-27403-S
hé xì bāo	11-33899-S
hé xì bāo xíng wēi shēng wù	11-33981-S
hé xì bāo zēng duō zhèng	14-18929-S
hé xìng	39-19666-S,49-63540-S
hé xù	13-23891-B
hé xù shù	49-63595-S
hé xī	37-21093-B,51-50670-S
hé xī bǎo	37-21162-B
hé xī zǒu láng	37-21233-B
hé xī ā shū	5-3050-B
hé xīn	33-57596-B
hé xīn bù sǐ	1-72767-S
hé xīng	1-32678-S
hé yuàn	14-47326-S
hé yuán	37-20698-B,68-35827-S
hé yuán běn	22-56455-S
hé yuán liào	33-56004-B
hé yuán shì	37-20773-B
hé yuē	12-36604-B,13-24634-B,17-34511-S
hé yáng	12-38202-B
hé yè	12-37324-B,12-38265-B
hé yì	12-33464-B,12-37722-B
hé yì sǔn xìng	33-58135-B
hé yì tíng	12-37770-B
hé yìng qīn	5-2478-B
hé yí	12-32900-B
hé yíng	7-63167-S,12-35631-B
hé yòng	12-36013-B
hé yú	12-34662-B
hé yú shí yí	12-31509-B
hé yī	1-32471-S,12-31267-B,29-55650-S
hé yī yì miáo	1-32533-S
hé yīn xiǎng	49-38050-S
hé yǎn	12-35457-B
hé yǐ	5-2269-B
hé yǐng	12-33254-B
hé zhuāng zhì	33-61944-B
hé zhuǎn biàn	33-62716-B
hé zhàn	33-57706-B
hé zhàn dǒu bù	33-57755-B
hé zhào	12-35578-B
hé zhèn	44-41607-S
hé zhèng	13-22998-B
hé zhèng fǔ	51-60066-S
hé zhèng mó xíng	33-62460-B
hé zhèng tǐ	7-71345-S
hé zhé	12-37889-B
hé zhé 5r	12-37960-B
hé zhì	7-71239-S
hé zhòng	12-36105-B
hé zhòng guó	51-2250-S
hé zhòng guó jì shè	12-36201-B
hé zhòng wéi yī	12-36299-B
hé zhòng yín háng	12-36384-B
hé zhù	33-58284-B
hé zhēng	49-63483-S
hé zhī fáng suān	2-36702-S,16-53721-S,69-7513-S
hé zhī yuán	33-58013-B
hé zhī zhòng	40-35095-S
hé zhōu	25-38287-S
hé zhǎng	12-34451-B,29-22182-S
hé zhǒng yuán yīn	2-21039-S
hé zhǔn	57-28945-B
hé zi	33-56979-B,45-3528-B
hé zi zhōng xīn	35-29503-S
hé zuò	2-0-S,12-31779-B,15-2463-S,16-64220-S,17-25828-S
hé zuò bù	20-48647-S
hé zuò huà	12-31942-B,61-40953-S,61-41367-S
hé zuò lián méng	10-66013-S
hé zuò shè	12-32022-B,61-41657-S
hé zuò yòng	7-7678-S,51-53706-S
hé zuò yǔ fā zhǎn zǔ zhī	49-59618-S
hé zuò zhě	12-32129-B
hé zuò zǔ zhī	1-51688-S,3-58857-S,35-29011-S,35-29175-S
hé zuō huǒ bàn	12-31868-B
hé zài	5-2368-B
hé zàng	12-37361-B
hé zé	54-19824-B,54-28926-B
hé zé shì	54-28996-B
hé zì xuán	33-61707-B
hé zòu	12-32837-B
hé zī	12-37844-B
hé zī xùn dìng yuè	51-53877-S
hé zū	12-36449-B
hé zǐ	46-7511-S
hé zǐ shì	46-7643-S
hé zǐ zhēn	59-49781-B
hé zǔ zhī	1-47581-S,3-58762-S,4-46841-S,49-58372-S,51-60521-S
hé àn	37-19800-B
hé ào mǐ jiā	3-61703-S
hé ér wéi yī	12-36818-B
hé ěr	27-21737-S
hé ěr méng	54-19883-B
hé ǎi	13-25095-B
hé ǎi kě qīn	13-25146-B
hé ǒu hé qì jiàn	67-35840-S
hén	6-44880-S,9-14959-S,9-39888-S,27-46984-B,36-63218-S,44-5705-S,44-13713-B,44-18541-S,44-18639-S,56-54530-S,68-8740-S
hén jì	44-13747-B
hén jǐn	61-57743-S
hén wǎ ěr dé	22-17021-S
héng	2-7790-S,2-22935-S,4-57960-S,9-42434-S,9-47428-S,15-48470-S,17-67224-S,18-44294-B,22-44782-S,22-64029-S,23-41681-S,24-66961-B,27-7530-S,27-56332-S,33-10114-S,33-10183-S,34-1151-B,35-7417-B,35-19054-S,36-51336-S,39-49826-S,40-51833-S,41-39368-S,42-32202-S,42-46125-B,50-29181-S,52-26404-B,52-28261-S,55-36290-B,56-40469-B,64-59117-B,65-6086-B,67-61625-S,70-55328-B
héng bāng	35-9081-B
héng bīn	35-9125-B
héng bīn lún tāi	35-9182-B
héng bō	35-9032-B
héng bǐ	35-9453-B
héng chuān	35-9396-B
héng chí chěng	50-29530-S
héng chōng zhí zhuàng	35-9909-B
héng chūn zhèn	24-67390-B
héng cái	35-10145-B
héng duàn shān mài	35-8927-B
héng duàn wù	35-8613-B
héng dào	4-16202-S
héng dìng	24-66994-B
héng dìng lǜ	19-21880-S,52-28344-S
héng děng shì	24-67980-B
héng dōng	56-40785-B
héng fān	35-8724-S
héng fēi	56-28506-S
héng fēng	35-7821-B
héng fēng xiàn	35-7898-B
héng guàn	35-10230-B
héng guò	35-10384-B
héng gàng	35-8780-B
héng gé	35-9777-B
héng gōu	35-10430-B
héng gǔ	35-10591-B
héng hé	24-67467-B
héng hé hóu	24-67513-B
héng héng fān	35-8724-B
héng jià	34-1224-B
héng jié	35-8213-B
héng jié cháng	35-9535-B
héng jié xiàn	35-8257-B
héng jiāo cuò	50-29380-S
héng jīn dǒu	34-59904-B
héng kuà	35-10322-B
héng kē	70-55358-B
héng liang	56-41217-B
héng liang zhì	56-41267-B
héng liáng	34-1546-B,35-8834-B
héng léng wén	35-9332-B
héng mù	22-44914-S
héng nán	56-40516-B
héng pào	26-46012-S
héng pá xíng	35-9260-B
héng qiē	35-7518-B
héng qíng zhuó lǐ	56-40631-B
héng shi	35-8676-B
héng shu	35-10105-B
héng shuǐ	56-40850-B
héng shuǐ dì qū	56-40925-B
héng shuǐ shì	56-41022-B
héng shān	24-67038-B,35-7673-B,56-40579-B
héng shān xiāng	35-7740-B
héng shēng	24-67853-B
héng shēng yín háng	24-67906-B,24-69852-B
héng shēng zhǐ shù	24-69778-B
héng sǎo	35-8473-B
héng sǎo qiān jūn	35-8537-B
héng sǐ	35-8875-B
héng tài	22-44837-S,67-64976-S
héng wò	35-9820-B
héng wú	55-36347-B
héng wēn	24-67643-B
héng wēn qì	24-67698-B
héng xiàn	35-9641-B,35-9719-B
héng xiàng	35-7583-B
héng xíng	35-9861-B
héng xīn	24-67091-B
héng xīng	24-67138-B
héng xīng jì	24-67308-B
héng xīng nián	24-67186-B
héng xū hè	35-10501-B
héng yá	24-67753-B
héng yán	63-48043-S
héng yáng	56-41344-B
héng yáng dì qū	56-41419-B
héng yáng shì	56-41516-B
héng yì	26-38405-S
héng zhuó	56-41108-B
héng zhèn dòng	35-8405-B
héng zhé	35-8320-B
héng zhēng bào liǎn	35-8064-B
héng zhī	36-42340-S
héng zuò biāo	35-7987-B
héng zì mí	50-29465-S
hòng	7-32319-S,40-553-B,55-17560-B,60-19037-S,65-48201-B,70-30000-B
hòng ér sàn	1-4752-S
hòu	1-7250-S,2-21246-S,3-10907-S,3-30496-S,4-22497-S,4-37446-S,4-61839-S,5-20906-S,5-62436-B,6-57660-S,7-4068-S,7-7268-S,7-36003-S,7-39211-S,8-3997-S,8-21179-S,9-9687-S,9-10310-S,9-20029-S,10-54108-S,11-6671-S,11-29389-B,12-59670-B,12-62992-S,13-62542-S,14-25381-S,15-34911-S,15-35698-S,15-35859-S,15-56741-B,16-7270-B,17-23636-S,17-47037-S,17-57179-S,19-11553-S,19-21705-S,20-24205-S,20-66181-S,22-25071-S,22-34383-S,23-62348-S,23-66697-B,24-7256-S,24-10418-S,24-12139-S,24-46262-S,24-54266-S,25-3699-S,25-45607-S,25-56873-S,25-62921-S,26-18381-S,29-49339-S,29-56512-S,31-6906-S,32-20348-S,32-47833-S,32-59833-S,35-41331-S,35-57214-S,36-25356-S,38-21132-S,38-48915-S,39-19541-S,39-31734-S,40-6796-S,40-27057-S,40-65930-S,41-38100-S,41-52276-S,41-52975-S,42-33696-S,42-33991-S,43-31854-S,44-12783-S,44-59199-S,44-60199-S,44-60429-S,45-60420-S,47-28778-S,47-41745-S,47-53833-S,48-17704-S,48-28298-S,48-33481-S,50-52785-S,51-21883-S,51-35262-S,52-11023-S,52-17668-S,54-45426-S,54-49799-S,55-18175-S,55-51582-S,57-49449-S,58-55962-S,59-7600-S,59-19776-S,60-31100-S,61-65738-B,62-15016-S,62-45229-S,63-9211-S,63-16836-S,63-20890-B,63-29471-B,63-55827-S,66-42845-S,66-43646-S,66-52918-S,67-61523-S,68-28713-S,70-1827-S,70-48547-B
hòu biàn huà	36-25660-S
hòu biàn huà kuàng jià gōng yuē	51-58855-S
hòu biàn nuǎn	7-39375-S
hòu biān	24-2541-B
hòu bàn	23-67405-B
hòu bàn chǎng	23-67450-B
hòu bàn yè	23-67534-B
hòu bào	11-29444-B
hòu bèi	24-2328-B
hòu bèi jūn	23-67184-B
hòu bì	10-62560-S
hòu bì xiāng	23-67837-B
hòu bí yīn	24-3194-B
hòu bù	24-2592-B
hòu bīng	7-5376-S
hòu bǔ	5-62751-B
hòu chuò	24-2287-B
hòu chè	23-68324-B
hòu chén	35-41945-S
hòu chì	24-1067-B
hòu chù lǐ	33-59919-S
hòu chē shì	5-62882-B
hòu chē zhóu	24-2223-B
hòu chē zhī jiàn	24-1970-B
hòu chūn sǔn	67-14304-S
hòu cí huì jiā gōng	24-1597-B
hòu de	9-54049-S
hòu de wǎn cān	32-20696-S
hòu duàn	24-191-B
hòu dài	11-29535-B,23-66860-B
hòu dào	7-3279-S
hòu dù	11-29493-B
hòu dùn	24-779-B
hòu fú wù	13-54043-S
hòu fā zuò	12-59718-B
hòu fān jīn dòu	12-59792-B
hòu fān téng	12-63036-S
hòu fāng	23-68391-B
hòu fēng dì dòng yí	5-63049-B
hòu guǒ	14-43152-S,24-56-B
hòu gù zhī yōu	24-3030-B
hòu gēng xīn	32-20512-S
hòu huà	24-1683-B
hòu huá	5-2307-S
hòu huā xù	22-34433-S
hòu huǐ	23-68171-B
