to bet	26-48937-B
to betoken	68-29719-B
to betray	8-45572-S,11-65637-B,11-66318-B,61-65778-B,67-46268-B,67-46328-B
to betray and flee	11-66405-B
to betray anger 成语 saw	24-52537-B
to betray one s country	11-66081-B
to betray one s party	11-66579-B
to betray one s silver money when traveling	67-47360-B
to betray oneself	68-50403-B
to betroth a girl in arranged marriages	58-4291-B
to betwitch	61-55774-B
to bewail	25-10383-B
to bewail one s poverty	13-46717-B
to bewitch	56-22172-B,56-22309-B
to bewitch and trap	61-55961-B
to bewitch sb	61-55853-S
to bibliography	6-40201-S
to bicker	27-28781-B,57-60576-B,70-28718-B,70-28797-B
to bid competitively	48-1403-B
to bid farewell to	13-8843-B
to bid for purchase	43-44416-B
to bid in an auction	48-316-B
to bide time for revenge	47-14532-B
to bill and coo 成语 saw	11-28395-B
to bind	10-17276-B,26-38957-B,28-2100-B,33-11198-B,42-71-B,49-39890-B,50-25727-B,50-38808-B,50-39767-B,51-62281-B,71-27632-B,71-28289-B
to bind hand and foot	3-53837-B
to bind one s hair	33-12542-B
to bind one s hair on coming of age	49-44883-S
to bind oneself	33-12481-B
to bind over as surety	8-5048-B
to bind restrict	49-4442-B
to bind up	10-17276-B
to biodiversity	43-20676-S
to bite	13-57398-B,14-36056-B,71-56606-B
to bite off more than one can chew	59-38910-B
to bite the bullet	13-29180-B
to bite the teeth tightly 成语 saw	13-29180-S
to bite words and chew characters 成语 saw	13-28961-B
to bits	46-21400-S
to blab	16-55160-B,41-36428-B
to black out	31-58288-B
to blackmail	9-67666-B,58-6544-B
to blame	8-63170-B,13-27606-B,15-60670-B,24-64394-B,24-65619-B,43-43287-B,43-44762-B,58-4751-B,58-24725-B,58-63808-B,59-32156-S,59-40368-B,59-40785-B,59-40842-B,59-61271-B
to blame often oneself	57-29882-B
to blame oneself	53-14746-B
to blame others	18-57952-B,28-30300-B,28-32176-B
to blame sb	35-55255-B
to blame sb else	59-62463-B
to blame sb wrongly	64-48067-B
to blaspheme	57-9333-B
to blast	13-4943-B
to blather	46-38708-B
to blaze new trails	9-36580-B
to bleach	39-43011-B,39-43375-B
to bleed	38-5756-B,41-49897-B
to blend	3-71466-B,13-21683-B,27-28723-B,29-4880-B,29-33180-B,29-33487-B,29-36740-B,29-36910-B,38-53370-B,56-10837-B
to blend colors	58-39098-B,58-40024-B
to blend cooking	58-36190-B
to blend into	56-10377-B
to bless	5-1246-B,13-16164-B,22-58590-B,46-52319-B,59-56872-B
to bless and protect	5-38573-B
to block	9-47502-B,11-12642-B,16-13816-B,33-8592-B,46-42789-B,65-63838-B,65-64035-B,65-64769-B,65-64897-B,65-65002-B,65-65064-B,66-42079-B
to block a blow	29-20069-B
to block capitals	35-37479-S,62-20844-S
to block one s ears and not listen 成语 saw	7-118-B
to block reinforcements	65-64435-B
to block the ears and eyes 成语 saw	28-33271-B
to block up	16-13772-B
to bloom	65-36192-B,65-40992-B
to bloom abundantly	65-38581-B
to blossom	65-40992-B
to blossom of poem or art	53-50235-S
to blot out	27-15798-B
to blot out at one stroke	1-16717-B
to blow	9-8684-B,13-4943-B,14-6357-B
to blow a brass instrument	13-6563-B
to blow a flute	71-63853-B
to blow a kiss	68-62895-B
to blow air into	13-5837-B
to blow apart the hairs upon a fur to discover any defect 成语 saw	13-5675-S
to blow cold	13-5114-B
to blow dry	13-5068-B
to blow hot and cold	32-47262-B
to blow of the wind	68-59535-B
to blow off steam	12-60399-B
to blow one s own trumpet	53-3557-B
to blow or breathe upon to smile	35-22739-B
to blow out	13-10032-B
to blow out a flame	13-5889-B
to blow up	40-31255-B,41-34489-B,41-34782-B
to blows	9-17675-S,23-6689-S,26-45769-S,36-9643-S
to bludgeon	26-45935-B
to blunder	28-57541-B,28-63589-B,28-64058-B
to blur	38-54551-B
to blurt out	52-32468-B,52-32514-B
to blurt out a secret	17-64824-B,17-67284-B
to blurt out a secret or stupid mistake	60-10677-B
to blurt out without thinking	68-22488-B,68-22764-B,68-22887-B
to blush	49-10110-B,49-12426-B,68-64591-B
to blush deep red	62-12017-B
to blush in shame	25-44004-B
to board a plane	44-24088-B
to board a ship or plane	53-37521-S
to boast	4-54853-B,13-4943-B,17-69296-B,53-3557-B,56-36232-B,57-63906-B,58-19264-B,58-19319-B
to boast about one s treasures 谚语 proverb 	32-31814-S
to boast and flatter	13-5284-B
to boast wildly	52-20963-B
to boil	37-727-B,39-34305-B,40-16907-B,41-10523-B,41-10698-B,41-17353-B,41-17397-B,51-22300-B
to boil food briefly then dress with soy etc	41-14374-B
to boil of liquid	39-35081-B
to boil or fumigate	40-34293-B
to boil vegetables	41-10644-B
to bold or italics	35-40641-S
to bolster	16-25016-B
to bolt	65-24374-B
to bomb	40-30510-B,40-31094-B,46-16371-B,61-31777-B
to bombard	40-30387-B,40-30510-B,46-16172-B,46-16371-B,61-31777-B
to bond	71-28519-B
to boo or jeer as a sign of displeasure at an actor	14-10110-B
to book ahead	68-30412-B
to book or check through baggage	26-52675-B
to book tickets	57-57382-B
to boost	6-32192-B
to boot up a computer	65-37869-B
to border on	28-25820-B
to bore	64-42992-B,65-8433-B,65-9600-B
to bore a hole	47-52382-B
to bore of insects	55-59392-B
to bore through	47-51026-B
to borrow	5-63638-B,5-64588-B,6-1407-B,6-5434-B,16-24915-B,28-64125-B,59-45811-B
to borrow a knife to kill sb 成语 saw	5-64277-S
to borrow a light for a cigarette	6-553-B
to borrow an idea for one s own use	6-622-B
to borrow books to read	6-2048-B
to borrow chopsticks	6-774-S
to borrow from a source	6-1826-B,6-1937-B
to borrow money	6-1499-B,6-1762-B,28-64183-B
to borrow money for a short time	27-69575-B
to borrow sb s authority	5-64506-B
to borrow sth for another use	6-622-B
to borrow talent from abroad to develop the nation effectively	4-25249-B
to borrow the past as a model for the present	5-64678-B
to boss people about	44-33339-B
to botch	30-18740-B
to both sides	67-1214-S
to bother	30-18920-S,41-9993-B,50-45316-B,50-45413-B,50-46353-B,71-14122-B
to bother endlessly	56-23431-B
to bother sb incessantly	46-39908-B
to bother sb intentionally	28-54982-B
to bother sb with annoying muddle headed talk	50-45476-B
to bother to remedy or repair	1-74575-S
to bother with	1-74575-S
to bottom	24-29757-S,50-30803-S
to bottom tailor or dressmaker s measure	60-57453-S
to bounce	23-50128-B,60-44409-B,60-50870-B,60-51245-B
to bound	50-29705-B,60-45302-B,66-18398-B
to bound up	1-21388-B
to bow	5-50387-B,23-26088-B,23-26150-B,60-57757-B,68-8088-B
to bow and bend the knee 成语 saw	10-62423-B
to bow around with hands joined to people on all sides	50-56464-B
to bow respectfully with clasped hands	26-44717-B,26-49445-B
to bow the head	4-70605-B
to bow to one another	3-68646-B
to bow with clasped hands	26-44658-B
to box sb s ears	26-48225-B
to boycott	33-13925-B
to boycott a levy	27-4858-B
to boycott taxes	27-6542-B
to brace one s self to do sth	46-26333-B
to brag	13-4943-B,13-5442-B,41-48207-B,53-12327-B
to brake	41-4726-B
to brake car	9-26391-B
to brake stop	9-26428-S
to brake when driving	9-26648-B,41-5162-B
to branch of river	37-18519-B
to branch off	21-35038-B
to branch off the road	21-35102-B
to brand	40-41650-B
to brandish	28-49382-B,28-49482-B,28-50385-B,28-50735-B,53-32053-B,53-32459-B
to brandish a spear	28-49596-B
to brave	8-11660-B
to brave the rain	8-12130-B
to brave the waves	46-18027-B
to brave the wind and the billows 成语 saw	3-14744-B
to breach	26-49552-B
to breach a principle	62-58120-B
to break	23-23836-B,23-45119-B,26-40322-B,26-47524-B,27-8254-B,27-9117-B,29-19002-B,37-330-B,46-16477-B
to break a bone	26-45559-B
to break a code	46-20122-B
to break a liquid substance up into components by boiling	69-18872-B
to break a promise	17-64412-B,36-2870-B,46-19303-B,62-58231-B,69-4081-B,71-21604-B
to break a rule	62-58120-B
to break a siege	47-52975-B
to break a taboo	65-35089-B
to break away from	29-30386-B,29-30386-B
to break bones by falling	28-63922-B
to break dependence	26-13991-B
to break discipline	3-27295-B
to break down	8-40253-B,16-34417-B,46-27518-B
to break drug dependence	9-67380-B
to break e g stick or bone	27-8104-B
to break even	5-36937-B,5-37509-B,29-41279-B
to break faith	52-16646-B
to break faith with sb	52-16694-B
to break ground	46-16853-B
to break in	46-38654-B
to break in a horse	69-45972-B
to break in and analyze	6-20807-B
to break into	8-53076-B,29-25510-B
to break into jail	9-63188-B
to break into pieces	46-27518-B
to break new ground for agriculture	65-35517-B
to break off	2-72782-B,2-74275-B,26-45559-B,30-59996-B
to break off a relation	1-2914-S
to break off relations	49-47723-B
to break off relations with	37-330-B
to break off writing	41-4987-B
to break one s promise	58-23208-S
to break open	29-23481-B
to break open and capture	46-18298-B
to break out	41-34704-B,44-26452-B,44-31659-B
to break out of	29-30386-B
to break out of a crisis	29-30561-B
to break out of an enclosure	47-52975-B
to break out of prison	60-27315-B
to break the cauldrons and sink the boats 成语 saw	46-20447-S
to break the ice	46-16658-B
to break the law	42-2705-B,62-57749-B
to break the law and commit crimes 成语 saw	40-33310-B
to break the rules	3-27295-B,42-3130-B,62-55753-B,62-57977-B
to break the surface	8-40515-B
to break through	29-18952-B,47-52686-B
to break through a wall	46-17084-B
to break through the ground of seedling	46-16853-B
to break up	8-50412-B,8-53251-B,8-57967-B,30-8349-B,57-47102-B
to break up a chemical compound into its elements	57-53260-B
to break up a marriage	27-18984-B
to break up in discord	2-15901-S
to break up into components	30-6990-B,57-53470-B
to break up the whole into pieces	10-23835-S
to break wind	21-17610-B,29-51675-B
to break with both hands	28-34492-B
to breakdown	29-3265-S
to breath out	13-16787-B
to breathe	13-2868-B,14-6268-S
to breathe deeply	14-6481-B
to breathe easily	14-6193-S
to breathe in	13-2931-B
to breathe one s last	14-40812-B
to breathe out	13-19073-B
to breathe out stale air and breathe in fresh 成语 saw	12-60195-S
to breathe through the same nostril 成语 saw	1-24039-S
to breathe upon	14-10759-B
to breed	15-66325-B,39-27453-B,50-37778-B,50-38020-B
to breed livestock	29-53419-B
to breed offspring	7-62246-S
to brew	63-48900-B
to brew tea	40-43341-B
to bribe	29-42792-B,56-34953-B,59-45726-B,59-56190-B
to brick a grave	16-14099-B
to brim with love	69-7394-B
to bring	22-27849-B,22-27974-B
to bring a lawsuit	13-9193-B
to bring a lawsuit against	60-18187-B
to bring about	5-31008-B,9-37912-B,20-14218-B,20-59538-B,22-27974-B,43-32422-B,58-24393-B,62-18409-B
to bring along	29-33679-B
to bring an animal to heat by artifial means	6-30959-B
to bring back	22-28380-B
to bring back the dead	54-54426-B
to bring back to life	29-64502-B
to bring down	66-16873-B
to bring forth new ideas	9-36580-B
to bring forward	28-37621-B
to bring forward to an earlier time	28-39873-B
to bring honor to one s ancestors	7-8272-B
to bring honor to one s ancestors and benefit future generations 成语 saw	7-7268-B
to bring honor to one s ancestors 成语 saw	34-40912-B
to bring in the new 成语 saw	34-53088-B
to bring into being	43-32422-B
to bring into harmony	58-39516-S
to bring into line with	28-28131-B
to bring it on oneself sth unpleasant	53-6707-B
to bring misfortune on oneself	26-58900-B
to bring one s own	53-5255-B
to bring out implicit or innate qualities	44-29645-B
to bring out the essentials	28-41632-B
to bring out the main theme	71-43146-B
to bring out the substance concisely	71-43146-B
to bring parties to an agreement	58-39214-B
to bring sb to trial	28-42248-B
to bring sb up	19-62711-B
to bring sth into line	49-15743-B
to bring the house down	39-37240-B
to bring to	22-28098-B
to bring to an end	29-40732-B
to bring to court	12-42854-B
to bring to justice	37-35044-B
to bring to mind	61-57543-B
to bring to sb s attention	28-37925-B
to bring to the same level	27-22821-B
to bring to trial	12-42854-B
to bring together	28-56903-B,39-9254-B
to bring under control	9-11388-B
to bring under permanent control	33-64278-B
to bring up	15-66439-B,26-56571-B,28-39388-B,29-14717-B,30-5577-B,68-8021-B
to bring up a child	29-14781-B
to bring up children	43-29051-B,43-30742-B,69-10328-B
to bring up children for the purpose of being looked after in old age	69-10433-S
to bring up various ideas for discussion	13-60571-B
to broadcast	29-15184-B
to broadcast a film	29-15659-B
to broaden	29-29056-B
to broaden one s scope	29-28877-B
