荏	54-16905-S
荏 荏	54-16905-B
荐	54-16950-S,55-22806-S
荐 荐	54-16950-B
荑	54-16994-S,54-17023-S
荑 荑	54-16994-B,54-17023-B
荒	54-17052-S
荒 荒	54-17052-B
荒凉	54-17849-S
荒原	54-17105-S
荒原 荒原	54-17105-B
荒唐	54-17151-S
荒唐 荒唐	54-17151-B
荒唐无稽	54-17244-S
荒唐無稽 荒唐无稽	54-17244-B
荒地	54-17313-S
荒地 荒地	54-17313-B
荒寒	54-17375-S
荒寒 荒寒	54-17375-B
荒岛	54-17442-S
荒島 荒岛	54-17442-B
荒废	54-17522-S
荒廢 荒废	54-17522-B
荒怪不經 荒怪不经	54-17662-B
荒怪不经	54-17662-S
荒无人烟	54-18048-S
荒旱	54-17739-S
荒旱 荒旱	54-17739-B
荒村	54-17793-S
荒村 荒村	54-17793-B
荒涼 荒凉	54-17849-B
荒淫	54-17895-S
荒淫 荒淫	54-17895-B
荒淫无耻	54-17941-S
荒淫無恥 荒淫无耻	54-17941-B
荒漠	54-18007-S
荒漠 荒漠	54-18007-B
荒無人煙 荒无人烟	54-18048-B
荒疏	54-18142-S
荒疏 荒疏	54-18142-B
荒瘠	54-18185-S
荒瘠 荒瘠	54-18185-B
荒芜	54-18247-S
荒蕪 荒芜	54-18247-B
荒誕 荒诞	54-18313-B
荒誕不經 荒诞不经	54-18396-B
荒誕無稽 荒诞无稽	54-18484-B
荒謬 荒谬	54-18570-B
荒謬絕倫 荒谬绝伦	54-18616-B
荒诞	54-18313-S
荒诞不经	54-18396-S
荒诞无稽	54-18484-S
荒谬	54-18570-S
荒谬绝伦	54-18616-S
荒野	54-18742-S
荒野 荒野	54-18742-B
荔	54-18787-S
荔 荔	54-18787-B
荔枝	54-18815-S
荔枝 荔枝	54-18815-B
荔枝核	54-18895-S
荔枝核 荔枝核	54-18895-B
荔波	54-18997-S
荔波 荔波	54-18997-B
荔浦	54-19056-S
荔浦 荔浦	54-19056-B
荘	54-19115-S
荘 荘	54-19115-B
荚	54-23427-S
荚果	54-23453-S
荚膜组织胞浆菌	54-23493-S
荛	55-14972-S
荜	55-9794-S
荞	55-14423-S
荞麦	55-14456-S
荟	55-20776-S
荟萃	55-20807-S
荠	55-27606-S,55-27651-S
荡	45-14367-S,55-15614-S
荡妇	55-15695-S
荡气回肠	55-15751-S
荡涤	55-15829-S
荡漾	45-14418-S,55-15874-S
荡然	55-15928-S
荡然无存	55-16020-S
荡秋千	45-14561-S
荣	34-40777-S
荣光	34-40870-S
荣华	34-41846-S
荣华富贵	34-41899-S
荣县	34-41699-S
荣宗耀祖	34-40912-S
荣幸	34-41041-S
荣归主	34-41435-S
荣归故里	34-41514-S
荣成	34-41084-S
荣成市	34-41165-S
