中國工程院 中国工程院	2-58212-B
中國建設銀行 中国建设银行	2-58315-B
中國式 中国式	2-58420-B
中國政府 中国政府	2-58495-B
中國政法大學 中国政法大学	2-58572-B
中國文學 中国文学	2-58697-B
中國文學藝術界聯合會 中国文学艺术界联合会	2-58773-B
中國文聯 中国文联	2-58971-B
中國新民黨 中国新民党	2-59101-B
中國新聞社 中国新闻社	2-59198-B
中國新聞網 中国新闻网	2-59285-B
中國日報 中国日报	2-59385-B
中國時報 中国时报	2-59485-B
中國書法 中国书法	2-59566-B
中國核能總公司 中国核能总公司	2-59642-B
中國歷史博物館 中国历史博物馆	2-59775-B
中國殘疾人聯合會 中国残疾人联合会	2-59889-B
中國殘聯 中国残联	2-60037-B
中國民主促進會 中国民主促进会	2-60155-B
中國民主同盟 中国民主同盟	2-60286-B
中國民主建國會 中国民主建国会	2-60391-B
中國民航 中国民航	2-60533-B
中國法學會 中国法学会	2-60648-B
中國海 中国海	2-60733-B
中國海事局 中国海事局	2-60789-B
中國海洋石油總公司 中国海洋石油总公司	2-60883-B
中國產 中国产	2-61043-B
中國畫 中国画	2-61124-B
中國當局 中国当局	2-61187-B
中國石化 中国石化	2-61264-B
中國石油化工股份有限公司 中国石油化工股份有限公司	2-61362-B
中國石油和化學工業協會 中国石油和化学工业协会	2-61549-B
中國石油天然氣集團公司 中国石油天然气集团公司	2-61735-B
中國社會科學院 中国社会科学院	2-61906-B
中國科學院 中国科学院	2-62038-B
中國移動通信 中国移动通信	2-62133-B
中國精密機械進出口公司 中国精密机械进出口公司	2-62265-B
中國經營報 中国经营报	2-62459-B
中國美術館 中国美术馆	2-62566-B
中國聯通 中国联通	2-62662-B
中國致公黨 中国致公党	2-62797-B
中國航天工業公司 中国航天工业公司	2-62899-B
中國航天技術進出口公司 中国航天技术进出口公司	2-63009-B
中國航空工業公司 中国航空工业公司	2-63209-B
中國船舶貿易公司 中国船舶贸易公司	2-63348-B
中國船舶重工集團公司 中国船舶重工集团公司	2-63495-B
中國菜 中国菜	2-63668-B
中國製造 中国制造	2-63730-B
中國西北邊陲 中国西北边陲	2-63801-B
中國証監會 中国证监会	2-63928-B
中國話 中国话	2-64038-B
中國證券報 中国证券报	2-64110-B
中國農業銀行 中国农业银行	2-64206-B
中國通 中国通	2-64313-B
中國遊藝機遊樂園協會 中国游艺机游乐园协会	2-64411-B
中國銀行 中国银行	2-64593-B
中國長城工業公司 中国长城工业公司	2-64665-B
中國青年報 中国青年报	2-64816-B
中國音樂 中国音乐	2-64904-B
中國風俗 中国风俗	2-64976-B
中國餐館症候群 中国餐馆症候群	2-65048-B
中土	2-65169-S
中土 中土	2-65169-B
中场	2-65344-S
中坜	2-65474-S
中型	2-65216-S
中型 中型	2-65216-B
中埔乡	2-65265-S
中埔鄉 中埔乡	2-65265-B
中場 中场	2-65344-B
中壓管 中压管	2-65392-B
中壢 中坜	2-65474-B
中外	2-65537-S
中外 中外	2-65537-B
中央	2-65617-S
中央 中央	2-65617-B
中央专制集权	2-66421-S
中央全会	2-65675-S
中央全會 中央全会	2-65675-B
中央军委	2-67644-S
中央凹	2-65775-S
中央凹 中央凹	2-65775-B
中央匯金 中央汇金	2-65870-B
中央執行委員會 中央执行委员会	2-65966-B
中央处理机	2-67547-S
中央委员会	2-66122-S
中央委員會 中央委员会	2-66122-B
中央宣传部	2-66210-S
中央宣傳部 中央宣传部	2-66210-B
中央專制集權 中央专制集权	2-66421-B
中央广播电台	2-66531-S
中央廣播電臺 中央广播电台	2-66531-B
中央情報局 中央情报局	2-66646-B
中央情报局	2-66646-S
中央戏剧学院	2-66747-S
中央戲劇學院 中央戏剧学院	2-66747-B
中央执行委员会	2-65966-S
中央政府	2-66851-S
中央政府 中央政府	2-66851-B
中央日報 中央日报	2-66929-B
中央日报	2-66929-S
中央民族大学	2-67005-S
中央民族大學 中央民族大学	2-67005-B
中央汇金	2-65870-S
中央海岭	2-67120-S
中央海嶺 中央海岭	2-67120-B
中央电视台	2-67965-S,2-68067-S
中央直轄市 中央直辖市	2-67203-B
中央直辖市	2-67203-S
中央省	2-67285-S
中央省 中央省	2-67285-B
中央研究院	2-67385-S
中央研究院 中央研究院	2-67385-B
中央社	2-67471-S
中央社 中央社	2-67471-B
中央處理機 中央处理机	2-67547-B
中央軍委 中央军委	2-67644-B
中央邦	2-67735-S
中央邦 中央邦	2-67735-B
中央銀行 中央银行	2-67811-B
中央银行	2-67811-S
中央集权	2-67883-S
中央集權 中央集权	2-67883-B
中央電視台 中央电视台	2-67965-B
中央電視臺 中央电视台	2-68067-B
中央音乐学院	2-68169-S
中央音樂學院 中央音乐学院	2-68169-B
中奖	2-76076-S
中子	2-68280-S
中子 中子	2-68280-B
中子俘獲 中子俘获	2-68322-B
中子俘获	2-68322-S
中子射線攝影 中子射线摄影	2-68393-B
中子射线摄影	2-68393-S
中子弹	2-68493-S
中子彈 中子弹	2-68493-B
中子星	2-68551-S
中子星 中子星	2-68551-B
中子源	2-68610-S
中子源 中子源	2-68610-B
中学	2-68671-S
中学生	2-68720-S
中學 中学	2-68671-B
中學生 中学生	2-68720-B
中宁	2-68996-S
中宣部	2-68810-S
中宣部 中宣部	2-68810-B
中寧 中宁	2-68996-B
中寮乡	2-69065-S
中寮鄉 中寮乡	2-69065-B
中将	2-69148-S
中將 中将	2-69148-B
中尉	2-69229-S
中尉 中尉	2-69229-B
中小型企业	2-69316-S
中小型企業 中小型企业	2-69316-B
中局	2-69412-S
中局 中局	2-69412-B
中层	2-69475-S
中層 中层	2-69475-B
中山	2-69526-S
中山 中山	2-69526-B
中山公园	2-69596-S
中山公園 中山公园	2-69596-B
中山区	2-69684-S
中山區 中山区	2-69684-B
中山大学	2-69761-S
中山大學 中山大学	2-69761-B
中山市	2-69920-S
中山市 中山市	2-69920-B
中山成彬	2-70052-S
中山成彬 中山成彬	2-70052-B
中山狼传	2-70137-S
中山狼傳 中山狼传	2-70137-B
中山装	2-70280-S
中山裝 中山装	2-70280-B
中山陵	2-70349-S
中山陵 中山陵	2-70349-B
中岛	2-70435-S
中岳	2-70503-S
中島 中岛	2-70435-B
中嶽 中岳	2-70503-B
中年	2-70562-S
中年 中年	2-70562-B
中度性肺水肿	2-70610-S
中度性肺水腫 中度性肺水肿	2-70610-B
中庭	2-70714-S
中庭 中庭	2-70714-B
中庸	2-70760-S
中庸 中庸	2-70760-B
中式	2-70817-S,2-70866-S
中式 中式	2-70817-B,2-70866-B
中弹	2-70951-S
中彈 中弹	2-70951-B
中彩	2-71007-S
中彩 中彩	2-71007-B
中径	2-71059-S
中徑 中径	2-71059-B
中微子	2-71104-S
中微子 中微子	2-71104-B
中德診所 中德诊所	2-71158-B
中德诊所	2-71158-S
中心	2-71234-S
中心 中心	2-71234-B
中心埋置关系从句	2-71287-S
中心埋置關係從句 中心埋置关系从句	2-71287-B
中心矩	2-71421-S
中心矩 中心矩	2-71421-B
中心粒	2-71494-S
中心粒 中心粒	2-71494-B
中心語 中心语	2-71549-B
中心语	2-71549-S
中性	2-71609-S
中性 中性	2-71609-B
中性粒細胞 中性粒细胞	2-71653-B
中性粒细胞	2-71653-S
中情局	2-71774-S
中情局 中情局	2-71774-B
中意	2-71856-S,2-71903-S
中意 中意	2-71856-B,2-71903-B
中括号	2-71972-S
中括號 中括号	2-71972-B
中指	2-72038-S
中指 中指	2-72038-B
中提琴	2-72087-S
中提琴 中提琴	2-72087-B
中文	2-72138-S
中文 中文	2-72138-B
中文广播	2-72190-S
中文廣播 中文广播	2-72190-B
中文版	2-72277-S
中文版 中文版	2-72277-B
中文系	2-72350-S
中文系 中文系	2-72350-B
中文輸入法 中文输入法	2-72436-B
中文输入法	2-72436-S
中断	2-72782-S
中新世	2-72538-S
中新世 中新世	2-72538-B
中新社	2-72633-S
中新社 中新社	2-72633-B
中新網 中新网	2-72704-B
中新网	2-72704-S
中斷 中断	2-72782-B
中方	2-72846-S
中方 中方	2-72846-B
中日	2-72929-S
中日 中日	2-72929-B
中日关系	2-72975-S
中日關系 中日关系	2-72975-B
中日韓統一表意文字 中日韩统一表意文字	2-73055-B
中日韓越 中日韩越	2-73215-B
中日韩统一表意文字	2-73055-S
中日韩越	2-73215-S
中旬	2-73277-S
中旬 中旬	2-73277-B
中暑	2-73336-S
中暑 中暑	2-73336-B
中朝	2-73392-S
中朝 中朝	2-73392-B
中期	2-73440-S
中期 中期	2-73440-B
中村	2-73483-S
中村 中村	2-73483-B
中東 中东	2-73543-B
中東國家 中东国家	2-73602-B
中枢	2-73944-S
中枢神经系统	2-74078-S
中枪	2-73813-S
中标	2-73874-S
中校	2-73709-S
中校 中校	2-73709-B
中槍 中枪	2-73813-B
中標 中标	2-73874-B
中樞 中枢	2-73944-B
中樞神經系統 中枢神经系统	2-74078-B
中欧	2-74188-S
中歐 中欧	2-74188-B
中止	2-74275-S
中止 中止	2-74275-B
中正	2-74366-S
中正 中正	2-74366-B
中正区	2-74485-S
中正區 中正区	2-74485-B
中正紀念堂 中正纪念堂	2-74564-B
中正纪念堂	2-74564-S
中毒	2-74674-S
中毒 中毒	2-74674-B
中毒性	2-74733-S
中毒性 中毒性	2-74733-B
中毒途径	2-74795-S
中毒途徑 中毒途径	2-74795-B
中毒酶	2-74867-S
中毒酶 中毒酶	2-74867-B
中气层	2-74929-S
中气层顶	2-75003-S
中氣層 中气层	2-74929-B
中氣層頂 中气层顶	2-75003-B
中江	2-75089-S
中江 中江	2-75089-B
中油	2-75160-S
中油 中油	2-75160-B
中法	2-75200-S
中法 中法	2-75200-B
中法战争	2-75273-S
中法戰爭 中法战争	2-75273-B
中法新約 中法新约	2-75399-B
中法新约	2-75399-S
中波	2-75506-S
中波 中波	2-75506-B
中洋脊	2-75555-S
中洋脊 中洋脊	2-75555-B
中流	2-75625-S
中流 中流	2-75625-B
中海油	2-75670-S
中海油 中海油	2-75670-B
中港	2-75756-S
中港 中港	2-75756-B
中港台	2-75810-S
中港臺 中港台	2-75810-B
中游	2-82599-S
中澳	2-75863-S
中澳 中澳	2-75863-B
中点	3-962-S
中爪哇	2-75925-S
中爪哇 中爪哇	2-75925-B
中牟	2-76011-S
中牟 中牟	2-76011-B
中獎 中奖	2-76076-B
中环	2-76148-S
中環 中环	2-76148-B
中生代	2-76192-S
中生代 中生代	2-76192-B
中產 中产	2-76283-B
中產階級 中产阶级	2-76362-B
中田英壽 中田英寿	2-76432-B
中田英寿	2-76432-S
中甸	2-76509-S
中甸 中甸	2-76509-B
中的	2-76558-S
中的 中的	2-76558-B
中盘	2-76608-S
中盤 中盘	2-76608-B
中石化	2-76718-S
中石化 中石化	2-76718-B
中石油川东钻探公司	2-76805-S
中石油川東鑽探公司 中石油川东钻探公司	2-76805-B
中秋	2-76974-S
中秋 中秋	2-76974-B
中秋節 中秋节	2-77033-B
中秋节	2-77033-S
中科院	2-77130-S
中科院 中科院	2-77130-B
中程	2-77220-S
中程 中程	2-77220-B
中立	2-77270-S
中立 中立	2-77270-B
中立国	2-77312-S
中立國 中立国	2-77312-B
中立性	2-77373-S
中立性 中立性	2-77373-B
中立派	2-77443-S
中立派 中立派	2-77443-B
中等	2-77518-S
中等 中等	2-77518-B
中等专业学校	2-77561-S
中等专业教育	2-77669-S
中等專業學校 中等专业学校	2-77561-B
中等專業教育 中等专业教育	2-77669-B
中等师范学校	2-77784-S
中等師範學校 中等师范学校	2-77784-B
中等技术学校	2-77905-S
中等技術學校 中等技术学校	2-77905-B
中等教育	2-78021-S
中等教育 中等教育	2-78021-B
中等普通教育	2-78123-S
中等普通教育 中等普通教育	2-78123-B
中签	2-78235-S
中签 中签	2-78235-B
中篇小說 中篇小说	2-78310-B
中篇小说	2-78310-S
中紀委 中纪委	2-78378-B
中級 中级	2-78555-B
中繼 中继	2-78619-B
中繼器 中继器	2-78672-B
中级	2-78555-S
中纪委	2-78378-S
中继	2-78619-S
中继器	2-78672-S
中美	2-78725-S
中美 中美	2-78725-B
中美洲	2-78770-S
中美洲 中美洲	2-78770-B
中老年	2-78833-S
中老年 中老年	2-78833-B
中老年人	2-78899-S
中老年人 中老年人	2-78899-B
中耳	2-78988-S
中耳 中耳	2-78988-B
中耳炎	2-79033-S
中耳炎 中耳炎	2-79033-B
中聽 中听	2-79118-B
中肯	2-79229-S
中肯 中肯	2-79229-B
中胚层	2-79282-S
中胚層 中胚层	2-79282-B
中脊	2-79367-S
中脊 中脊	2-79367-B
中臺 中台	2-79425-B
中興新村 中兴新村	2-79477-B
中舉 中举	2-79559-B
中苏解决悬案大纲协定	2-81022-S
中英	2-79622-S
中英 中英	2-79622-B
中英对照	2-79687-S
中英對照 中英对照	2-79687-B
中英文对照	2-79777-S
中英文對照 中英文对照	2-79777-B
中草药	2-79878-S
中草藥 中草药	2-79878-B
中药	2-80956-S
中華 中华	2-79948-B
中華人民共和國 中华人民共和国	2-80013-B
中華人民共和國中央軍事委員會 中华人民共和国中央军事委员会	2-80134-B
中華學生愛國民主同盟 中华学生爱国民主同盟	2-80337-B
中華民國 中华民国	2-80512-B
中華民族 中华民族	2-80587-B
中華蘇維埃共和國 中华苏维埃共和国	2-80662-B
中華鰟鮍 中华鳑鲏	2-80797-B
中葉 中叶	2-80884-B
中藥 中药	2-80956-B
中蘇解決懸案大綱協定 中苏解决悬案大纲协定	2-81022-B
中行	2-81256-S
中行 中行	2-81256-B
中衛 中卫	2-81335-B
中衛市 中卫市	2-81412-B
中装	2-81500-S
中裝 中装	2-81500-B
中西	2-81552-S
中西 中西	2-81552-B
中西合併 中西合并	2-81618-B
中西合并	2-81618-S
中西部	2-81697-S
中西部 中西部	2-81697-B
中計 中计	2-81749-B
中计	2-81749-S
中越	2-81846-S
中越 中越	2-81846-B
中軸 中轴	2-81906-B
中軸綫 中轴线	2-81960-B
中轉 中转	2-82028-B
中轉櫃檯 中转柜台	2-82116-B
中轉站 中转站	2-82209-B
中转	2-82028-S
中转柜台	2-82116-S
中转站	2-82209-S
中轴	2-81906-S
中轴线	2-81960-S
中辣	2-82282-S
中辣 中辣	2-82282-B
中農 中农	2-82346-B
中远集团	2-82679-S
中远香港集团	2-82774-S
中选	2-82879-S
中途	2-82402-S
中途 中途	2-82402-B
中途岛	2-82443-S
中途岛战役	2-82502-S
中途島 中途岛	2-82443-B
中途島戰役 中途岛战役	2-82502-B
中遊 中游	2-82599-B
中遠集團 中远集团	2-82679-B
中遠香港集團 中远香港集团	2-82774-B
中選 中选	2-82879-B
中邪	2-82981-S
中邪 中邪	2-82981-B
中部	2-83076-S
中部 中部	2-83076-B
中醫 中医	2-83138-B
中醫學 中医学	2-83208-B
中量級 中量级	2-83282-B
中量级	2-83282-S
中鋒 中锋	2-83342-B
中锋	2-83342-S
中長跑 中长跑	2-83398-B
中长跑	2-83398-S
中間 中间	2-83467-B
中間人 中间人	2-83535-B
中間件 中间件	2-83633-B
中間名 中间名	2-83692-B
中間層 中间层	2-83770-B
中間神經元 中间神经元	2-83829-B
中間纖維 中间纤维	2-83913-B
中關村 中关村	2-83994-B
中间	2-83467-S
中间人	2-83535-S
中间件	2-83633-S
中间名	2-83692-S
中间层	2-83770-S
中间神经元	2-83829-S
中间纤维	2-83913-S
中阮	2-84078-S
中阮 中阮	2-84078-B
中阳	3-0-S
中陽 中阳	3-0-B
中青	3-68-S
中青 中青	3-68-B
中青年	3-163-S
中青年 中青年	3-163-B
中非	3-223-S
中非 中非	3-223-B
中非共和国	3-298-S
中非共和國 中非共和国	3-298-B
中風 中风	3-391-B
中风	3-391-S
中飯 中饭	3-454-B
中飽 中饱	3-495-B
中飽私囊 中饱私囊	3-646-B
中餐	3-741-S
中餐 中餐	3-741-B
中餐館 中餐馆	3-802-B
中餐馆	3-802-S
中饭	3-454-S
中饱	3-495-S
中饱私囊	3-646-S
中魔	3-868-S
中魔 中魔	3-868-B
中點 中点	3-962-B
丮	3-1022-S
丮 丮	3-1022-B
丰	3-1049-S,59-19457-S
丰 丰	3-1049-B
丰产	59-21246-S
丰功	59-19518-S
丰功伟绩	59-19624-S
丰南	59-19714-S
丰厚	59-19776-S
丰原	59-19825-S
丰县	59-21634-S
丰台区	59-19890-S
丰城	59-19968-S
丰城市	59-20049-S
丰姿	59-20141-S
丰宁	59-20299-S
丰宁县	59-20512-S
丰宁满族自治县	59-20376-S
丰富	59-20180-S
丰富多彩	59-20228-S
丰年	59-20606-S
丰收	59-20758-S
丰水	59-20808-S
丰润	59-21104-S
丰满	59-20875-S,59-20944-S
丰满区	59-21019-S
丰滨乡	59-21167-S
丰田	59-21304-S
丰登	59-21360-S
丰盈	59-21425-S
丰盛	59-21479-S
丰碑	59-21530-S
丰美	59-21692-S
丰腴	59-21750-S
丰衣足食	59-21826-S
丰裕	59-21946-S
丰足	59-21996-S
丰都	59-22045-S
丰采	59-22108-S
丰镇	59-22164-S
丰韵	59-22237-S
丰顺	59-22298-S
丰顺县	59-22367-S
丰饶	59-22448-S
丱	3-1127-S
丱 丱	3-1127-B
串	3-1164-S
串 串	3-1164-B
串供	3-1294-S
串供 串供	3-1294-B
串处理	3-1509-S
串烧	3-1370-S
串燒 串烧	3-1370-B
串联	3-1465-S
串聯 串联	3-1465-B
串處理 串处理	3-1509-B
串通	3-1584-S
串通 串通	3-1584-B
串門子 串门子	3-1631-B
串门子	3-1631-S
丳	3-1719-S
丳 丳	3-1719-B
临	52-55987-S
临产	52-61362-S
临写	52-57203-S
临刑	52-56073-S
临别	52-56124-S
临别赠言	52-56186-S
临到	52-56269-S
临危	52-56312-S
临危授命	52-56397-S
临县	52-62005-S
临场	52-56650-S
临城	52-56585-S
临夏	52-56754-S
临夏回族自治州	52-56814-S
临夏州	52-56943-S
临头	52-62807-S
临安	52-57075-S
临安县	52-57133-S
临川	52-57281-S
临川区	52-57369-S
临帖	52-57467-S
临床	52-57537-S
临战	52-57582-S
临摹	52-57658-S
临时	52-57739-S
临时工	52-57824-S
临时抱佛脚	52-57896-S
临时政府	52-58139-S
临时的本地管理接口	52-58218-S
临月儿	52-58365-S
临朐县	52-58435-S
临朝	52-58504-S
临桂	52-58642-S
临武	52-58705-S
临死	52-58764-S
临死不怯	52-58825-S
临江	52-58941-S
临江市	52-59021-S
临汾	52-59112-S
临汾地区	52-59195-S
临汾市	52-59289-S
临沂	52-59383-S
临沂地区	52-59455-S
临沂市	52-59549-S
临沧	52-60671-S
临沧地区	52-60745-S
临沧市	52-60841-S
临沭	52-59632-S
临河	52-59696-S
临泉	52-59763-S
临泽	52-61117-S
临洮	52-59826-S
临海	52-59887-S
临海县	52-60083-S
临海水土志	52-59951-S
临淄区	52-60159-S
临清	52-60376-S
临渊羡鱼不如退而结网	52-60230-S
临渴穿井	52-60441-S
临湘	52-60607-S
临漳	52-60926-S
临潭	52-60991-S
临潼	52-61052-S
临澧	52-61176-S
临猗	52-61235-S
临猗县	52-61295-S
临界	52-61484-S
临界点	52-61691-S
临界状态	52-61535-S
