奄 奄 [01\[ yǎn\]]	suddenly;to embrace
奄奄一息 奄奄一息 [01\[ yān yān yī xī\]]	dying;at one's last gasp
奇 奇 [01\[ jī\]]	odd (number)
奇 奇 [01\[ qí\]]	strange;odd;weird;wonderful
奇事 奇事 [01\[ qí shì\]]	marvel
奇偶 奇偶 [01\[ jī ǒu\]]	parity;odd and even
奇函數 奇函数 [01\[ jī hán shù\]]	odd function (math.)
奇努克 奇努克 [01\[ qí nǔ kè\]]	chinook (helicopter)
奇台 奇台 [01\[ qí tái\]]	(n) qitai (place in xinjiang)
奇妙 奇妙 [01\[ qí miào\]]	fantastic;wonderful
奇幻 奇幻 [01\[ qí huàn\]]	fantasy (fiction)
奇形怪狀 奇形怪状 [01\[ qí xíng guài zhuàng\]]	fantastic oddities of every description (成语 saw)
奇怪 奇怪 [01\[ qí guài\]]	strange;odd
奇才 奇才 [01\[ qí cái\]]	genius
奇數 奇数 [01\[ jī shù\]]	odd number
奇昆古尼亞熱 奇昆古尼亚热 [01\[ qí kūn gǔ ní yà rè\]]	chikungunya fever
奇昆古尼亞病毒 奇昆古尼亚病毒 [01\[ qí kūn gǔ ní yà bìng dú\]]	chikungunya virus
奇景 奇景 [01\[ qí jǐng\]]	marvel
奇特 奇特 [01\[ qí tè\]]	peculiar;queer;strange
奇異 奇异 [01\[ qí yì\]]	fantastic;bizarre;odd;astonished
奇異夸克 奇异夸克 [01\[ qí yì kuā kè\]]	strange quark (phys.)
奇異果 奇异果 [01\[ qí yì guǒ\]]	kiwi fruit;chinese gooseberry
奇異筆 奇异笔 [01\[ qí yì bǐ\]]	marker (writing instrument)
奇缺 奇缺 [01\[ qí quē\]]	very short of (food
奇羨 奇羡 [01\[ jī xiàn\]]	surplus;profit
奇聞 奇闻 [01\[ qí wén\]]	anecdote
奇能 奇能 [01\[ qí néng\]]	special ability
奇能異士 奇能异士 [01\[ qí néng yì shì\]]	extraordinary hero with special abilities;martial arts super-hero
奇花異草 奇花异草 [01\[ qí huā yì cǎo\]]	(saying) very rarely seen
奇葩 奇葩 [01\[ qí pā\]]	out of the ordinary;rarely seen
奇觀 奇观 [01\[ qí guān\]]	spectacle
奇跡 奇迹 [01\[ qí jì\]]	miracle;miraculous;wonder;marvel
奇蹄類 奇蹄类 [01\[ jī tí lèi\]]	perissodactyla (odd-toed ungulates
奇蹟 奇蹟 [01\[ qí jì\]]	variant of 奇跡|奇迹
奇遇 奇遇 [01\[ qí yù\]]	happy encounter;fortuitous meeting;adventure
奇醜 奇丑 [01\[ qí chǒu\]]	grotesque;extremely ugly;hideous
奇醜無比 奇丑无比 [01\[ qí chǒu wú bǐ\]]	extremely ugly;incomparably hideous
奈 奈 [01\[ nài\]]	how can one help
奈何 奈何 [01\[ nài hé\]]	to do something to sb;to deal with;to cope;how?;to no avail
奈曼旗 奈曼旗 [01\[ nài màn qí\]]	(n) naiman qi (place in inner mongolia)
奈良 奈良 [01\[ nài liáng\]]	nara
奈良時代 奈良时代 [01\[ nài liáng shí dài\]]	nara period (710-794) in early japanese history
奉 奉 [01\[ fèng\]]	to receive (from superior);to offer;to revere
奉公 奉公 [01\[ fèng gōng\]]	to pursue public affairs
奉公剋己 奉公克己 [01\[ fèng gōng kè jǐ\]]	self-restraint and devotion to public duties (成语 saw); selfless dedication;to serve the public interest wholeheartedly
奉公守法 奉公守法 [01\[ fèng gōng shǒu fǎ\]]	to carry out official duties and observe the law
奉勸 奉劝 [01\[ fèng quàn\]]	advise;advised
奉化 奉化 [01\[ fèng huà\]]	fenghua county-level city in ningbo prefecture
奉召 奉召 [01\[ fèng zhào\]]	to receive orders
奉告 奉告 [01\[ fèng gào\]]	(honorific) to inform
奉命 奉命 [01\[ fèng mìng\]]	to receive orders;to follow orders;to act under orders
