paid	26-60113-S
paid by han dynasty tribes	59-59646-S
paid by state stipend	19-42892-B
paid card telephone	6-58933-S
paid for business term	7-47929-S
paid i e sb should pay me	5-61157-S
paid on a loan	9-7976-S
paid stooge	28-6319-S
paid to a bank account	10-37740-S
paid to a middleman	14-58012-S
paiho town in taiwan	44-41607-S
pain	8-62770-S,9-13722-S,13-15469-S,13-29180-S,24-35646-S,28-0-S,34-30197-B,35-33015-S,35-33015-S,35-33142-S,44-6610-B,44-13364-S,44-14045-B,44-14772-S,44-14927-B,49-61514-S,52-24645-S,52-44915-S,57-51595-S,65-26048-S,65-26048-S,67-11834-S,67-13045-S,71-55865-S
pain and difficulties	44-7430-B
pain and suffering 成语 saw	9-36214-S
pain disorder in chinese medicine	44-16180-S
pain from a wound	9-36940-B
pain in the hands due to pressure on the median nerve	52-38801-S
pain in the neck	57-62673-S
pain killer	35-32942-S,64-54996-B,66-66832-S
pain of being hanged upside down 成语 saw	5-56663-S
pain of love	24-35533-S
pain or surprise	13-41276-S
pain sanskrit avici	66-14475-S,66-14538-S
pained	44-14134-B,53-67703-B
painful	8-24667-B,25-48091-B,44-14927-B,53-66869-B,63-45433-S
painful urination	65-55862-S
pains	9-15246-S,53-67213-S,66-21029-S
pains or effort	2-35364-S
painstaking	9-14500-B,9-14574-S,10-9657-S,49-32212-B
painstaking effort	25-47649-S,53-67213-B
painstaking effort 成语 saw	25-47723-S
painstaking efforts	53-67441-S
painstaking efforts 成语 saw	53-67308-S
paint	3-25039-S,5-8486-S,9-12096-S,37-22928-S,38-27896-S,38-28020-B,39-43710-B,50-41779-S,54-55551-S,68-44597-B
paint a dragon and dot in the eyes 成语 saw	43-59492-S
paint derived from milk products	63-42128-S
paint from dried fish guts	70-37879-S
paint or lacquer	14-37177-S
paintball sport involving shooting gelatin paintballs	39-43788-B
paintballs	39-43788-S
paintbrush	9-12329-S
painted eggs	14-9198-S
painted into a corner	60-11844-S
painted ornament	16-18749-B
painted shell	23-56244-B
painter	16-18481-B,19-29890-S,24-26826-S,32-11556-S,39-61405-S,43-58511-B,46-8353-S
painter for 50 years	63-21240-S
painter of the florentine school	33-41820-S
painters of the six dynasties	7-67951-S
painting	2-61124-S,3-3336-B,6-19933-S,12-43087-S,12-57262-S,15-11988-S,16-31683-S,19-5790-S,20-14621-S,21-49789-S,23-56041-S,26-33489-S,26-36567-S,27-9803-S,27-35188-S,27-60242-S,27-61646-S,28-36446-S,29-25752-S,29-66257-S,35-9453-S,35-39311-S,36-40137-S,36-40193-S,37-23186-S,40-40878-S,43-58040-B,43-58136-B,43-59375-S,50-41934-B,51-8713-B,52-57203-S,55-3809-S,55-53836-S,57-2780-S,60-15773-S,61-14783-S,63-2279-S,71-39964-S
painting and calligraphy	48-15845-S
painting circles	43-58389-B
painting etc	52-57658-S
painting in beijing opera etc	44-44330-S
painting inside a gourd 成语 saw	41-9267-S
painting of birds and flowers	53-61711-B
painting of famous person	16-29910-S
painting on shell	23-56244-B
painting on silk	22-24828-B
painting or calligraphy	34-14091-S,45-44935-S
painting surface	43-58601-S
painting the eyebrow	71-37341-S
painting world	43-58389-B
paintings	21-61243-S
paints	37-22928-S,66-63249-S
pair	1-7096-B,1-7140-S,5-6480-S,6-21221-B,10-39908-S,18-56876-S,20-46157-B,20-48887-B,42-45855-S,51-38776-B,63-37911-S,63-38019-S,66-63297-B,66-63401-B,67-356-S,71-5386-S
pair bp consisting of two complementary nucleotides adenine a 腺嘌呤 paired with thymine t 胸腺嘧啶 in dna	71-5219-S
pair e g to marry	63-37911-S
pair kbp	10-52662-S
pair matching game	20-49097-S
pair of aces in dominoes	20-49483-B
pair of hands	66-65686-B
pair of heels	61-64325-S
pair of legs on each segment	5-54643-S
pair of lines of verse written vertically down the sides of a doorway	20-54845-B
pair of lovers in fiction	26-37448-S
pair of trousers	57-11340-S
pair of worn out shoes	57-34947-S
pair scrolls	22-33140-S
pair skating	66-63588-B
pair up	28-61199-S,63-37911-S
paired opponents e g sporting	20-50270-S
paired phrases poetic device	3-45085-B
paired sentences as rhetoric device	28-15214-S
paired with thymine t 胸腺嘧啶 in dna	71-5219-S
pairing e g adenine a 腺嘌呤 pairs with thymine t 胸腺嘧啶 in dna	71-5050-S,71-5386-S
pairs	9-31594-S,20-47423-S,28-58671-S,28-61199-S,49-40953-S
pairs of eight trigram	7-66489-S
pairs with thymine t 胸腺嘧啶 in dna	71-5050-S,71-5386-S
pairs 成语 saw	40-56859-S
paisha village in taiwan	44-41343-S
paiwan	28-17576-B
pajamas	45-55275-B,45-55330-B
pak choi or bok choi	44-45122-B
pak mei or bak mei white eyebrow chinese martial art	44-42873-B
pakistan	4-49127-S,5-44202-S,5-51562-S,11-14373-S,11-18615-S,22-4359-B,27-21737-S,30-67532-S,30-67626-S,30-67711-S,45-44290-S
pakistan and afghanistan	5-51464-S
pakistan leader	47-37622-S
pal	48-14615-S
palace	7-26715-S,8-12271-S,19-57171-B,19-57633-B,19-58029-B,22-62727-S,29-59785-S,30-26315-S,36-41571-S,40-37100-S,42-34403-S,44-46920-S,44-60983-S,50-35001-S,64-13284-S,65-49099-S,65-50239-S,65-50907-S,67-9533-S
palace as part of imperial tomb	15-40231-S
palace at iraklion	58-49168-S
palace corridor or passageway	16-38053-B
palace courtyard	23-19807-B
palace eunuch	17-59883-B
palace graduate	62-29483-B
palace hall	36-2399-B
palace in beijing	49-29013-S,68-35827-S
palace in the fairy mountain	4-29091-S
palace in ulan bator	11-7972-S
palace museum in forbidden city	29-59838-B
palace of jade emperor in taoism	49-28467-B
palace office	28-18754-B
palace residence of concubine	28-18754-B
palace 頤和園 颐和园	5-5239-S,10-41999-S,54-44329-S,65-14612-S
palaces	42-57580-S
palaeo	11-71305-B
palaeocene geological epoch from 65m 55m years ago	12-2632-B
palaeocene system geol	12-2728-B
palaeolithic culture	54-25595-S
palaeontologist	12-4270-B
palaeontology	12-4201-B
palais des nations	54-44077-B
palanka a personal name	22-23711-B
palanquin	48-3606-S,61-30801-S,61-30859-S,61-30926-S
palatable	28-38159-S
