開眼 开眼	65-39891-B
開眼界 开眼界	65-39967-B
開砲 开炮	65-40019-B
開礦 开矿	65-40065-B
開禁 开禁	65-40123-B
開端 开端	65-40187-B
開筆 开笔	65-40237-B
開縣 开县	65-40324-B
開羅 开罗	65-40380-B
開羅大學 开罗大学	65-40438-B
開脫 开脱	65-40509-B
開脫罪責 开脱罪责	65-40579-B
開膛手傑克 开膛手杰克	65-40684-B
開臉 开脸	65-40767-B
開臺 开台	65-40864-B
開船 开船	65-40945-B
開花 开花	65-40992-B
開花兒 开花儿	65-41124-B
開花衣 开花衣	65-41197-B
開荒	23-23193-S
開葷 开荤	65-41265-B
開藥 开药	65-41386-B
開裂 开裂	65-41441-B
開襟 开襟	65-41525-B
開襠褲 开裆裤	65-41607-B
開設 开设	65-41699-B
開誠佈公 开诚布公	65-41782-B
開誠布公 开诚布公	65-42002-B
開誠相見 开诚相见	65-42222-B
開課 开课	65-42311-B
開講 开讲	65-42387-B
開路 开路	65-42461-B
開車 开车	65-42507-B
開車人 开车人	65-42555-B
開辟 开辟	65-42631-B
開辟者 开辟者	65-42702-B
開辦 开办	65-42767-B
開通 开通	65-42835-B
開道 开道	65-42896-B
開遠 开远	65-42946-B
開都河 开都河	65-43009-B
開金 开金	65-43075-B
開銷 开销	65-43166-B
開鍋 开锅	65-43209-B
開鎖 开锁	65-43254-B
開鐮 开镰	65-43294-B
開鑿 开凿	65-43349-B
開門 开门	65-43398-B
開門見山 开门见山	65-43447-B
開間 开间	65-43568-B
開闊 开阔	65-43653-B
開關 开关	65-43716-B
開除 开除	65-43778-B
開除學籍 开除学籍	65-43820-B
開除黨籍 开除党籍	65-43895-B
開陽 开阳	65-43981-B
開集 开集	65-44083-B
開霽 开霁	65-44132-B
開頭 开头	65-44189-B
開飯 开饭	65-44232-B
開魯 开鲁	65-44278-B
開黑店 开黑店	65-44346-B
開齋節 开斋节	65-44538-B
閌 闶	65-44710-B
閎 闳	65-44743-B
閏 闰	65-44788-B
閏年 闰年	65-44908-B
閏月 闰月	65-45008-B
閑 闲	65-45092-B
閑事 闲事	65-45172-B
閑人 闲人	65-45230-B
閑散 闲散	65-45296-B
閑暇 闲暇	65-45335-B
閑聊 闲聊	65-45409-B
閑聊天 闲聊天	65-45464-B
閑職 闲职	65-45531-B
閑言碎語 闲言碎语	65-45615-B
閑話 闲话	65-45719-B
閑談 闲谈	65-45781-B
閑逸 闲逸	65-45838-B
閑雅 闲雅	65-45891-B
閑雜 闲杂	65-45941-B
閒	65-46008-S,65-46051-S
閒 閒	65-46008-B,65-46051-B
閒暇	65-46093-S
閒暇 閒暇	65-46093-B
閒混	65-46135-S
閒混 閒混	65-46135-B
閒置 闲置	65-46176-B
閒話 閒话	65-46257-B
閒談 閒谈	65-46298-B
閒话	65-46257-S
閒谈	65-46298-S
間 间	65-46337-B,65-46410-B
間接 间接	65-46453-B
間接稅 间接税	65-46496-B
間接選舉 间接选举	65-46555-B
間斷 间断	65-46629-B
間歇 间歇	65-46699-B
間腦 间脑	65-46789-B
間苗 间苗	65-46836-B
間諜 间谍	65-46894-B
間諜活動 间谍活动	65-46932-B
間諜軟件 间谍软件	65-47006-B
間隔 间隔	65-47072-B
間隔號 间隔号	65-47130-B
間隙 间隙	65-47251-B
閔 闵	65-47307-B
閔行區 闵行区	65-47361-B
閘 闸	65-47422-B
閘北區 闸北区	65-47516-B
閘盒 闸盒	65-47575-B
閘門 闸门	65-47635-B
閟	65-47681-S
閟 閟	65-47681-B
閡 阂	65-47714-B
関	65-47744-S
関 関	65-47744-B
閣 阁	65-47795-B
閣下 阁下	65-47859-B
閣樓 阁楼	65-47909-B
閤 阖	65-47959-B
閥 阀	65-48012-B
閥芯 阀芯	65-48046-B
閥門 阀门	65-48099-B
閦	65-48139-S
閦 閦	65-48139-B
閧	65-48201-S
閧 閧	65-48201-B
閨 闺	65-48248-B
閨女 闺女	65-48288-B
閨情 闺情	65-48352-B
閨房 闺房	65-48422-B
閨秀 闺秀	65-48512-B
閨窗 闺窗	65-48568-B
閨閣 闺阁	65-48629-B
閩 闽	65-48676-B
閩侯縣 闽侯县	65-48731-B
閩南 闽南	65-48800-B
閩南語 闽南语	65-48840-B
閩江 闽江	65-48890-B
閩清 闽清	65-48949-B
閫 阃	65-49013-B
閬 阆	65-49066-B,65-49099-B
閬中 阆中	65-49161-B
閭 闾	65-49229-B
閱 阅	65-49276-B
閱世 阅世	65-49320-B
閱兵 阅兵	65-49370-B
閱微草堂筆記 阅微草堂笔记	65-49421-B
閱歷 阅历	65-49561-B
閱覽 阅览	65-49614-B
閱覽室 阅览室	65-49655-B
閱讀 阅读	65-49712-B
閱讀器 阅读器	65-49760-B
閱讀廣度 阅读广度	65-49820-B
閱讀廣度測驗 阅读广度测验	65-49888-B
閱讀時間 阅读时间	65-49982-B
閱讀理解 阅读理解	65-50050-B
閱讀障礙 阅读障碍	65-50125-B
閲	65-50189-S
閲 閲	65-50189-B
閶 阊	65-50239-B
閹 阉	65-50293-B
閹割 阉割	65-50324-B
閺	65-50367-S
閺 閺	65-50367-B
閻 阎	65-50399-B
閻王 阎王	65-50449-B
閻錫山 阎锡山	65-50488-B
閼 阏	65-50555-B,65-50585-B
閽 阍	65-50638-B
閾 阈	65-50672-B
閾值 阈值	65-50703-B
閿 阌	65-50745-B
闃 阒	65-50777-B
闆 板	65-50815-B
闇 暗	65-50855-B
闈 闱	65-50907-B
闉	65-50965-S
闉 闉	65-50965-B
闊 阔	65-51011-B
闊度 阔度	65-51049-B
闊氣 阔气	65-51089-B
闊綽 阔绰	65-51155-B
闊葉 阔叶	65-51233-B
闋 阕	65-51285-B
闌 阑	65-51330-B
闌尾 阑尾	65-51379-B
闌尾炎 阑尾炎	65-51437-B
闍	65-51494-S,65-51538-S
闍 闍	65-51494-B,65-51538-B
闍 阇	65-51593-B,65-51652-B
闍棃 阇梨	65-51692-B
闐 阗	65-51755-B
闑	65-51801-S
闑 闑	65-51801-B
闒	65-51854-S
闒 闒	65-51854-B
闓 闿	65-51908-B
闔 阖	65-51942-B
闔傢 阖家	65-52015-B
闔廬 阖庐	65-52064-B
闔閭 阖闾	65-52120-B
闔閭城 阖闾城	65-52176-B
闔閭城遺址 阖闾城遗址	65-52272-B
闕 阙	65-52378-B,65-52415-B
闖 闯	65-52463-B
闖入 闯入	65-52510-B
闖王 闯王	65-52583-B
闖王陵 闯王陵	65-52647-B
闖盪 闯荡	65-52839-B
闖蕩江湖 闯荡江湖	65-52966-B
闖過 闯过	65-53055-B
闖關 闯关	65-53118-B
闖關者 闯关者	65-53182-B
闘	65-53280-S
闘 闘	65-53280-B
闚	65-53330-S
闚 闚	65-53330-B
關 关	65-53366-B
關中 关中	65-53467-B
關中地區 关中地区	65-53534-B
關中平原 关中平原	65-53621-B
關乎 关乎	65-53712-B
關于	65-53775-S
關于 關于	65-53775-B
關係 关系	65-53904-B
關係密切 关系密切	65-54006-B
關係式 关系式	65-54098-B
關切 关切	65-54173-B
關卡 关卡	65-54244-B
關城 关城	65-54336-B
關塔納摩 关塔纳摩	65-54404-B
關塔那摩 关塔那摩	65-54468-B
關塔那摩灣 关塔那摩湾	65-54532-B
關塞 关塞	65-54621-B
關境 关境	65-54667-B
關山鎮 关山镇	65-54717-B
關島 关岛	65-54794-B
關島大學 关岛大学	65-54853-B
關廟鄉 关庙乡	65-54927-B
關廠 关厂	65-55008-B
關征 关征	65-55100-B
關心 关心	65-55185-B
關懷 关怀	65-55252-B
關懷備至 关怀备至	65-55349-B
關押 关押	65-55442-B
關掉 关掉	65-55487-B
關於 关于	65-55545-B
關東 关东	65-55647-B
關東地震 关东地震	65-55689-B
關東軍 关东军	65-55772-B
關格 关格	65-55862-B
關機 关机	65-55949-B
關注 关注	65-56004-B
關漢卿 关汉卿	65-56090-B
關照 关照	65-56167-B
關白 关白	65-56247-B
關稅 关税	65-56301-B
關稅同盟 关税同盟	65-56358-B
關稅國境 关税国境	65-56431-B
關稅壁壘 关税壁垒	65-56504-B
關稅與貿易總協定 关税与贸易总协定	65-56572-B
關穎珊 关颖珊	65-56678-B
關節 关节	65-56739-B
關節炎 关节炎	65-56779-B
關系到 关系到	65-56834-B
關羽 关羽	65-56900-B
關聯 关联	65-56948-B
關聯公司 关联公司	65-57009-B
關西 关西	65-57092-B
關西鎮 关西镇	65-57148-B
關貿總協定 关贸总协定	65-57222-B
關連 关连	65-57296-B
關鍵 关键	65-57376-B
關鍵字 关键字	65-57431-B
關鍵詞 关键词	65-57484-B
關門 关门	65-57537-B
關閉 关闭	65-57595-B
關頭 关头	65-57645-B
闞 阚	65-57695-B
闟	65-57747-S
闟 闟	65-57747-B
闠	65-57787-S
闠 闠	65-57787-B
闡 阐	65-57824-B
闡明 阐明	65-57882-B
闡述 阐述	65-57941-B
闡釋 阐释	65-58046-B
闢 辟	65-58127-B
闤	65-58170-S
闤 闤	65-58170-B
闥 闼	65-58220-B
门	65-21183-S
门兴格拉德巴赫	65-23656-S
门到门	65-21452-S
门前	65-21509-S
门厅	65-22188-S
门口	65-21564-S
门可罗雀	65-21610-S
门垫	65-21731-S
门外	65-21773-S
门外汉	65-21823-S
门头沟区	65-24223-S
门客	65-21874-S
门将	65-21948-S
门岗	65-22022-S
门市部	65-22061-S
门廊	65-22148-S
门当户对	65-23355-S
门径	65-22246-S
门徒	65-22287-S
门户	65-22328-S
门户开放	65-22502-S
门户网站	65-22435-S
门扇	65-22661-S
门扣	65-24000-S
门捷列夫	65-22728-S
门栓	65-22821-S
门框	65-22861-S
门槛	65-22907-S
门源回族自治县	65-23017-S
门牌	65-23146-S
门球	65-23203-S
门生	65-23282-S
门神	65-23469-S
门票	65-23512-S
门禁	65-23566-S
门罗	65-23616-S
门诊	65-23775-S
门诊室	65-23828-S
门路	65-23923-S
门铃	65-24044-S
门锁	65-24087-S
门闩	65-24130-S
门阶	65-24171-S
门齿	65-24333-S
闩	65-24374-S
闪	65-24406-S
闪亮	65-24589-S
闪亮儿	65-24671-S
闪光	65-24747-S
闪光灯	65-24789-S
闪光点	65-24869-S
闪击	65-25516-S
闪击战	65-25577-S
闪动	65-24964-S
闪卡	65-25008-S
闪含语系	65-25051-S
闪失	65-25154-S
闪婚	65-25220-S
闪存	65-25313-S
闪射	65-25373-S
闪开	65-26734-S
闪念	65-25452-S
闪映	65-25647-S
闪灼	65-25696-S
闪点	65-27112-S
闪烁	65-25782-S
闪烁体	65-25946-S
闪烁其词	65-25835-S
闪熠	65-25737-S
闪现	65-26004-S
闪电	65-26790-S
闪电式结婚	65-26835-S
闪电战	65-26985-S
闪痛	65-26048-S
闪眼	65-26124-S
闪石	65-26190-S
闪耀	65-26266-S
闪语	65-26306-S
闪身	65-26356-S
闪躲	65-26408-S
闪辉	65-26460-S
闪过	65-26508-S
闪避	65-26602-S
闪闪	65-26656-S
闪露	65-27057-S
闫	65-27159-S
闭	65-27258-S
闭上	65-27310-S
闭上嘴巴	65-27363-S
闭会	65-28090-S
闭会祈祷	65-28138-S
闭元音	65-27426-S
闭关	65-29095-S
闭关政策	65-29201-S
闭关自守	65-29276-S
闭关锁国	65-29378-S
闭区间	65-27482-S
闭合	65-27555-S
闭嘴	65-27602-S
闭塞	65-27677-S
闭塞眼睛捉麻雀	65-27791-S
闭幕	65-27929-S
闭幕式	65-28029-S
闭月羞花	65-28203-S
闭目塞听	65-28278-S
闭着	65-28472-S
闭经	65-28427-S
闭路电视	65-28510-S
闭锁期	65-28590-S
闭门思过	65-28666-S
闭门觅句	65-28766-S
闭门造车	65-28919-S
闭音节	65-29524-S
问	13-62452-S
问世	13-62481-S
问候	13-62542-S
问号	13-62980-S
问好	13-62617-S
问安	13-62691-S
问心无愧	13-62847-S
问心有愧	13-62764-S
问答	13-62928-S
问讯	13-63082-S
问话	13-63129-S
问路	13-63200-S
问道	13-63251-S
问题	13-63299-S
问鼎	13-63360-S
问鼎中原	13-63511-S
问鼎轻重	13-63687-S
闯	65-52463-S
闯入	65-52510-S
闯关	65-53118-S
闯关者	65-53182-S
闯王	65-52583-S
闯王陵	65-52647-S
闯荡	65-52839-S
闯荡江湖	65-52966-S
闯过	65-53055-S
闰	65-44788-S
闰年	65-44908-S
闰月	65-45008-S
闱	65-50907-S
闲	65-45092-S
闲事	65-45172-S
闲人	65-45230-S
闲散	65-45296-S
闲暇	65-45335-S
闲杂	65-45941-S
闲置	65-46176-S
闲聊	65-45409-S
闲聊天	65-45464-S
闲职	65-45531-S
闲言碎语	65-45615-S
闲话	65-45719-S
闲谈	65-45781-S
闲逸	65-45838-S
闲雅	65-45891-S
闳	65-44743-S
间	65-46337-S,65-46410-S
间接	65-46453-S
间接税	65-46496-S
间接选举	65-46555-S
间断	65-46629-S
间歇	65-46699-S
间脑	65-46789-S
间苗	65-46836-S
间谍	65-46894-S
间谍活动	65-46932-S
间谍软件	65-47006-S
间隔	65-47072-S
间隔号	65-47130-S
间隙	65-47251-S
闵	65-47307-S
闵行区	65-47361-S
闶	65-44710-S
闷	25-11015-S,25-11085-S
闷热	25-11212-S
闷闷不乐	25-11129-S
闸	65-47422-S
闸北区	65-47516-S
闸盒	65-47575-S
闸门	65-47635-S
闹	70-29362-S
闹事	70-29410-S
闹剧	70-29478-S
闹区	70-29516-S
闹着玩儿	70-29692-S
闹笑话	70-29557-S
闹脾气	70-29638-S
闹钟	70-29912-S
闹铃	70-29794-S
闹铃时钟	70-29842-S
闹鬼	70-29959-S
闺	65-48248-S
闺女	65-48288-S
闺情	65-48352-S
闺房	65-48422-S
闺秀	65-48512-S
闺窗	65-48568-S
闺阁	65-48629-S
闻	51-56383-S
闻一多	51-56485-S
闻一知十	51-56550-S
闻人	51-56722-S
闻出	51-56769-S
闻到	51-56854-S
闻名	51-56937-S
闻名遐迩	51-57006-S
闻喜	51-57094-S
闻悉	51-57154-S
闻所未闻	51-57206-S
闻讯	51-57314-S
闻达	51-57506-S
闻过则喜	51-57365-S
闻风丧胆	51-57577-S
闻风而动	51-57662-S
闼	65-58220-S
闽	65-48676-S
闽侯县	65-48731-S
闽南	65-48800-S
闽南语	65-48840-S
闽江	65-48890-S
闽清	65-48949-S
闾	65-49229-S
闿	65-51908-S
阀	65-48012-S
阀芯	65-48046-S
阀门	65-48099-S
阁	65-47795-S
阁下	65-47859-S
阁楼	65-47909-S
阂	65-47714-S
阃	65-49013-S
阄	70-30256-S
阅	65-49276-S
阅世	65-49320-S
阅兵	65-49370-S
阅历	65-49561-S
阅微草堂笔记	65-49421-S
阅览	65-49614-S
阅览室	65-49655-S
阅读	65-49712-S
阅读器	65-49760-S
阅读广度	65-49820-S
阅读广度测验	65-49888-S
阅读时间	65-49982-S
阅读理解	65-50050-S
阅读障碍	65-50125-S
阆	65-49066-S,65-49099-S
阆中	65-49161-S
阇	65-51593-S,65-51652-S
阇梨	65-51692-S
阈	65-50672-S
阈值	65-50703-S
阉	65-50293-S
阉割	65-50324-S
阊	65-50239-S
阋	70-30050-S
阌	65-50745-S
阍	65-50638-S
阎	65-50399-S
阎王	65-50449-S
阎锡山	65-50488-S
阏	65-50555-S,65-50585-S
阐	65-57824-S
阐明	65-57882-S
阐述	65-57941-S
阐释	65-58046-S
阑	65-51330-S
阑尾	65-51379-S
阑尾炎	65-51437-S
阒	65-50777-S
阔	65-51011-S
阔叶	65-51233-S
阔度	65-51049-S
阔气	65-51089-S
阔绰	65-51155-S
阕	65-51285-S
阖	65-47959-S,65-51942-S
阖家	65-52015-S
阖庐	65-52064-S
阖闾	65-52120-S
阖闾城	65-52176-S
阖闾城遗址	65-52272-S
阗	65-51755-S
阙	65-52378-S,65-52415-S
阚	65-57695-S
阜	65-58263-S
阜 阜	65-58263-B
阜南	65-58299-S
阜南 阜南	65-58299-B
阜城	65-58359-S
阜城 阜城	65-58359-B
阜宁	65-58422-S
阜寧 阜宁	65-58422-B
阜平	65-58485-S
阜平 阜平	65-58485-B
阜康	65-58546-S
阜康 阜康	65-58546-B
阜成門 阜成门	65-58609-B
阜成门	65-58609-S
阜新	65-58689-S
阜新 阜新	65-58689-B
阜新市	65-58809-S
阜新市 阜新市	65-58809-B
阜新蒙古族自治县	65-58940-S
阜新蒙古族自治縣 阜新蒙古族自治县	65-58940-B
阜阳	65-59091-S
阜阳地区	65-59162-S
阜阳市	65-59242-S
阜陽 阜阳	65-59091-B
阜陽地區 阜阳地区	65-59162-B
阜陽市 阜阳市	65-59242-B
