交通大学	3-72489-S
交通大學 交通大学	3-72489-B
交通意外	3-72565-S
交通意外 交通意外	3-72565-B
交通管理局	3-72648-S
交通管理局 交通管理局	3-72648-B
交通警察	3-72739-S
交通警察 交通警察	3-72739-B
交通車 交通车	4-0-B
交通车	4-0-S
交通运输	4-58-S
交通運輸 交通运输	4-58-B
交通部	4-125-S
交通部 交通部	4-125-B
交通銀行 交通银行	4-195-B
交通银行	4-195-S
交通阻塞	4-276-S
交通阻塞 交通阻塞	4-276-B
交還 交还	4-343-B
交配	4-405-S
交配 交配	4-405-B
交鋒 交锋	4-457-B
交錢 交钱	4-542-B
交錯 交错	4-636-B
交钱	4-542-S
交锋	4-457-S
交错	4-636-S
交际	4-698-S
交際 交际	4-698-B
交集	4-764-S
交集 交集	4-764-B
交響 交响	4-823-B
交響曲 交响曲	4-868-B
交響樂 交响乐	4-923-B
交響樂團 交响乐团	4-979-B
交響樂隊 交响乐队	4-1048-B
交馳 交驰	4-1125-B
交驰	4-1125-S
交點 交点	4-1208-B
亥	4-1279-S
亥 亥	4-1279-B
亥猪	4-1332-S
亥豬 亥猪	4-1332-B
亦	4-1373-S
亦 亦	4-1373-B
亦即	4-1399-S
亦即 亦即	4-1399-B
亦庄	4-1528-S
亦称	4-1445-S
亦稱 亦称	4-1445-B
亦莊 亦庄	4-1528-B
产	43-30965-S
产下	43-31059-S
产业	43-32045-S
产业工人	43-32114-S
产业链	43-32188-S
产仔	43-31114-S
产值	43-31161-S
产假	43-31224-S
产儿	43-31274-S
产前	43-31342-S
产区	43-31386-S
产卵	43-31462-S
产后	43-31854-S
产品	43-31510-S
产品经理	43-31570-S
产地	43-31642-S
产妇	43-31781-S
产婆	43-31740-S
产房	43-31898-S
产期	43-31973-S
产权	43-32250-S
产油国	43-32300-S
产物	43-32369-S
产生	43-32422-S
产科	43-32645-S
产程	43-32725-S
产粮	43-32787-S
产粮区	43-32850-S
产褥期	43-32914-S
产褥热	43-33024-S
产道	43-33099-S
产量	43-33161-S
产量多	43-33204-S
产销	43-33260-S
产院	43-33320-S
亨	4-1601-S
亨 亨	4-1601-B
亨利	4-1635-S
亨利 亨利	4-1635-B
亨特	4-1681-S
亨特 亨特	4-1681-B
亨特泰罗	4-1721-S
亨特泰羅 亨特泰罗	4-1721-B
亨祚	4-1808-S
亨祚 亨祚	4-1808-B
亩	43-53921-S
享	4-1865-S
享 享	4-1865-B
享乐	4-2202-S
享乐主义	4-2253-S
享乐主义者	4-2317-S
享受	4-1928-S
享受 享受	4-1928-B
享名	4-1981-S
享名 享名	4-1981-B
享国	4-2039-S
享國 享国	4-2039-B
享年	4-2097-S
享年 享年	4-2097-B
享有	4-2153-S
享有 享有	4-2153-B
享樂 享乐	4-2202-B
享樂主義 享乐主义	4-2253-B
享樂主義者 享乐主义者	4-2317-B
享清福	4-2392-S
享清福 享清福	4-2392-B
享用	4-2465-S
享用 享用	4-2465-B
享福	4-2543-S
享福 享福	4-2543-B
享誉	4-2623-S
享譽 享誉	4-2623-B
京	4-2679-S
京 京	4-2679-B
京九鐵路 京九铁路	4-2726-B
京九铁路	4-2726-S
京二胡	4-2815-S
京二胡 京二胡	4-2815-B
京剧	4-2868-S
京劇 京剧	4-2868-B
京华时报	4-3831-S
京城	4-2915-S
京城 京城	4-2915-B
京山	4-2972-S
京山 京山	4-2972-B
京广	4-3037-S
京广铁路	4-3095-S
京廣 京广	4-3037-B
京廣鐵路 京广铁路	4-3095-B
京戏	4-3195-S
京戲 京戏	4-3195-B
京族	4-3242-S
京族 京族	4-3242-B
京杭大运河	4-3293-S
京杭大運河 京杭大运河	4-3293-B
京杭运河	4-3375-S
京杭運河 京杭运河	4-3375-B
京沪	4-3501-S
京沪高铁	4-3555-S
京津	4-3447-S
京津 京津	4-3447-B
京滬 京沪	4-3501-B
京滬高鐵 京沪高铁	4-3555-B
京畿道	4-3709-S
京畿道 京畿道	4-3709-B
京胡	4-3791-S
京胡 京胡	4-3791-B
京華時報 京华时报	4-3831-B
京郊日報 京郊日报	4-3913-B
京郊日报	4-3913-S
京都	4-4003-S
京都 京都	4-4003-B
亭	4-4078-S
亭 亭	4-4078-B
亭子	4-4110-S
亭子 亭子	4-4110-B
亭閣 亭阁	4-4151-B
亭阁	4-4151-S
亮	4-4190-S
亮 亮	4-4190-B
亮光	4-4227-S
亮光 亮光	4-4227-B
亮堂	4-4330-S
亮堂 亮堂	4-4330-B
亮度	4-4389-S
亮度 亮度	4-4389-B
亮彩	4-4436-S
亮彩 亮彩	4-4436-B
亮星	4-4508-S
亮星 亮星	4-4508-B
亮星云	4-4556-S
亮星雲 亮星云	4-4556-B
亮氨酸	4-4619-S
亮氨酸 亮氨酸	4-4619-B
亮相	4-4679-S
亮相 亮相	4-4679-B
亮菌	4-4807-S
亮菌 亮菌	4-4807-B
亮菌甲素	4-4908-S
亮菌甲素 亮菌甲素	4-4908-B
亮閃閃 亮闪闪	4-5012-B
亮闪闪	4-5012-S
亲	57-37612-S,57-37762-S
亲事	57-37819-S
亲亲	57-40530-S
亲人	57-37861-S
亲代	57-37916-S
亲信	57-37989-S
亲切	57-38035-S
亲历	57-39575-S
亲友	57-38156-S
亲口	57-38211-S
亲吻	57-38266-S
亲善	57-38304-S
亲嘴	57-38347-S
亲如手足	57-38400-S
亲子	57-38505-S
亲子鉴定	57-38609-S
亲家	57-38683-S
亲密	57-38785-S
亲密无间	57-38832-S
亲属	57-38901-S
亲征	57-38946-S
亲情	57-39063-S
亲戚	57-39315-S
亲手	57-39380-S
亲昵	57-39446-S
亲朋好友	57-39487-S
亲民党	57-39627-S
亲水性	57-39693-S
亲热	57-39753-S
亲爱	57-39124-S
亲爱的	57-39199-S
亲爱的你	57-39245-S
亲王	57-39820-S
亲生	57-39861-S
亲生子女	57-39987-S
亲疏	57-40056-S
亲疏贵贱	57-40119-S
亲眷	57-40193-S
亲眼	57-40237-S
亲笔	57-40301-S
亲缘	57-40358-S
亲耳	57-40435-S
亲自	57-40487-S
亲身	57-40580-S
亲近	57-40631-S
亳	4-5067-S
亳 亳	4-5067-B
亳州	4-5129-S
亳州 亳州	4-5129-B
亳州市	4-5200-S
亳州市 亳州市	4-5200-B
亵	57-9300-S
亵渎	57-9333-S
亵渎的话	57-9378-S
亵渎神明	57-9440-S
亶	4-5282-S
亶 亶	4-5282-B
亹	4-5324-S
亹 亹	4-5324-B
人	4-5355-S
人 人	4-5355-B
人不可貌相	4-5395-S
人不可貌相 人不可貌相	4-5395-B
人不知鬼不覺 人不知鬼不觉	4-5507-B
人不知鬼不觉	4-5507-S
人世	4-5602-S
人世 人世	4-5602-B
人丛	4-6810-S
人中	4-5647-S
人中 人中	4-5647-B
人为	4-14066-S
人事	4-5750-S
人事 人事	4-5750-B
人事管理	4-5793-S
人事管理 人事管理	4-5793-B
人事部門 人事部门	4-5868-B
人事部门	4-5868-S
人云亦云	4-5939-S
人云亦云 人云亦云	4-5939-B
人人	4-6043-S
人人 人人	4-6043-B
人从	4-9258-S
人们	4-6171-S
人传人	4-6378-S
人体	4-19033-S
人体器官	4-19076-S
人体解剖	4-19142-S
人体解剖学	4-19210-S
人保	4-6098-S
人保 人保	4-6098-B
人們 人们	4-6171-B
人傑 人杰	4-6210-B
人傑地靈 人杰地灵	4-6306-B
人傳人 人传人	4-6378-B
人力	4-6453-S
人力 人力	4-6453-B
人力資源 人力资源	4-6506-B
人力资源	4-6506-S
人力車 人力车	4-6576-B
人力車夫 人力车夫	4-6628-B
人力车	4-6576-S
人力车夫	4-6628-S
人去楼空	4-6697-S
人去樓空 人去楼空	4-6697-B
人参	4-6768-S
人參 人参	4-6768-B
人叢 人丛	4-6810-B
人口	4-6860-S
人口 人口	4-6860-B
人口学	4-6904-S
人口學 人口学	4-6904-B
人口密度	4-6959-S
人口密度 人口密度	4-6959-B
人口数	4-7031-S
人口數 人口数	4-7031-B
人口普查	4-7086-S
人口普查 人口普查	4-7086-B
人口稠密	4-7147-S
人口稠密 人口稠密	4-7147-B
人口統計學 人口统计学	4-7211-B
人口统计学	4-7211-S
人口調查 人口调查	4-7318-B
人口调查	4-7318-S
人名	4-7381-S
人名 人名	4-7381-B
人员	4-7474-S
人命	4-7429-S
人命 人命	4-7429-B
人員 人员	4-7474-B
人均	4-7529-S
人均 人均	4-7529-B
人士	4-7573-S
人士 人士	4-7573-B
人壽保險 人寿保险	4-7634-B
人壽年豐 人寿年丰	4-7706-B
人多势众	4-7782-S
人多勢眾 人多势众	4-7782-B
人大	4-7848-S
人大 人大	4-7848-B
人头	4-18177-S
人头狮身	4-18240-S
人头税	4-18303-S
人妖	4-7915-S
人妖 人妖	4-7915-B
人子	4-8023-S
人子 人子	4-8023-B
人定	4-8066-S
人定 人定	4-8066-B
人定勝天 人定胜天	4-8138-B
人定胜天	4-8138-S
人家	4-8271-S,4-8396-S
人家 人家	4-8271-B,4-8396-B
人寰	4-8452-S
人寰 人寰	4-8452-B
人寿保险	4-7634-S
人寿年丰	4-7706-S
人尖儿	4-8507-S
人尖兒 人尖儿	4-8507-B
人尽其才	4-14809-S
人尽其材	4-14927-S
人山人海	4-8597-S
人山人海 人山人海	4-8597-B
人工	4-8674-S
人工 人工	4-8674-B
人工受孕	4-8740-S
人工受孕 人工受孕	4-8740-B
人工岛	4-8820-S
人工島 人工岛	4-8820-B
人工智能	4-8883-S
人工智能 人工智能	4-8883-B
人工概念	4-8969-S
人工概念 人工概念	4-8969-B
人工河	4-9045-S
人工河 人工河	4-9045-B
人工流产	4-9113-S
人工流產 人工流产	4-9113-B
人工照亮	4-9179-S
人工照亮 人工照亮	4-9179-B
人從 人从	4-9258-B
人心	4-9311-S
人心 人心	4-9311-B
人性	4-9383-S
人性 人性	4-9383-B
人情	4-9478-S
人情 人情	4-9478-B
人情世故	4-9601-S
人情世故 人情世故	4-9601-B
人情味儿	4-9728-S
人情味兒 人情味儿	4-9728-B
人手	4-9802-S
人手 人手	4-9802-B
人手动	4-9845-S
人手動 人手动	4-9845-B
人才	4-9911-S
人才 人才	4-9911-B
人才外流	4-10097-S
人才外流 人才外流	4-10097-B
人数	4-10164-S
人數 人数	4-10164-B
人文	4-10214-S
人文 人文	4-10214-B
人文主义	4-10272-S
人文主義 人文主义	4-10272-B
人文学	4-10335-S
人文學 人文学	4-10335-B
人文社会学科	4-10390-S
人文社會學科 人文社会学科	4-10390-B
人文社科	4-10497-S
人文社科 人文社科	4-10497-B
人机界面	4-11067-S
人权	4-11137-S
人权斗士	4-11348-S
人权法	4-11184-S
人权观察	4-11257-S
人材	4-10590-S
人材 人材	4-10590-B
人杰	4-6210-S
人杰地灵	4-6306-S
人格	4-10776-S
人格 人格	4-10776-B
人格化	4-10838-S
人格化 人格化	4-10838-B
人格神	4-10913-S
人格神 人格神	4-10913-B
人格魅力	4-10990-S
人格魅力 人格魅力	4-10990-B
人機界面 人机界面	4-11067-B
人權 人权	4-11137-B
人權法 人权法	4-11184-B
人權觀察 人权观察	4-11257-B
人權鬥士 人权斗士	4-11348-B
人次	4-11455-S
人次 人次	4-11455-B
人死	4-11553-S
人死 人死	4-11553-B
人氏	4-11602-S
人氏 人氏	4-11602-B
人民	4-11685-S
人民 人民	4-11685-B
人民代表	4-11729-S
人民代表 人民代表	4-11729-B
人民公敌	4-11813-S
人民公敵 人民公敌	4-11813-B
人民公社	4-11918-S
人民公社 人民公社	4-11918-B
人民公社化	4-11991-S
人民公社化 人民公社化	4-11991-B
人民共和国	4-12165-S
人民共和國 人民共和国	4-12165-B
人民基本权利	4-12249-S
人民基本權利 人民基本权利	4-12249-B
人民大会堂	4-12350-S
人民大會堂 人民大会堂	4-12350-B
人民币	4-12441-S
人民币元	4-12499-S
人民幣 人民币	4-12441-B
人民幣元 人民币元	4-12499-B
人民广场	4-12574-S
人民廣場 人民广场	4-12574-B
人民日報 人民日报	4-12649-B
人民日报	4-12649-S
人民民主专政	4-12733-S
人民民主專政 人民民主专政	4-12733-B
人民法院	4-12847-S
人民法院 人民法院	4-12847-B
人民網 人民网	4-12944-B
人民网	4-12944-S
人民英雄紀念碑 人民英雄纪念碑	4-13039-B
人民英雄纪念碑	4-13039-S
人民行动党	4-13162-S
人民行動黨 人民行动党	4-13162-B
人民解放军	4-13281-S
人民解放軍 人民解放军	4-13281-B
人民警察	4-13373-S
人民警察 人民警察	4-13373-B
人民銀行 人民银行	4-13453-B
人民银行	4-13453-S
人民阵线	4-13536-S
人民陣線 人民阵线	4-13536-B
人流	4-13607-S
人流 人流	4-13607-B
人流手术	4-13718-S
人流手術 人流手术	4-13718-B
人浮于事	4-13833-S
人浮於事 人浮于事	4-13833-B
人海	4-13954-S
人海 人海	4-13954-B
人潮	4-14015-S
人潮 人潮	4-14015-B
人為 人为	4-14066-B
人烟	4-14172-S
人烟稀少	4-14230-S
人煙 人烟	4-14172-B
人煙稀少 人烟稀少	4-14230-B
人物	4-14336-S
人物 人物	4-14336-B
人物描写	4-14400-S
人物描寫 人物描写	4-14400-B
人猿	4-14465-S
人猿 人猿	4-14465-B
人生	4-14509-S
人生 人生	4-14509-B
人生如夢 人生如梦	4-14549-B
人生如梦	4-14549-S
人生路不熟	4-14639-S
人生路不熟 人生路不熟	4-14639-B
