to rupture, annull, violate.	36-5386-B
to rush back and forth, flutter, flit about / hurry, hasten.	36-5421-B
to rush in, fling in.	36-5489-B
to rush in, steal in.	32-3643-S
to rush into, rush upon, attack.	36-5524-B
to rush upon, make an attack upon.	36-5563-B
to rush, fall, be ruined.	36-5611-B
to rush, tumble down.	36-5653-B
to sacrifice, suit, help, be of service.	36-5679-B
to sadden, afflict, damage (of crops).	36-5726-B
to sail downstream.	36-5775-B
to sail, convey, carry.	36-5803-B
to sail, navigate.	36-5832-B
to sail, ride, drive, etc.	2-2393-S
to sail.	36-5858-B
to sanctify, make holy.	36-5886-B
to satisfy, sate.	36-5921-B
to say back, reply, answer.	36-5945-B
to say in advance /to order.	32-7799-S
to say often, dictate, get written down.	36-5980-B
to say often, reiterate.	36-6027-B
to say or put forth, bring forth, bring out.	36-6060-B
to say, speak, tell, declare.	36-6112-B
to say, tell, speak, name, call, pronounce.	1-8478-S
to say.	19-1291-S,36-6158-B
to scare, frighten, intimidate.	36-6171-B
to scatter, hurl.	36-6211-B
to scatter, weaken, damage.	36-6236-B
to scatter.	36-6273-B
to scorn, despise, spurn.	36-6294-B
to scorn.	3-2221-S,36-6342-B,36-6361-B
to scratch out, erase / destroy.	1-8887-S
to scream, cry out.	1-6764-S
to search through, examine.	36-6378-B
to search through, traverse.	36-6417-B
to secure.	36-6454-B
to see from a distance, prosper, propitious.	36-6475-B
to see to a thing being done / cure, rest.	1-2889-S
to see, observe, understand, comprehend.	36-6530-B
to see, visit, inspect, look at.	33-481-S
to see..	2-3497-S
to seek after, make for.	36-6588-B
to seek again, ask back, recommence.	36-6620-B
to seek for, ask for, beseech.	36-6664-B
to seek, hunt for.	36-6709-B
to seek, search for / ask, enquire, search for.	36-6736-B
to seek, search for, get, obtain.	36-6798-B
to seek/look earnestly for.	36-6839-B
to seize, arrest, take prisoner, catch red-handed.	36-6876-B
to seize, catch at / strive after, desire, seek.	36-6939-B
to seize, recover.	36-6994-B
to seize, snatch up, steal, (of a disease) attack.	36-7022-B
to seize, snatch, carry away.	36-7082-B
to seize, snatch, grasp, detain, arrest.	36-7132-B
to select, elect, choose, take out.	36-7182-B
to sell formally, turn over, give into charge.	36-7225-B
to sell, offer for sale, advertise /betray.	36-7289-B
to sell.	36-7339-B
to send as help /to send secretly.	36-7355-B
to send away, send off.	36-7399-B
to send forward, dispatch, send in advance.	36-7430-B
to send out.	36-7484-B
to send secretly.	36-7355-S
to send word, confide,.	36-7504-B
to send, carry, or convey across.	36-7534-B
to send, dispatch.	36-7579-B
to separate .	36-7618-B
to separate, divide, distribute.	36-7643-B
to separate, sift, distinguish /decide, resolve, determine.	36-7695-B
to separate, take away.	30-5454-S
to separate, tear apart /pillage, devastate, lay waste.	36-7761-B
to separate.	36-7825-B
to serve /quiver, shake, palpitate.	36-7863-B
to serve, attend, obey.	28-3079-S
to serve, wait upon, provide, supply.	37-0-B
to set (as in "the sun sets").	37-47-B
to set against, oppose, be opposite.	37-86-B
to set before one.	37-148-B
to set down, bring down.	37-175-B
to set down, settle.	37-207-B
to set fire to, burn, singe, kindle, light.	37-236-B
to set fire to.	37-296-B
to set forth, explain, expose.	37-320-B
to set forth.	37-379-B
to set free, deliver, liberate, release /exempt.	37-399-B
to set in mortion, impel, urge on.	37-455-B
to set in order, regulate, arrange, appoint, govern.	1-6799-S
to set in place, make, form, shape/ plant, fix in place.	37-514-B
to set on fire, inflame, to torch, kindle.	37-578-B
to set over, prefer.	37-630-B
to set straight, put in order.	3-1810-S
to set up, place, establish, post, station.	37-669-B
to set.	32-1344-S
to settle (as to settle an argument).	37-723-B
to settle an argument).	37-723-S
to settle by combat.	30-3970-S
to settle down, reside.	37-766-B
to settle, prescribe.	37-796-B
to settle, smooth, calm, allay.	37-828-B
to sew together, stitch.	37-865-B
to shake together, agitate, alarm, disturb, shatter.	37-913-B
to shake violently, shake to pieces, break, shatter.	37-975-B
to shake, loesen /impair.	37-1035-B
to shake, shudder /dread, tremble at.	28-4831-S
to shake.	29-520-S
to shame, disgrace.	35-7029-S
to shape, form, fashion.	37-1091-B
to share.	37-1122-B
to sharpen.	37-1142-B
to shatter.	37-1161-B
to shave /scalp, flay /oppress /peel.	37-1182-B
to shave, sut the hair.	37-1228-B
to shine /to grow fat or sleek.	29-791-S
to shine brightly.	37-1257-B
to shine, glitter, be bright, glow, be sleek, flourish.	37-1284-B
to shine, glow, grow brilliant, sparkle.	37-1346-B
to shine, grow sleek.	29-548-S
to shine.	37-1394-B
to shorten, abbreviate.	37-1410-B
to shout, cry aloud, exclaim, call someone by name.	37-1440-B
to shout.	37-1500-B
to show /censure, reprove.	37-1643-S
to show oneself, present oneself.	1-2629-S
to show, appoint, point out, ordain, appoint, nominate.	37-1517-B
