leavin.	3-7292-S
leavings.	23-110-S
lectum, to collect, gather together, assemble.	17-3162-S
lees, impurities, filth.	11-2071-S,11-2114-S
left bank of the scheldt.	15-1694-S
left behind, sit up.	27-4721-S
left behind.	17-2944-B
left hand, left side, left-handed.	27-97-S
left over, to spare, extra, superfluous.	17-2966-B
left side, left-handed.	27-97-S
left, leavings.	23-110-S
left-handed.	27-97-S
left-handedly, awkwardly.	17-3017-B
leg, shank, shin, also foot.	17-3054-B
legal business.	22-6340-S
legal competence.	17-3096-B
legal investigation, judgement, decision.	39-5483-S
legal scribe.	25-4307-S
legal) notice sent to a higher tribunal / ecc. apostle.	2-2862-B
legal) to prosecute to the end.	2-2929-B
legal, lawful, right.	7-5835-S
legal.	17-3123-B
legate / office of ambassador, embassy commander.	19-6487-S
legatee.	17-3142-B
legi, lectum, to collect, gather together, assemble.	17-3162-B
legion.	3-7581-S,4-1872-S,10-3548-S,17-3223-B
legitimate.	17-2256-S
legume.	3-2555-S
leisure, ease, peace, repose.	13-5717-S
lend, give.	1-1189-S
length at las, finally.	6-1168-S
length, copiously.	14-361-S
length.	6-1201-S,17-3237-B,25-1836-S
lengthen, extend /put off, defer.	31-5560-S
lent /interest.	40-4401-S
lentil.	17-3255-B
leopard, panther.	17-3276-B
leopard.	20-5611-S
less account, [posthabito].	35-6316-S
less than / at most, not more than.	6-1109-S
less, diminish, decrease, grow smaller.	34-1674-S
less, slighter.	24-6349-S
lessen.	29-4074-S
lessened, decreased.	10-727-S
lessons, presents.	27-2646-S
let blood, to bleed (someone).	31-3395-S
let down, lower /subject, subordinate.	34-1737-S
let down, lower.	34-1788-S
let down, lowered, gentle, mild.	17-3303-B
let fall (to offer payment to the church).	24-2162-S
let go forward, send forth, promise, undertake.	34-1816-S
let go without reins.	34-1876-S
let go, keep, affirm.	36-2310-S
let go, send forth, undertake, promise.	34-1909-S
let go, transfer / estrange / forget.	34-1961-S
let go.	34-8152-S
let slip away.	31-2192-S
let slip, lose, pardon.	34-2009-S
let slip.	17-3362-B
let those (men) who have eyes to see..	2-3497-S
let those (women) who have ears to hear .	2-194-S
let, verily.	3-844-S
let.	5-2055-S,27-6680-S
lethal.	10-1454-S,12-4123-S
lethargic, inactive /slow, lingering.	17-3379-B
letter (of the alphabet).	17-3424-B
letter or ambassador.	28-889-S
letter that said, dear john.	42-3899-S
letter, document.	17-3458-B
letter, epistle, missive, message.	17-3485-B,17-3529-B
letter, epistle, missive, note /literature.	2-7686-S
letter.	4-1826-S
letters, words, or phrases in a manuscript.	18-5090-S
lettuce.	17-3573-B
leuze.	17-3590-B
level ground.	17-3608-B
level or even, relate.	28-5372-S
level place, field, plain.	17-3629-B
level to make fit.	11-6467-S
level, even, calm, equal, favorable, just.	17-3663-B
level/ a plain.	13-955-S
levity /fickleness, inconstancy /groundlesness.	17-4199-S
lewd.	17-3720-B
liable to.	13-532-S
libation.	17-3735-B
libellous.	19-703-S
liberal, generous.	40-3870-S
liberality.	7-2620-S,17-3753-B
liberate / yield up.	36-2114-S
liberate, deliver, protect.	28-2590-S
liberate, deliver/ punish, avenge/ claim, assume.	34-2043-S
liberate, release /exempt.	37-399-S
liberation, aquittal, setting free.	22-6605-S
liberty / licentiousness.	17-3774-S
liberty, independence / frankness, candor.	13-5873-S
license, leave, authorization /freedom, liberty / licentiousness.	17-3774-B
licentiousness.	17-3774-S
licit, right, proper, legitimate.	17-2256-S
lick /(of rivers) to wash.	34-2104-S
lie dead.	34-2341-S
lie down often.	34-2140-S
lie down, recline / be ill in bed.	34-2166-S
lie down.	32-1410-S
lie heavily upon / dwell in / watch over.	33-2370-S
lie hidden, be concealed.	34-2209-S
lie hidden.	34-3964-S
lie in a place, attach oneself to.	29-4774-S
lie in ambush.	25-3794-S,34-2245-S
lie in wait for, plot against.	27-4198-S
lie or lean upon, lean over, overhang.	34-2291-S
lie prostrate, lie dead.	34-2341-S
lie, lie prostrate, lie dead.	34-2341-S
lie.	36-682-S
liege and namur.	15-4984-S
liege.	17-3849-B,17-3863-B
lies in wait.	20-1755-S
lies.	5-6560-S
liessies.	17-3878-B
life / nourishment, food.	17-4911-S
life /monastic life.	41-1670-S
life /spirit.	7-2990-S
life is enriched by these (friendships).	2-257-S,2-321-S
life, die.	32-7477-S
life, esp of monks/nuns.	12-4898-S
life, soul.	17-3912-B
life, the common good, the public eye.	12-883-S
life, time, era.	5-3225-S
life, way of life.	17-3930-B
life-restoring.	17-4825-S
life.	5-987-S,17-3930-S,34-2969-S,36-241-S,38-5798-S,41-1670-S
lifeless.	17-3954-B
lifet up, elevate/ excite, exalt.	35-7566-S
lifetime, age.	27-6544-S
lift (an obstacle), raise.	34-2380-S
lift .	34-2417-S
lift again, lighten, alleviate, relieve.	34-2433-S
lift up /relieve, ease /diminish, weaken, impair.	35-7618-S
lift up, exalt.	29-6571-S
lift up, raise up, erect /elevate, exalt.	34-2484-S
lift up, raise, elevate, carry away. .	34-2537-S
lift up, take away.	34-2602-S
light	17-3973-B
light of day.	17-3995-S
light up, illuminate.	34-2631-S
light, lamp, lantern /light of day.	17-3995-B
light, lamp.	17-4037-B
light, slight, trivial /beardless, bald /light-armed.	17-4061-B
light-armed troops.	17-4121-B
light-armed.	17-4061-S,40-1765-S
light.	14-4872-S,17-4147-B,22-98-S,34-2665-S,37-236-S
lighten, alleviate, relieve.	34-2433-S
lighten.	34-3700-S
lightly, softly, slightly.	17-4164-B
lightly.	4-4570-S
lightness, levity /fickleness, inconstancy /groundlesness.	17-4199-B
like a wheel, rotate, turn, go around.	38-6211-S
like as, just as if.	6-201-S
like as.	4-6187-S
like bees).	29-2461-S
like celestial thunder.	36-3516-S
like for like, retaliate.	36-4029-S
like manner, as well.	17-4400-S
like manner, equally.	8-3903-S
like manner, likewise.	4-6097-S
like marble.	17-4266-B
like molten metal), melt, cast.	35-3768-S
like tumor.	7-482-S
like, be fond of, cherish.	34-3832-S
like, equal.	24-4338-S
like, equal/ make level or even, relate.	28-5372-S
like, even as.	4-6660-S
like, resembling.	24-4368-S
like, retaliate.	36-4029-S
like, similar, resembling.	17-4289-B
like.	1-7431-S,3-4937-S,5-4727-S,11-6450-S,15-4390-S,18-2299-S,41-22-S
likeness /ghost, appartition /ideal.	11-4104-S
likeness, face, visage.	17-4324-B
likeness, resemblance/ uniformity.	17-4354-B
likeness.	15-5504-S
likewise, equally, in like manner, as well.	17-4400-B
likewise, moreover.	4-6270-S
likewise.	4-6097-S
lille.	17-4452-B
limbs.	17-4466-B
lime /goal, aim.	26-5672-S
lime-deficient soils].	18-2152-S
limit /manner, method, mode, way.	18-3039-S
limit to.	23-1690-S
