vineyard.	12-2825-S
violate, pluck away.	39-327-S
violate.	25-5321-S,36-5386-S,39-359-S
violence /a large number, quantity, a force /nature.	2-9242-S
violent action.	35-7314-S
violent death, slaughter, death.	40-6622-B
violent death.	4-4213-S
violent desire, passionate longing.	41-4362-S
violent speech / declamatio.	17-5933-S
violent, become hard.	29-104-S
violent, bitter.	25-4559-S
violent, fierce, rough.	40-6659-B
violent, furious, impetuous.	40-6689-B
violently upon, assail, assault.	32-1259-S
violently, by force.	40-6727-B
violently, disturb, shake /excite, upset.	34-6956-S
violently, extort.	11-2350-S
violently, forcefully, strongly, exceedingly.	40-6758-B
violently, shake to pieces, break, shatter.	37-975-S
violently, stir up, excite, arouse.	34-7015-S
violently, to hit hard.	37-6612-S
violently.	9-5805-S,39-1522-S,41-0-B
viper-like.	41-22-B
virgin, young girl.	18-841-S
virtue, right.	41-43-B
virtue, sanctity, sacredness.	22-2085-S
virtue, virtuousness,manhood, power.	40-4707-S
virtues were many.	2-4577-S
virtues.	18-1719-S
virtuousness,manhood, power.	40-4707-S
virus, slime, poison.	41-65-B
vis) if you wish, are willing, want, prefer.	1-3133-S
visage, countenance.	12-3069-S
visage.	17-4324-S
visible, apparent.	22-4863-S
visible, appear, manifest.	29-145-S
visible, appear.	23-2990-S,23-3026-S
visible, evident.	8-3624-S
vision, view, sight.	41-93-B
visit frequently.	30-1160-S
visit, come to, undertake.	28-573-S
visit, inspect, look at.	33-481-S
visit, reverence, pay respect to.	39-2699-S
visit.	30-4950-S,30-5002-S
visitor, caller.	41-120-B
vitry-le-francois.	39-5816-S
vivacity, bravery, will, spirit, soul.	9-3325-S
voice, word /(med.) power, right, authority.	41-145-B
voice.	39-3705-S
voice/ jurisdiction, authority.	9-5972-S
void, invalid, in vain, useless, ineffectual.	41-201-B
void, unfixed, of no effect.	40-626-S
void.	29-4180-S
voil, annull.	36-4407-S
voluble.	2-7011-S
voluntary.	41-263-B
vomit forth, throw up.	39-401-S
vomit forth.	39-379-S
vomit, throw up /to cast out, throw out.	1-6897-S
vomit, vomit forth, throw up.	39-401-S
voracious.	14-2320-S
vote, franchise /approval support, aid, assistance.	41-286-B
vote, ordain, resolve.	16-5035-S
vote.	32-2169-S
votive offering.	14-1551-S,41-349-B
vow, pray for.	35-5526-S
vow, promise to god.	21-4636-S
vow.	39-441-S
vows, wishes.	41-375-B
vows.	15-487-S
vows/ oath of canonical obedience.	18-5806-S
voyage, navigation.	41-394-B
vulgate), affliction, scourge.	21-1917-S
vulsum) to happen, occur, come about, befall.	1-9046-S
vulture.	41-424-B
wage war against, rebel.	39-455-S
wage war, be at war, be in a state of war.	39-491-S
wage war.	39-547-S,39-566-S
wages	41-470-B
