to cause, occasion, etc.	13-6605-S
to cavalry.	2-9307-S
to cease.	29-7254-B
to celebrate.	29-7270-B
to ceres.	23-4877-S
to challenge, shake.	29-7293-B
to change, alter /exchange.	29-7331-B
to charm, influence, mislead, draw in.	29-7364-B
to charm.	29-7408-B
to chatter, babble.	29-7424-B
to check, rein in.	29-7451-B
to check, repress, stop, halt, turn back /silence.	29-7478-B
to check.	29-7537-B,29-7555-B
to cheer, gladden, make joyful.	29-7571-B
to cherish / to warm, keep warm, caress.	29-7614-B
to cherish again, refresh, warm.	30-0-B
to cherish, encourage, enfold.	30-41-B
to chew the cud, ruminate.	30-78-B
to chide, rebuke.	2-6972-S
to chirp, tweet, pipe.	30-112-B
to choke, stifle.	30-141-B
to choke, suffocate.	30-167-B
to choose out, esteem highly, prize, love.	30-206-B
to choose, prefer.	30-256-B
to choose, take up, apply, employ.	30-295-B
to claim, defend.	30-335-B
to claim.	30-360-B
to classes /generally, in general.	7-5109-S
to clean, cleanse, purify/ clear away, wash off/ justify.	30-378-B
to clean.	30-442-B
to cleanse, purify, purge.	30-458-B
to cleanse.	30-493-B,30-511-B
to clear, settle up, consider, think, believe, suppose, judge.	30-530-B
to cleave to.	30-598-B
to climb.	30-620-B
to cling to, correspond to.	30-638-B
to cling to.	27-5715-S
to close, shut up, close off.	30-675-B
to clothe, garb, dress.	30-713-B
to collect in a mass.	30-744-B
to collect, compile.	30-775-B
to collect, gather together, assemble.	17-3162-S
to collect.	30-804-B
to collide with, strike against / attack.	30-824-B
to color.	30-874-B
to comb back.	30-891-B
to comb, card, thrash (to card wool).	30-913-B
to come /happen, come about, come to pass /arise.	30-957-B
to come around, surround, cheat, defraud.	30-1013-B
to come back, return.	30-1067-B
to come before, anticipate.	30-1097-B
to come in haste.	30-1135-B
to come in.	32-7545-S
to come near, draw near, approach.	2-2660-S
to come often, to visit frequently.	30-1160-B
to come out.	30-1204-B
to come to [in adiutorium] to ones assistance, succor.	30-1226-B
to come to a boil, become hot.	30-1290-B
to come to pass, happen, befall.	30-1332-B
to come to the aid, succor, relieve, help, assist.	30-1372-B
to come to, arrive at, reach.	30-1432-B
to come to, go before hand, attend.	30-1470-B
to come to.	30-1516-B,30-1537-B
