gibbs free energy	53-11296-B
gibraltar	45-20986-B,45-21050-S
giddy	31-58148-B,31-58604-B,61-11285-B,68-37500-B,68-37759-B,68-38080-S,68-38261-B
giddy on heights	31-58931-S
giethoorn city in the netherlands	51-943-B
gif	15-25788-B
gift	8-34882-S,10-62653-S,11-63414-S,17-44473-S,17-47246-B,17-53961-B,17-54041-B,19-46838-S,26-37150-B,43-48756-S,47-7906-B,47-8103-B,47-8843-B,47-31756-B,48-21109-S,49-8543-S,51-53176-S,55-19505-S,59-61367-S,60-2875-S,63-43311-S,63-43365-S,67-53010-S,69-19585-S
gift as thanks	58-56032-B,58-56982-B
gift from the groom s family	11-64002-S
gift in return	63-10487-S
gift of money to the family of the deceased	18-11361-S
gift of the gab	4-60975-S,8-36470-S,11-70949-S,52-28093-S,58-31787-S
gift price	4-44762-S
gift to celebrate weddings etc	53-59281-S
gift to the dead	59-62987-B
gift to the opposite sex	53-437-S
gift with thanks	43-4080-S,43-4141-S
gifted	17-47246-B,47-40882-B
gifted scholar	26-37401-B
gifted scholar and beautiful woman pair of lovers in fiction	26-37448-B
gifts	4-44561-S,11-29827-S,59-34426-B,66-44905-S,68-39880-S,71-25964-S
gifts between lovers	60-2786-S
gifts to superiors	60-1825-B
giga	10-44027-B
giga electron volt gev unit of energy equal to 1 6 x 10 10 joules	12-42013-B
giga meaning billion or 10 9	12-38586-B
gigabit	10-44077-B
gigabit ethernet	10-44140-B,60-25167-B
gigabit ethernet alliance	10-44256-B
gigabyte 10 30 or approximately a billion bytes	12-39297-B
gigabyte technology	26-62999-B
gigantea	70-45747-S
gigantic	21-60812-B,21-61070-B
gigantic strength	21-27662-B
gigantoraptor erlianensis a giant bird like dinosaur found in erlian in inner mongolia	3-42070-B
gigas	46-23674-S,46-41332-S
gigas spix	47-3227-S
giggle	14-33376-B,18-60891-S,33-67398-B,52-14526-B
giggling	13-53520-S
giggling noise	13-53604-S,14-32062-S
giggling 成语 saw	18-60793-S
gigolo	19-33-B,20-68082-B,68-4241-B
gijón asturian xixón	22-20893-B
gilbert islands	12-41194-B,16-1517-S
gilbert s syndrome	12-38860-B
gild	10-19025-B,37-43938-S,64-49957-B
gilded	65-7877-B
giles 1845 1935	18-46025-S
giles system romanization of chinese	18-46100-S,18-46208-S,18-48277-S,18-48374-S,68-10428-S
giles transliteration scheme for chinese with p for unaspirated pinyin b and p for aspirated pinyin p etc	18-47519-S
gill	21-40815-B
gill bearing arch or its vestigial crease on sides of neck of vertebrates	70-45830-S
gill slit in fish	70-45954-B
gilles name	12-39175-B
gills	52-41807-B
gills of fish	70-45794-B
gilt	37-43938-B,64-49957-B
gimcheon city in south korea	64-12122-B
gin	33-9263-B,60-61296-S,64-15889-B
gin cotton separate seeds from fibre	60-61170-S
ginger	3-25386-S,4-24859-S,21-29194-S,43-29397-S,43-29447-S,49-33949-S,55-21274-B,55-43876-S,70-21310-S
ginger ale	55-21492-B
ginger color	55-21632-B
ginger plant	33-10114-S,33-10183-S,55-36290-S,55-36347-S
gingerbread	55-21538-B
gingham	33-65300-B
gingiva	71-55446-B
gingivitis	71-55491-B
gingrich	64-15441-S
ginkgo	44-40440-B
ginkgo tree with fan shaped leaves and yellow seeds	64-26805-B
ginsen	55-11197-B
ginseng	4-6768-B,11-38891-B,43-36903-S,53-56421-S,54-57616-B
ginseng codonopsis pilosula	71-44126-S
ginza district in tokyo	64-26512-B
gioro manchu golden clan	25-35539-S
gipuzkoa or guipúzcoa	12-40310-B
giraffe	21-33037-S,55-24693-S,65-20969-B
girard desargues 1591 1661	48-5711-B
gird	15-21311-S,33-12179-B
girder	1-25045-S,34-1546-S
girder bridge	33-30216-S
girdle	22-27849-B,27-15606-B,33-12358-B,42-46125-S,70-3953-S,70-4115-S
girdle ornaments	42-48419-B,43-7364-S
girl	2-48331-S,2-48481-S,2-48554-S,2-48657-S,2-48657-S,2-48741-S,2-48741-S,12-44261-S,18-20174-B,18-20266-B,18-21943-S,18-36149-S,18-36718-B,18-36773-S,18-39916-B,18-54281-S,18-54326-S,18-54326-S,18-61863-B,22-54170-S,35-61606-S,37-50290-S,51-8113-S,60-55846-S,61-34163-S,67-61161-S
girl 1950	44-40772-S
girl etc	32-33225-S,49-35765-S
girl ever	49-45481-S
girl friend or rival	18-37134-S
girl in arranged marriages	58-4291-S
girl of folk tales	50-39874-S,50-39945-S
girl of one s dreams	63-16291-S
girl of the school	33-53599-S
girl s fifteenth birthday	11-42687-S
girl s name	18-36718-S,18-56560-B,51-8025-S
girl s names such as anna 安娜 or diana 黛安娜	18-50809-S
girl s teenage years	59-17756-S,59-17877-S
girlfriend	18-19633-S,18-21046-B,20-56872-B
girlfriend of a married man	21-224-S
girls 1980s uk pop group	61-34163-S
girls of shanghai by han bangqing 韓邦慶 韩邦庆	38-15363-S
giro	61-28399-S
girth	52-42065-B
girth of a tree trunk	12-34246-S
girth on horse	68-9858-S
gist	3-6012-B,17-35132-B,48-55012-B,57-28043-B
gist of a text or argument	57-25980-S
giuliani 1944 	32-68461-S
giuliani name	32-68461-B
giuseppe castiglione 1688 1766 jesuit who served as qing court painter for 50 years	63-21240-B
give	3-28695-S,3-28724-S,3-71188-B,5-16838-S,18-4992-S,26-51252-S,28-11844-S,44-29935-B,49-49050-S,49-49192-B,49-49250-B,53-21885-S,59-56912-S,59-59451-S,62-59643-S,62-59693-S
give a bonus to	42-1643-B
give a compliment	25-4351-S
give a course	65-42311-B
give a damn about it	39-35230-S
give a detailed exposition	43-44269-S
give a dinner party	58-42762-B
give a discount	26-44452-S,26-44503-S
give a favor used of christian god	65-34940-S
give a forced interpretation	47-52382-S
give a forced interpretation 成语 saw	47-52464-S
give a full account	66-27803-S
give a jolt of surprise	69-63079-S
give a lead	28-43011-S
give a new lease of life	8-10069-S
give a present	60-2656-S,61-63778-B
give a present to sb to ensure success	64-38112-S
give a sign to show one s presence	67-48105-S
give a speech	44-33825-S
give a start	69-63160-S
give a typical example	46-45782-S
give advice	8-45152-S,11-40429-B,71-39389-S
give advice in study	61-8995-S
give advice or comments	27-59489-S
give aid and support	61-18044-S
give alarm	40-43618-S,42-10321-S
give alms	6-58763-S,57-11851-B
give an account	58-55549-S
give an account of	10-38220-S,23-52839-S
give an example	53-26684-S,59-2224-B
give an official response	26-57605-S
give an order	1-58388-B
give an orderly account	30-19328-S
give and accept	28-12229-S
give and take	3-70505-B,52-26957-S
give answering phrase school exercise in memory or composition	20-56441-S
give as a present	18-4736-S,60-2875-B,61-63346-S,61-63880-S
give attention to sth	8-56820-S
give audience of emperor	32-48900-S
give away	28-4526-S
give away all one has	6-48547-S
give back	18-5047-S
give back the spoils	61-59306-S
give birth	43-17960-S,43-18484-S,43-29051-S,43-30965-S,43-31059-S,43-31114-S,43-31781-S,52-61362-S,69-10328-S
give birth late	31-44868-S
give birth to	43-18022-S
give birth to a child	18-51204-B
give bribes	56-34953-S
give change	26-58729-S,26-60063-S
give charity to sb out of pity	25-3107-S
give classes	4-43934-S
give contradictory directions	45-58620-S
give credit	35-53553-S
give directions	27-58003-S,27-61065-S,27-61547-B
give directives or instructions	27-60595-B
give everything to help sb	6-47169-S
give excuses	58-42070-S
give expression to	70-8393-S
give for free	8-53913-S
give forthright criticism	41-39283-S
give free rein	50-28455-S
give generously to help others	57-48318-S
give in	6-5300-S,21-10310-S,41-38951-S,59-13949-S
give in charity	30-65572-S
give in return	16-8728-S
give in to	2-15204-S
give instructions	71-39389-S
give it a go	1-399-S
give it a try	1-399-S,58-13522-S
give it a try 成语 saw	60-53587-S
give lessons	28-12732-S
give material assistance to	28-26755-S
give me a break	21-3580-B
give medical treatment	29-64432-S
give medicine to a dead horse 成语 saw	35-59864-S
give names	68-62292-S
give no thought to	50-52674-S
give notice	62-8869-S
give off	8-10582-S
give one s bare heart into sb else s keeping 成语 saw	28-30682-S
give one s child the best education as a career investment	32-45750-S
give one s life	28-7099-S
give one s meager resources to help another in time of need	45-29737-B
give one s respects	13-62542-S
give oneself airs and offend others	53-16747-S
give oneself leeway 成语 saw	20-26125-S
give oneself up	53-15585-S
give or accept bribes	49-18055-S
give or have acupuncture and moxibustion	64-18969-S
give or have an acupuncture treatment	26-39831-S
give or have an injection	26-49837-S
give orders	28-12283-S
give orders summarily	27-58611-S,27-58821-S
give orders 成语 saw	44-33339-S
give out	29-49018-S
give people peace 成语 saw	66-22240-S
give poenies	60-2786-S
give present	60-2620-B
give presents to one s elders or superiors	19-9759-S
give prior notice	26-44565-S
give problems	8-37116-S
give prominence to	47-52811-S
give publicity to	19-53782-S
give regards to	13-62691-S
give relief	11-27935-B,25-643-B
give relief aid	59-54630-S
give relief material	40-9465-S
give rise to	23-30950-S,43-32422-S
give rise to sth good	44-32060-S
give sb	31-63228-S
give sb a hard time	30-14635-S
give sb a task	59-40894-B
give sb funny looks	24-65072-S
give sb his due	35-53553-S
give serious consideration to sth	51-34512-S
