werther	50-4199-B
west	31-38269-S,33-23783-S,33-24064-S,34-35876-S,35-30682-S,37-48447-S,57-12595-B,57-12595-S,57-17341-S,57-17852-S,57-19326-S,57-21603-S,57-23129-S,57-23237-B,57-24170-B
west africa	15-52822-S,15-52913-S,21-13754-S,47-20314-S,57-24126-B
west bank	6-27704-S,57-16482-S
west bank of jordan river	57-16482-B
west bengal	57-15334-B
west chamber by wang shifu 王實甫 王实甫	57-16983-S
west china	40-39271-S,40-39476-S,57-16114-S,57-16222-S,57-18365-S,67-56316-S,67-56449-S
west city district	57-16810-B
west from china	1-62826-S,57-19326-S
west germany	57-17407-B
west guizhou	7-68512-S
west hemispheres	33-23881-S
west hunan and capital of xiangxi tujia and miao autonomous prefecture 湘西土家族苗族自治州	12-42134-S,12-42306-S
west indies i e the caribbean	57-14031-B
west java	54-6524-S
west lake district place name	57-19875-B
west lake in hangzhou	30-59260-S
west lake in hangzhou 杭州	57-19784-B
west lake place name	57-19784-S
west london	39-19416-S
west of	57-23237-S
west of beijing	36-50360-S
west of great tang	17-10020-S,57-14686-S
west of the forbidden city	17-59666-S
west of the yellow river	37-21093-S
west of xinjiang near kyrghizstan	14-813-S,14-935-S,14-1132-S
west point	57-24509-B
west sichuan	63-15295-S
west side	57-23237-B,57-24170-B
west side on zhongnanhai	57-21651-S
west us and canada	54-49428-S
west virginia	57-17179-B,57-17254-B
west wall 成语 saw	27-19042-S
west wind	57-24266-B
west xinjiang	14-1312-S,15-26730-S,15-26871-S,66-4502-S,66-4623-S
west yunnan surrounded on three sides by myanmar burma	24-25204-S
west 成语 saw	27-19237-S
west 西遊記 西游记	19-15241-S,24-1413-S,50-44618-S,57-23010-S
western	12-805-S
western art history	22-9153-S
western astronomy and astrology	10-42739-S,71-23658-S
western australia	57-20239-B
western australia state of australia	57-20139-B
western board game	15-19965-S
western boundary	57-23779-S
western chamber by yuan yuling 袁于令	57-18892-S,57-19028-S
western chess	69-31266-S
western chivalry	69-31711-S
western christianity in qing china	37-50649-S
western classical music	18-5820-S
western colonialism	28-20430-S
western countries	37-51578-S,57-17852-B
western culture	32-27606-S,34-1730-S,57-17981-B
western dress	57-22478-S,68-4976-S
western e g exchange	2-81552-S
western equine encephalitis wee virus	57-18187-B
western europe	57-19162-B
western extremity	57-21316-B
western fantasy fiction	70-35824-S
western food	43-57739-B
western foothills of a mountain	57-24440-S
western french town	36-10616-S
western frontier	57-23833-B
western fusion	2-81618-S
western goods	37-52067-B
western gregorian calendar	66-35588-B
western han and eastern han	7-46770-S
western han former han	38-47146-S,39-50081-S
western han or former dynasty 206 bc 8 ad	57-20063-B
western han 西漢 西汉 dynasty 206 bc 8 ad	9-21685-S
western hemisphere	57-13590-B
western jin dynasty 265 316	57-18440-S
western jin dynasty 西晋 historian	66-27078-B
western jin 西晉 西晋 265 316	31-43131-S
western language	57-17664-B
western learning	37-50391-B
western learning in late qing	37-49716-S
western learning intellectual movement in the late qing	57-15412-B
western liang of the sixteen kingdoms 400 421	57-19624-B
western liao	57-23191-B
western magic	36-41637-S
western medicine	57-23495-B,57-23495-S
western moon before sunrise	32-44529-B
western names or words	65-47130-S
western pacific	1-62826-S,57-15084-S
western paradise	1-55637-S,66-2013-S,69-50179-S
western paradise buddh 	57-15021-S
western part	57-23237-B,57-23386-B
western powers allied to china in ww1	10-65017-S
western province of sudan	62-54615-S
western pure land of ultimate bliss or sukhavati sanskrit	57-18052-B
western qin of the sixteen kingdoms 385 431	57-21238-B
western regions in han	57-14623-S
western round onion	55-13066-B
western sahara	57-17598-B
western samoa	57-21899-B
western sichuan	21-50548-B
western skills	57-22236-B
western style	37-50044-B,57-17089-B
western style clothes	57-22419-B
western style clothes historical usage	57-18506-B
western style food	57-24309-B
western style guns in former times	37-50743-B
western taste	37-50044-B
western term	63-27174-S,63-27630-S
western wei of the northern dynasties 535 557	57-24360-B
western xia	57-14977-B
western zhou 1027 771 bc	57-14165-B
western zhou 770 221 bc	33-23962-S
western zhou and the warring states 1122 265 bc	71-53443-S
western zhou 西周 770 221 bc	13-12517-S
westerner	37-49576-S,57-17925-S,57-19405-B
westerner employed in qing china as professor or military advisor etc	37-50106-B
westerners	37-52357-S,37-52434-S
westernizing faction in the late qing	37-49813-S
westward	12-63638-B
wet	39-25280-B,39-61687-S,40-8229-B,56-56342-B
wet dream	17-3245-B,63-3581-B
wet nurse	3-22265-B
wet towel	29-26356-S
wet weather	37-23815-S
wetland	40-8261-B
wetland area in brazil	39-57852-S
wetland national nature reserve in lhasa	27-26789-S
wetlands	37-25450-B
wetlands park	69-27472-S
wetsuit	40-8730-B
wetsuit booties	37-16349-B
wetten	38-27751-S
wetting	21-16202-S,63-2658-S
wetting agent	40-8527-B
whale	42-21678-S,55-30339-S,61-67054-S,70-44745-B,70-44830-B
whale catcher	28-5863-B
whale family	70-44774-S
whaler	28-5863-B
whaley name	68-10078-S
whaling	28-5822-B
whampoa	71-17834-B
whampoa military academy	71-17896-B
wharf	15-63723-B,39-5890-B,46-34378-B
what	2-23979-S,2-31022-S,3-23991-S,3-25831-S,4-43231-S,5-2129-B,13-45083-B,13-66177-S,18-11059-S,18-30145-B,19-15996-B,22-52277-S,22-53187-S,24-51698-B,24-51944-S,32-9669-B,43-15530-B,43-16504-B,43-16504-B,43-16571-B,52-20359-B,58-63478-S
what a great idea etc	17-153-B
what a pity	12-13172-B
what a scandal	26-7966-B
what are you doing	22-52745-B
what bad luck	48-62985-B
what can you have against it 成语 saw	5-2623-B
what do you think	20-43409-B,25-28307-B
what end	3-23991-S,3-25831-S,22-52277-S,22-53187-S
what epiphyllum	32-1611-B
what everyone says 成语 saw	4-5939-S
what follows next	62-30296-S
what happened	24-52074-B
what he does	51-69561-S
what he needs	12-28818-S
what he says and watch what he does	51-69561-S
what i can see	29-24191-S
what is 	43-16689-B
what is actually happening	20-13902-B
what is actually intended	57-55739-B
what is at stake	59-62271-B
what is deep in one s heart	52-25928-B
what is fake	19-16033-S
what is false	55-51276-S
what is going on	2-13880-S
what is known so far	45-39502-S
what is othewise perfect	51-1654-S
what is right	29-24599-S
what is right and act courageously 成语 saw	57-30610-S
what is said during a conversation	1-7612-B
what is true and what is fake	19-16033-B
what is true and what is false	55-51276-B
what is your name	59-42419-B
what it is	2-20835-S
what kind	5-2812-B,43-16818-B
what may	11-50532-S
what not	43-16884-S
what odd	18-27455-S
what one acquires	26-28387-B
what one anticipates	26-28621-B
what one can	64-5225-S
what one considers	26-28552-B
what one desires	57-62747-S
what one discovers	26-29197-B
what one does	26-29143-B,57-55956-S
what one has just learned	41-20682-S
what one has sown	53-796-S,53-15509-S
what one hears	26-29570-B,51-69346-S
what one hears and sees	26-29869-B
what one hopes to gain	34-55223-B
what one intends to hide	35-41079-S
what one is allowed to wear depending on social status	9-11388-S
what one is not	26-48362-S
what one is told	52-1666-S
what one knows	26-29271-B
what one might expect	5-58317-S
what one reads in the news	45-41030-S
what one says	57-56285-B,58-31194-S,58-33313-S
what one says and what one does	57-55956-B
what one sees	26-29712-B
what one sees and hears	57-30720-B
what one thinks	24-35759-S,24-35876-S,26-28504-B
what one wants	65-10751-S
what one was searching for	26-59145-S
what one would expect or what would be normal	6-11306-S
what one writes	48-14170-S
what or how	40-61803-S
what others say 成语 saw	27-53744-S
what place	5-2368-B
what reason	40-32960-S,50-19161-S
what s another s	1-71497-S
what s going on	24-30901-S,24-52074-B
what s gone can never come back	52-5283-B
what s good for one	2-21414-S
what s he up to	22-52745-B
