inverted reflection in water	5-58169-B
inverted sugar	61-21688-B
inverting the word order for heightened effect	5-60748-S,5-60873-S
inverting traditional chinese expectations	5-57530-S
invest	8-45500-S,27-553-S,27-2617-B,27-3286-S
invest with rank or title	8-7822-S
investigate	6-20585-B,6-21041-S,10-2961-S,10-3396-S,20-20557-S,20-21049-S,20-21798-S,28-23198-S,28-23579-S,28-23907-B,33-45415-S,33-46049-S,33-46685-S,33-46962-B,33-64800-S,46-14665-S,46-14989-S,47-44202-S,49-1680-S,51-33654-B,51-33894-S,58-15639-B,58-37968-S,59-6839-B,61-36002-B,61-38335-B,61-58062-S,61-59095-B,63-57908-S
investigate a crime	6-20203-S
investigate and arrest	6-20968-S
investigate and capture a criminal	33-46369-S
investigate and deal with	47-44380-S
investigate and evaluate	51-34200-S
investigate and find out	33-46122-S
investigate and plan forward	46-13406-S
investigate and reconsider a judgment	63-57908-S
investigate and take care of	33-46754-S
investigate as detective	6-20807-S
investigate in an archive	65-35963-S
investigate in detail	61-56577-S
investigate on the spot	10-3309-S
investigate the evidence of a case	34-4653-B
investigate the origin of sth	39-23623-S
investigate then ratify	57-28945-S
investigate thoroughly	20-22646-S,24-29658-S,38-61968-S,57-28898-S
investigating	46-13319-S
investigating team	58-38200-B
investigating team legal or judicial	20-39530-S
investigation	6-21151-S,20-39445-S,23-65184-S,29-54298-S,31-48761-S,32-63521-S,51-33220-S,51-64169-S,57-35169-S,58-37968-B,58-38328-S,62-30981-S
investigation 成语 saw	34-35399-S
investigative follow up	61-60591-B
investigative reporter	28-22341-B
investigator	6-20336-B,25-46699-S,37-35166-S,46-14387-B,58-38071-B,58-38141-B,58-38413-B
investigatory	6-20415-B
investing	7-56994-S,47-12070-S
investiture of the gods	20-33911-B,20-33982-B
investment	12-19982-S,16-43364-S,16-50809-S,27-3286-B,32-45750-S,32-56324-S,34-33105-S,42-21739-S,45-66546-S,48-43053-S,52-10109-B,61-26493-S
investment and relations with israel	65-22502-S
investment banking	27-3443-B
investment company	2-56464-S
investments	7-57188-S,25-55833-S,29-54555-S
investments for a single sum	18-8498-S
investor	16-45864-S,27-3339-B,27-3391-B,30-8153-S
investors	52-10346-S
invidious comparisons	29-31792-S
invigilator	45-9841-S
invigorate	6-17990-S,28-57233-S
invigorate the country	53-23344-S
invigorate the country through science and education	47-19285-S
invigorating	41-41718-B
invincible	26-18920-B
invincible position	2-12768-B
inviolability	1-75615-B,1-75693-B
inviolable	1-75615-B
invisibility	66-49962-S
invisible	24-19910-S,45-37665-S,66-47410-B
invisible assets	40-50723-B
invisible export	40-50958-B
invisible injury damage	31-60603-S
invisibles trade	40-50885-B
invitation	2-34040-S,14-7842-S,25-61749-S,25-61749-S,41-62384-S,49-8103-S,58-42849-S,58-42961-S
invitation card	22-23999-B,58-42849-B,58-42961-B
invite	27-43566-S,49-8103-S,58-42117-S,63-8507-B
invite a snub	53-13907-S
invite applications for a job	27-42863-S
invite bids	27-42625-S
invite death by recklessness	5-7699-S
invite disaster	25-27123-S,27-42675-S
invite disaster by overreaching oneself	4-36415-S
invite job applications	24-23709-S
invite one and he ll tell all his friends	27-33444-B,27-34604-B,27-34788-B
invite sb to dinner	19-60229-S
invite the attention of criminals	23-31361-S
invite the groom to live with the bride s family	27-43478-S
invite the talented and call the valorous 成语 saw	27-44014-B
invite to come	63-8322-B
invite to dinner	58-42762-B
invite trouble	53-3361-S
invited	30-10902-S
invited e g to lecture	11-64002-B
inviting to sleep on	46-29840-S,49-66245-S
inviting trouble	27-44403-S
invocation	65-37530-B
invoice	8-39641-B,13-60248-S,44-32235-B,49-51422-B
invoices	14-18353-B
invoke	46-54683-B,58-59271-S
involucrata	67-17208-S
involuntarily	2-19193-B
involuntary	2-35962-B,53-9536-B
involuntary muscle	2-36028-B
involve	10-15520-S,17-63500-S,22-28512-B,37-37795-B,38-34675-S,41-63806-B,41-63997-B,42-310-S,50-45316-S,62-23328-S,65-53366-S
involve in	23-27332-S
involve others in a crime	33-54782-S
involve others in a law case	33-54576-S
involve others in shady business	33-54275-S
involve sb	27-23277-S
involve sb in a messy business	27-35260-S,27-35393-S
involve sb unreasonably	52-22482-S
involved	4-23677-S,9-4076-S,20-50993-S,23-7032-S,32-40549-S,38-34409-S,43-65507-S,43-65575-S,49-14386-B,56-6398-S,63-26633-S,64-48203-B,66-65991-S
involved for the first time	38-35685-S
involved in	28-7583-S
involved in a currently widespread fraud in prc called 碰磁	46-31310-S
involved in a law suit	38-35618-B
involved in a love affair	41-2972-B,68-55887-B
involved in adventure	38-35828-B
involved in fencing	9-43693-S,29-19285-S
involved in historical incident in 1856 used as pretext for the second opium war	3-63343-S
involved in local immune responses	49-39108-S
involved in some matter	43-65323-B
involved in the case	38-34998-S
involved or implicated	43-65410-S
involved with	62-44078-S
involvement	18-61064-S,32-40649-S
involvement with sb and everyone connected	25-33806-B,25-33955-B
involving assembly	9-55172-S
involving death or casualties	8-30723-S
involving deliberately crashing cars then demanding compensation	46-31176-S,46-31423-S
involving everyone	12-36105-B
involving fly over bridges or underpass tunnels	47-60282-S,47-61990-S
involving litigation	41-39452-S
involving local heating of body tissues with electric current	40-42463-S
involving many internet users	4-15855-S
involving money	53-9413-S
involving others	27-33444-S,27-34604-S,27-34788-S
involving people rather than governments	36-23351-B
involving private interests	7-54219-S
involving several medicines	57-5883-S
involving shooting gelatin paintballs	39-43788-S
involving sliding wooden blocks	54-33652-S
involving the boxer uprising and the eight nation military invasion	22-62270-S
involving the use of tonics to restore the patient s health	56-57428-S
involving throwing and grabbing	27-109-S
involving weapons	8-826-S
invulnerable	40-52668-B
inward flowing of river	7-29231-B
inward flowing river	7-29310-B
inward looking	8-7227-B
inwardly	31-60935-B,31-61572-B,31-62711-B,71-35875-S,71-36251-S,71-36446-S,71-36608-S
inwards	6-33821-S
iodic acid	46-29292-B
