wei3 xiong2	40-50156-S
wei3 ya2	21-15237-B
wei3 yan2	65-51437-S
wei3 ye4	6-10897-B,21-15905-B,54-42186-B
wei3 yi2	49-62193-S
wei3 yi4	21-15426-B
wei3 yin1	21-15772-B,69-21839-S
wei3 you4	21-15577-B
wei3 yu2	70-52092-S
wei3 yu3	21-15301-B
wei3 yu3 long2	21-15347-B
wei3 yuan2	15-2688-S,18-41128-B,29-55980-S,40-50207-S
wei3 yuan2 hui4	2-51045-S,2-65966-S,2-66122-S,15-5463-S,15-5708-S,15-6250-S,15-6417-S,15-6652-S,15-7023-S,15-7572-S,15-13746-S,15-20582-S,15-20795-S,18-15163-S,18-41197-B,19-24283-S,20-69128-S,22-30145-S,30-4608-S,35-30519-S,49-38598-S,51-5233-S,51-64275-S,63-1148-S,65-6555-S
wei3 yuan2 hui4 hui4 yi4	18-41252-B
wei3 yuan2 hui4 xuan1 chuan2 bu4	2-54596-S
wei3 yuan2 zhang3	18-41336-B
wei3 yun4	21-15866-B
wei3 zao4	6-24830-B
wei3 zao4 pin3	6-24892-B
wei3 zao4 zhe3	6-24968-B
wei3 zhen4	55-47254-S
wei3 zheng4	6-24742-B
wei3 zhuang1	6-24678-B
wei3 zi5	21-14886-B
wei3 zuo4	53-37955-S
wei4	1-4701-S,1-25358-S,1-46068-S,1-48753-S,2-41953-S,2-51335-S,2-69229-S,2-81335-S,3-11586-S,3-16053-S,3-28929-S,3-58462-S,3-64992-S,4-66195-B,5-39091-S,5-53092-S,5-55367-S,5-63916-S,7-24233-S,8-65725-S,9-14018-S,9-23553-S,9-53632-S,10-10985-S,10-43888-S,10-47269-S,10-47656-S,10-48058-S,11-6530-S,11-23983-S,11-30247-S,11-34257-S,11-52569-S,11-58171-S,11-67737-S,12-6883-S,12-16798-S,12-23131-S,12-28273-S,12-45622-S,12-57000-S,13-15583-B,13-33361-S,13-33474-S,13-47731-S,14-2716-B,14-16752-S,14-25214-S,14-39017-S,14-57310-S,14-60970-S,15-16050-S,15-33943-S,15-38563-S,15-41316-S,16-35994-S,16-58192-S,17-26742-S,17-34434-S,17-47416-S,18-47857-S,19-16799-S,19-17529-S,19-22373-S,19-28958-S,19-43611-S,20-26062-S,20-42082-B,20-44882-S,20-46967-S,21-3787-S,21-7513-S,21-31540-S,21-44252-S,21-53183-S,21-58029-S,22-1850-S,22-12431-S,22-24906-S,22-26969-S,22-43829-S,22-59071-S,22-64151-S,23-26641-S,24-1307-S,24-11692-S,24-13121-S,24-30000-B,24-48119-S,24-64856-S,25-28539-S,25-51503-B,26-29949-S,27-49097-S,28-2862-S,28-38159-S,29-20230-S,29-35732-S,29-66483-S,30-11736-S,30-17911-S,30-20083-S,30-61563-S,32-31336-S,32-46433-S,32-55920-B,32-60781-S,33-53198-S,35-22385-S,35-38306-S,36-27130-S,36-38676-S,36-56208-S,36-64317-S,37-10095-S,37-28771-S,37-50044-S,37-58939-S,39-4776-B,39-27254-S,39-33969-S,39-65046-S,40-31708-B,40-48615-S,40-53688-S,41-5315-B,41-22336-S,41-40742-B,41-40864-S,41-45657-S,41-60402-S,42-1497-S,42-32892-S,42-38931-S,42-54122-S,43-16977-S,43-48064-B,44-23135-S,44-50454-S,44-56920-S,44-59701-S,45-26420-S,46-30155-S,46-37474-B,46-57695-S,47-7227-S,47-35104-S,47-44019-S,47-45631-S,48-9871-S,48-10841-S,48-33069-S,48-57924-S,50-32723-S,50-42773-S,50-55094-B,51-2490-S,51-68065-S,52-15419-S,52-15930-B,52-43165-S,52-44483-S,52-54259-S,53-6091-S,53-6345-S,53-12246-S,53-13355-S,53-16380-S,53-39480-S,53-66925-S,54-34766-S,54-43437-S,55-11261-B,55-20929-B,56-2610-S,56-7490-B,56-36962-B,56-40413-B,57-9506-B,57-60770-S,58-36313-S,58-47409-S,58-52185-B,59-1742-S,59-5426-S,59-6889-B,59-13700-S,60-10563-S,60-30548-S,60-35510-S,60-54248-B,60-58473-S,61-33058-S,61-61813-S,62-4814-S,62-10683-S,62-52860-S,62-59316-S,63-22873-S,64-11283-S,64-26634-S,64-36552-S,64-47761-S,65-63234-S,66-25938-S,66-34326-S,66-46409-S,67-25034-S,67-46033-B,67-50715-S,68-13864-S,68-17243-S,68-33517-S,68-54017-S,69-18185-B,69-18669-B,69-21148-S,69-25062-S,70-5428-S,70-5934-S,70-43118-S
wei4 Wen2 mo3	61-48764-S
wei4 Yi1 ti3	1-30336-S
wei4 ai4	30-63941-S
wei4 an1 fu4	25-51584-B
wei4 bao4	56-37231-B
wei4 bi4	32-57907-B
wei4 bian4	32-56406-B
wei4 bing1	49-13242-S,56-37044-B
wei4 bing4	52-16138-B
wei4 bo2 shi4	1-30402-S
wei4 bu3	9-24666-S,32-56797-B
wei4 bu3 xian1 zhi1	32-56873-B
wei4 ceng1 tang1	13-15611-B
wei4 ceng2	32-58517-B
wei4 cha1	45-26469-S
wei4 chang2	32-57275-B
wei4 cheng2	32-57965-B,56-37171-B,66-54509-S
wei4 cheng2 guan1	32-58067-B
wei4 cheng2 nian2 ren2	32-58131-B
wei4 cheng2 nian2 zhe3	32-58218-B
wei4 chu1 huo4	32-56645-B
wei4 ci2	58-52216-B
wei4 ci3	40-32748-B
wei4 ci4	4-66632-B
wei4 dao4	13-15868-B,31-41777-S,52-44557-S
wei4 ding4	32-57785-B,41-327-S
wei4 dui4	15-10825-S,38-18061-S,38-18138-S,51-4438-S,53-13400-S,53-35835-S,56-38921-B,59-48515-S,68-4769-S
wei4 er5	2-14428-S
wei4 fa1 huo4	32-58671-B
wei4 fa3	10-47715-S,62-28709-S
wei4 fu1	32-57676-B
wei4 fu2 wu4 wang3 lu4	30-17072-S
wei4 gai4 nian4	1-46146-S
wei4 gen1	14-16999-S
wei4 guan1	5-21092-S,32-56594-B
wei4 guan1 zhong4	12-28442-S
wei4 guo2	5-36487-S
wei4 he2	40-32224-B
wei4 hu4	56-38809-B
wei4 hun1	32-57530-B
wei4 hun1 fu1	32-57573-B
wei4 hun1 qi1	32-57624-B
wei4 huo4 bi4	32-61017-S
wei4 ji3	32-57858-B
wei4 ji4	9-6914-S,19-29012-S,43-17021-S,46-2140-S,58-36395-S,67-25153-S
wei4 jian4	9-20638-S,56-38674-B,59-5486-S
wei4 jiao1 tang2	33-35788-S
wei4 jiao3	30-61654-S
wei4 jie1 ceng2	12-48896-S,61-47169-S
wei4 jie2 gou4	3-8002-S
wei4 jie3 jue2	62-61451-S
wei4 jie4	25-51640-B
wei4 jin4	25-29685-S
wei4 jing1	13-15687-B,32-58910-B
wei4 jing1 zheng4 shi2	32-58954-B
wei4 ju1	4-66509-B
wei4 ju4	3-7907-S,43-48094-B
wei4 jue2	13-15823-B,26-3050-S
wei4 jue2 ding4	32-58618-B
wei4 jun4 jie2	58-62673-S
wei4 ke3	32-57047-B
wei4 ke3 tong2 ri4 er2 yu3	32-57086-B
wei4 kou3	5-59875-S,20-54965-S,52-15960-B
wei4 kuai4	7-5151-S
wei4 lai2	15-35282-S,32-56189-B
wei4 lai2 xue2	32-56265-B
wei4 lai2 ye4 ji4	32-56324-B
wei4 lan2	55-11528-B
wei4 lao3	20-28882-S
wei4 le5	40-31828-B
wei4 li3 gong1 hui4	56-37842-B
wei4 li3 qi4	13-24971-S
wei4 li4	40-32260-B
