鷇 鷇 [01\[ kòu\]]	fledglings
鷊 鷊 [01\[ nì\]]	pheasant
鷏 鷏 [01\[ zhēn\]]	bird name
鷓 鹧 [01\[ zhè\]]	partridge;francolinus chinensis
鷓鴣 鹧鸪 [01\[ zhè gū\]]	partridge
鷕 鷕 [01\[ yǎo\]]	cry of hen pheasant
鷖 鹥 [01\[ yī\]]	wigeon (anas penelope
鷗 鸥 [01\[ ōu\]]	common gull
鷙 鸷 [01\[ zhì\]]	birds of prey
鷞 鷞 [01\[ shuāng\]]	the turquoise kingfisher
鷟 鷟 [01\[ zhuó\]]	phoenix;river gull
鷥 鸶 [01\[ sī\]]	heron
鷦 鹪 [01\[ jiāo\]]	eastern wren
鷦鷯 鹪鹩 [01\[ jiāo liáo\]]	wren
鷩 鷩 [01\[ bì\]]	phasianus pictus
鷫 鷫 [01\[ sù\]]	(ominous mythical bird);teal
鷭 鷭 [01\[ fán\]]	water-hen;gallinula
鷯 鹩 [01\[ liáo\]]	eastern wren
鷯哥 鹩哥 [01\[ liáo gē\]]	hill myna (gracula religiosa
鷲 鹫 [01\[ jiù\]]	black eagle;vulture (also 老鵰|老雕);condor;cruel
鷲科 鹫科 [01\[ jiù kē\]]	aegyptiidae (the vulture family)
鷲鳥 鹫鸟 [01\[ jiù niǎo\]]	vulture
鷳 鷳 [01\[ xián\]]	phasianus nycthemerus
鷴 鷴 [01\[ xián\]]	silver pheasant badge worn by civil officials of the 5th grade
鷸 鹬 [01\[ yù\]]	common snipe;sandpiper
鷸蚌相爭 鹬蚌相争 [01\[ yù bàng xiāng zhēng\]]	lit. sandpiper and clam war together (and the fisherman catches both
鷸蚌相爭漁翁得利 鹬蚌相争渔翁得利 [01\[ yù bàng xiāng zhēng yú wēng dé lì\]]	lit. sandpiper and clam war together (and the fisherman catches both
鷹 鹰 [01\[ yīng\]]	eagle;falcon;hawk
鷹嘴星雲 鹰嘴星云 [01\[ yīng zuǐ xīng yún\]]	eagle or star queen nebula m16
鷹派 鹰派 [01\[ yīng pài\]]	war hawk
鷹潭 鹰潭 [01\[ yīng tán\]]	yingtan prefecture level city in jiangxi
鷹潭市 鹰潭市 [01\[ yīng tán shì\]]	yingtan prefecture level city in jiangxi
鷹爪翻子拳 鹰爪翻自拳 [01\[ yīng zhuǎ fān zi quán\]]	ying zhua fan zi quan - eagle claw - martial art
鷺 鹭 [01\[ lù\]]	heron
鷽 鷽 [01\[ xué\]]	oriental bullfinch
鷾 鷾 [01\[ yì\]]	a swallow
鸂 鸂 [01\[ xī\]]	a kind of water bird resembling a duck
鸂鶒 鸂鶒 [01\[ xī chì\]]	a kind of water bird resembling a mandarin duck
鸇 鸇 [01\[ zhān\]]	sparrow hawk;swift
鸏 鸏 [01\[ méng\]]	tropic bird
鸑 鸑 [01\[ yuè\]]	young phoenix
鸒 鸒 [01\[ yú\]]	the eastern jackdaw
鸓 鸓 [01\[ lěi\]]	flying squirrel
鸕 鸬 [01\[ lú\]]	fishing cormorant
鸕鷀 鸬鹚 [01\[ lú cí\]]	cormorant (phalacrocorax carbo)
鸚 鹦 [01\[ yīng\]]	parrot
鸚鵡 鹦鹉 [01\[ yīng wǔ\]]	parrot
鸚鵡學舌 鹦鹉学舌 [01\[ yīng wǔ xué shé\]]	to parrot;to repeat uncritically what sb says
鸚鵡熱 鹦鹉热 [01\[ yīng wǔ rè\]]	psittacosis (ornithosis; parrot fever)
鸚鵡螺 鹦鹉螺 [01\[ yīng wǔ luó\]]	nautilus;ammonite (fossil spiral shell)
鸛 鹳 [01\[ guàn\]]	crane;stork
鸝 鹂 [01\[ lí\]]	chinese oriole
鸞 鸾 [01\[ luán\]]	(mythical bird)
鸡巴 鸡巴 [01\[ jī ba\]]	cock (taboo);penis
鹜 鹜 [01\[ wù\]]	duck
鹮 鹮 [01\[ huán\]]	spoonbill;ibis;family threskiornidae
鹵 卤 [01\[ lǔ\]]	alkaline soil;salt;brine;halogen (fluorine
鹵代烴 卤代烃 [01\[ lǔ dài tīng\]]	haloalkane (obtained from hydrocarbon by substituting halogen for hydrogen
鹵化 卤化 [01\[ lǔ huà\]]	to halogenate (combine with a halogen such as chlorine);halogenation
