服务业	32-43144-S
服务中心	32-42546-S
服务台	32-42616-S,32-43202-S
服务员	32-42703-S
服务器	32-42799-S
服务广告协议	32-42858-S
服务提供商	32-42969-S
服务提供者	32-43063-S
服务规章	32-43289-S
服务质量	32-43433-S
服务费	32-43363-S
服務 服务	32-42498-B
服務中心 服务中心	32-42546-B
服務台 服务台	32-42616-B
服務員 服务员	32-42703-B
服務器 服务器	32-42799-B
服務廣告協議 服务广告协议	32-42858-B
服務提供商 服务提供商	32-42969-B
服務提供者 服务提供者	32-43063-B
服務業 服务业	32-43144-B
服務臺 服务台	32-43202-B
服務規章 服务规章	32-43289-B
服務費 服务费	32-43363-B
服務質量 服务质量	32-43433-B
服完	32-43511-S
服完 服完	32-43511-B
服役	32-43566-S
服役 服役	32-43566-B
服從 服从	32-43636-B
服服	32-43688-S
服服 服服	32-43688-B
服毒	32-43738-S
服毒 服毒	32-43738-B
服气	32-43784-S
服氣 服气	32-43784-B
服法	32-43827-S
服法 服法	32-43827-B
服用	32-43895-S
服用 服用	32-43895-B
服罪	32-43947-S
服罪 服罪	32-43947-B
服老	32-44015-S
服老 服老	32-44015-B
服药	32-44104-S
服药过量	32-44150-S
服藥 服药	32-44104-B
服藥過量 服药过量	32-44150-B
服装	32-44224-S
服裝 服装	32-44224-B
服輸 服输	32-44290-B
服输	32-44290-S
服飾 服饰	32-44399-B
服饰	32-44399-S
朏	32-44461-S
朏 朏	32-44461-B
朐	32-44497-S
朐 朐	32-44497-B
朓	32-44529-S
朓 朓	32-44529-B
朔	32-44587-S
朔 朔	32-44587-B
朔州	32-44645-S
朔州 朔州	32-44645-B
朔州市	32-44732-S
朔州市 朔州市	32-44732-B
朔日	32-44830-S
朔日 朔日	32-44830-B
朔望	32-44910-S
朔望 朔望	32-44910-B
朔望潮	32-44991-S
朔望潮 朔望潮	32-44991-B
朕	32-45064-S
朕 朕	32-45064-B
朗	32-45114-S
朗 朗	32-45114-B
朗县	32-45150-S
朗縣 朗县	32-45150-B
朗誦 朗诵	32-45206-B
朗讀 朗读	32-45283-B
朗诵	32-45206-S
朗读	32-45283-S
朘	32-45351-S
朘 朘	32-45351-B
望	32-45379-S
望 望	32-45379-B
望京	32-45491-S
望京 望京	32-45491-B
望城	32-45559-S
望城 望城	32-45559-B
望夫石	32-45626-S
望夫石 望夫石	32-45626-B
望奎	32-45680-S
望奎 望奎	32-45680-B
望子成龍 望子成龙	32-45750-B
望子成龙	32-45750-S
望安乡	32-46013-S
望安鄉 望安乡	32-46013-B
望文生义	32-46090-S
望文生義 望文生义	32-46090-B
望日	32-46281-S
望日 望日	32-46281-B
望江	32-46366-S
望江 望江	32-46366-B
望而兴叹	32-46573-S
望而生畏	32-46433-S
望而生畏 望而生畏	32-46433-B
望而興嘆 望而兴叹	32-46573-B
望花	32-46686-S
望花 望花	32-46686-B
望花区	32-46772-S
望花區 望花区	32-46772-B
望謨 望谟	32-46868-B
望谟	32-46868-S
望远镜	32-46931-S
望远镜座	32-46988-S
望遠鏡 望远镜	32-46931-B
望遠鏡座 望远镜座	32-46988-B
望都	32-47074-S
望都 望都	32-47074-B
朝	32-47135-S,32-47231-S
朝 朝	32-47135-B,32-47231-B
朝三暮四	32-47262-S
朝三暮四 朝三暮四	32-47262-B
朝中社	32-47459-S
朝中社 朝中社	32-47459-B
朝代	32-47547-S
朝代 朝代	32-47547-B
朝前	32-47607-S
朝前 朝前	32-47607-B
朝后	32-47833-S
朝向	32-47658-S
朝向 朝向	32-47658-B
朝圣	32-48696-S
朝圣者	32-48785-S
朝夕	32-47701-S
朝夕 朝夕	32-47701-B
朝廷	32-47765-S
朝廷 朝廷	32-47765-B
朝後 朝后	32-47833-B
朝拜圣山	32-47889-S
朝拜聖山 朝拜圣山	32-47889-B
朝日	32-47980-S
朝日 朝日	32-47980-B
朝日新聞 朝日新闻	32-48019-B
朝日新闻	32-48019-S
朝核問題 朝核问题	32-48109-B
朝核问题	32-48109-S
朝歌	32-48186-S
朝歌 朝歌	32-48186-B
朝歌鎮 朝歌镇	32-48226-B
朝歌镇	32-48226-S
朝气	32-48310-S
朝气蓬勃	32-48361-S
朝氣 朝气	32-48310-B
朝氣蓬勃 朝气蓬勃	32-48361-B
朝着	32-48840-S
朝秦暮楚	32-48488-S
朝秦暮楚 朝秦暮楚	32-48488-B
朝綱 朝纲	32-48623-B
朝纲	32-48623-S
朝聖 朝圣	32-48696-B
朝聖者 朝圣者	32-48785-B
朝著 朝着	32-48840-B
朝覲 朝觐	32-48900-B
朝觐	32-48900-S
朝野	32-49052-S
朝野 朝野	32-49052-B
朝阳	32-49150-S,32-49233-S,32-49315-S
朝阳区	32-49366-S
朝阳县	32-49681-S
朝阳地区	32-49459-S
朝阳市	32-49544-S
朝阳门	32-49770-S
朝陽 朝阳	32-49150-B,32-49233-B,32-49315-B
朝陽區 朝阳区	32-49366-B
朝陽地區 朝阳地区	32-49459-B
朝陽市 朝阳市	32-49544-B
朝陽縣 朝阳县	32-49681-B
朝陽門 朝阳门	32-49770-B
朝韓 朝韩	32-49852-B
朝韩	32-49852-S
朝鮮 朝鲜	32-49908-B
朝鮮中央新聞社 朝鲜中央新闻社	32-49987-B
朝鮮中央通訊社 朝鲜中央通讯社	32-50113-B
朝鮮半島 朝鲜半岛	32-50234-B
朝鮮戰爭 朝鲜战争	32-50308-B
朝鮮族 朝鲜族	32-50395-B
朝鮮日報 朝鲜日报	32-50448-B
朝鮮核談 朝鲜核谈	32-50516-B
朝鮮民主主義人民共和國 朝鲜民主主义人民共和国	32-50611-B
朝鮮箏 朝鲜筝	32-50796-B
朝鮮語 朝鲜语	32-50878-B
朝鲜	32-49908-S
朝鲜中央新闻社	32-49987-S
朝鲜中央通讯社	32-50113-S
朝鲜半岛	32-50234-S
朝鲜战争	32-50308-S
朝鲜族	32-50395-S
