in fact, truly, indeed.	enim
in great profusion, profusely, abundantly.	abunde
in his own name.	verbis suis, meis, etc
in many ways, in various ways.	multipliciter
in many ways.	multifariam
in no wise.	nequaquam
in no wise.	nullatenus
in order that.	quatenus
in order to, for the sake of, to.	gratia
in reality.	revera
in reserve.	subsidarius
in rich abundance.	cumulatius
in single fortresses.	castellatim
in the common way, ordinary manner.	vulgariter
in the end.	iam tandem
in the highest.	in excelsis
in the least degree, very little/not at all, by no means.	minime
in the rear, fom behind.	tergo (a tergo )
in the same place, at the moment, in that matter.	ibidem
in time past.	pridem
in troops, in masses.	catervatim
in troops, or crowds.	gregatim
in truth, indeed, to be sure /however.	vero
in truth.	re vera
in turn, on the other hand.	vicissim
in vain, mistakenly, wantonly, without reason.	frustra
in vain.	casso
in vain.	incassum
in vilages, in a village manner, in a rusticway.	pagatim
in want of, in need of, destitute.	egenus
in what manner, how/ in whatever way, somehow.	quomodo
incentive.	stimulus
incessantly.	incessanter
incited.	instigatus
inciter.	aspirator
inclined to steal,.	furax
inclined, ready.	proclivus
inclining toward.	petitus
inconsiderate, without advice.	inconsultus
inconsistent, changeable, fickle, unreliable / faithless.	inconstans
inconsolable / uncurable.	inconsolabilis
inconstan.	devius
inconstantly, changeably, inconsistently.	inconstanter
incontinent.	incontinens
inconvenience, uncomfortable / disadvantage.	incommoditas
inconvenience, unseemly event.	inopportunitas
inconvenient, troublesome, irksome.	incommodus
inconveniently.	incommode
increase, enlarge, enrich.	augeo
increase, enlargement, growth.	autus
increase, growth.	augmentum
increasingly.	incrementabiliter
incredible, unbelievable.	incredibilis
incredulous.	incredulus
indeed, certainly, at least/ 	quidem
indeed.	enimvero
indefatigable.	impiger
indescribable, inexpressible.	indicibilis
indescribable.	inennarabilis
indestructible.	indissolubilis
indifferently.	indifferente
indigence, poverty, destitution.	indigentia
indigenous, born from the earth, human being.	terrigenus
indignant.	indignatus
indignation.	indignatio
indiscreetly.	inconsulte
indiscrimately.	promisce, promiscue
indiscriminately.	indifferenter
indisposition.	imbecillitas
indissoluble.	insolubilis
indulgence, forbearance, humanity, mercy, gentleness, etc.	clementia
indulgence, pliancy, submission.	obsequium
indulgent.	indulgens
industrious, diligent, assiduous, hard-working.	industrius
ineffectual, unproductive, profitless /weak.	inefficax
ineffectually, vainly, in vain,.	inefficaciter
inestimable.	inaestimabilis
inexpensive, cheap, economical.	insumptuosus
inexpressible.	inedicibilis
infamous.	flagitiosa
infancy, babyhood.	infantia
infection.	contagio
