between.	14-2517-S,21-6165-S
bewail (dogs) whine, whimper.	30-2075-S
bewail as lost.	29-1575-S
bewail, mourn.	37-6655-S
bewail, weep for.	29-1603-S
bewail.	29-1631-S,34-6743-S,39-1895-S
beware, avoid, look out for.	3-1112-S
bewitch, envy.	29-1649-S
beyond a shadow of a doubt.	7-1710-S
beyond measure.	15-5630-S
beyond the seas, overseas, outre-mer.	7-0-B
beyond, after.	4-6042-S
beyond, more than.	4-5565-S
beyond, moreover, remaining.	1-5599-S
beyond, on the far side of.	1-924-S
beyond, outside.	2-8608-S
beyond.	2-9466-S,35-1006-S,35-1063-S
bickering, dispute, wrangling.	24-5454-S
bid farewell.	7-53-B
bid, proffer, tender.	34-7951-S
bid.	35-185-S
bier, litter.	7-76-B
bier.	7-99-B,17-4674-S
big dipper.	41-508-S
big toe.	27-3600-S
bill of a bird, beak.	7-114-B
bill-hook, pruning hook.	24-3892-S
billow, water.	7-144-B
billow, wave.	7-164-B
billow.	13-1444-S
bind around, encircle, surround.	30-5029-S
bind below, bind on.	29-1675-S
bind fast.	29-1707-S
bind on beneath, to tie.	29-1733-S
bind on.	29-1675-S
bind together, connect, couple.	29-1770-S
bind together, draw together.	29-1810-S
bind together.	34-2762-S
bind up.	31-3710-S
bind, confine, restrain.	29-1855-S
bind, fasten.	38-3537-S
bind, oblige, (+ refl.) commit oneself to.	2-7445-S
bind, tie.	29-1916-S
bind.	29-1935-S,29-1952-S,33-6194-S,38-3568-S
bird).	26-5856-S
bird, beak.	7-114-S
bird.	11-1338-S
birds.	7-186-B,13-5241-S,19-2536-S
birth to /to carry about.	29-6706-S
birth, aristocratic, well-bred.	19-5983-S
birth, child, description.	8-3375-S
birth, noble-mindedness, frankness, openness.	13-5655-S
birth, origin, rising / origin, source.	40-4169-S
birth.	1-3391-S,7-206-B
birthday.	7-223-B
birthplace / source, origin.	26-1791-S
bishop.	7-249-B,7-266-B,7-284-B
bit /restraint.	22-6085-S
bit by bit, gradually, by degrees.	24-5860-S
bit of money, a small property.	3-2657-S
bit, gradually, by degrees.	24-5860-S
bit.	13-2483-S,17-4767-S
bite, also, sting, pain.	3-2700-S
