contradiction, opposition.	9-2316-B
contradiction.	4-554-S
contrary, by no means/ by all means.	20-697-S
contrary, opposed.	9-2356-B
contrary.	7-4752-S,19-1595-S
contrast /compete.	30-1848-S
contribute.	29-7205-S
contributor.	9-2386-B
contrition.	9-5926-S
contrive evil.	31-3051-S
contrive, think out.	35-2408-S
contrive, toil, struggle.	29-4894-S
contrive.	38-4598-S
contrive/do maliciously.	30-4142-S
contriver, inventor, discoverer.	9-2408-B
control oneself.	6-4340-S
control, temprance.	18-5596-S
control, use with moderation, spare,.	1-1793-S
control.	21-3850-S
controversy, straining.	9-2450-B
convene.	29-5617-S,32-5514-S
convenience, advantage, opportunity, comfort.	9-2484-B
convenience, advantage.	13-612-S
convenience, fitness, advantage, opportunity.	9-2539-B
convenience, use.	26-479-S
convenient, suitable.	20-2483-S
conveniently.	1-4584-S
convent.	18-5767-S
conversation, rumor.	26-2900-S
conversation.	24-516-S
convert.	30-4178-S
convey across.	24-1221-S,36-7534-S
convey, carry.	36-5803-S
convey, offer, donate, furnish.	32-6684-S
convey.	8-115-S,29-6855-S,30-4199-S
conveyance, vehicle.	9-2597-B
convict /declare.	29-2002-S
convict.	11-182-S,26-1305-S
cookie	9-2628-B
cookie).	2-5045-S
cookie.	20-6127-S
cookies	9-2660-B
cookies).	2-5109-S
cooking spit.	21-3059-S
cool, grow lukewarm, decrease.	30-4220-S
coolness, cold of winter /dullness, indolence.	8-4238-S
cooly, deliberately.	24-5910-S
cooperation /plot, conspiracy.	5-1422-S
copious.	2-1734-S
copiously, affluently.	9-2695-B
copiously-flowing.	9-2729-B
copiously.	14-361-S
copper kettle, basin, cauldron.	9-2759-B
copper or bronze, brazen.	18-416-S
copper ore / brass.	9-2797-B
copulation.	9-2828-B
copy.	18-5409-S,32-4540-S
corbie.	9-2851-B
cord, line.	23-3703-S,23-3727-S
cord, string.	4-981-S
corner, niche.	9-2868-B
corpse, book, treatise.	7-1461-S
corpse.	7-1430-S,9-2891-B
correct, make right.	1-7852-S
correct, proper, upright, natural, plain.	23-2765-S
correct.	8-3454-S,27-6841-S,30-4262-S
corrector, editor.	9-2907-B
corrects.	20-1831-S
correctum) to make correct, make right.	1-7852-B
correspond to.	30-638-S
corridor, aisle.	9-2936-B
corrupt, awry.	9-2960-B
corrupt.	1-8599-S,13-4753-S,35-3156-S,36-127-S,40-6018-S
corrupted.	10-5878-S
corruption, decay.	23-3857-S
corruption.	7-4801-S
corselet, breastplate.	9-2984-B
cost of living /dearness, affection.	15-2099-S
cost of living.	42-3230-S
cost).	2-6438-S,2-9184-S
cost.	12-1953-S
costly, high-priced, expensive.	10-1505-S
cot.	4-331-S
cottage, cabin.	15-4958-S
cottage, hove, small shop, inn, tavern.	7-2084-S
cotton cloths, linens	9-3014-B
couch.	6-5238-S
cough.	3-3630-S,30-4282-S
coulter.	21-2721-S
council.	9-3043-B,10-2738-S
counsel.	38-1298-S
counsellor.	21-6019-S
counsellors.	9-3062-B
counselor.	5-515-S
count up, enumerate.	30-4299-S
count, count up, enumerate.	30-4299-S
count, estimate/prune, cut off.	30-4338-S
count, reckon, esteem, considered.	29-5377-S
count.	8-5179-S
countenance, look, aspect.	12-2164-S
countenance, sight / expression.	12-3021-S
countenance.	9-3087-B,12-3069-S
counterfeit.	9-3109-B
countess.	9-3132-B
counting from.	2-8135-S
countless.	9-3163-B
country / residents of a district.	22-5785-S
country estate /(med.) manor, village.	9-3184-S
country house, country estate /(med.) manor, village.	9-3184-B
country other than greece or rome, savagery, rudeness.	3-3646-S
country, countryside, rural area.	26-5229-S
country, homeland.	12-4301-S
country, land.	22-5849-S
country, soil, ground/ bottom, floor, foundation.	17-1542-S
country, soil.	11-3477-S
country-folk, peasants.	16-3105-S
country.	14-3999-S
countryman, peasant, pagan.	9-3244-B
countryside, fields.	17-1604-S
countryside, rural area.	26-5229-S
countryside, rural portions of a civitas.	11-757-S
countryside.	22-6401-S
couple.	29-1770-S,30-4380-S
courage /arrogance, ferocity.	15-2161-S
courage, moral bravery.	21-1252-S
courage, untamed spirit /arogance.	9-3280-B
courage, vivacity, bravery, will, spirit, soul.	9-3325-B
courage.	7-1807-S,9-3380-B,18-1257-S,18-1662-S
courageous, ardent, passionate, furious.	9-3399-B
courageous, brave, warlike.	3-1005-S
courageous, warlike /wild, arrogant, unbridled.	25-2511-S
courageous.	8-6715-S,25-5546-S
courageously /arrogantly, forciously.	42-752-S
course	3-7380-S
course of.	1-685-S
course, a holding fast.	24-1313-S
course, aim at.	32-107-S
course, conceive.	33-4145-S
course, no doubt, assuredly.	12-988-S
course, progress, movement.	9-3449-B
course, race track, course.	3-7173-S
course, to be sure.	1-4679-S
course, undoubtedly, certainly (sometimes ironical).	19-5755-S
course.	3-7173-S,3-7455-S,8-1330-S,9-3485-B,11-1639-S,27-881-S
courses of a meal.	4-2039-S
court, hall.	9-3500-B
court, hof.	40-6353-S
court.	4-506-S,8-5451-S,9-3518-B
courteous, generous, gentlemanly.	9-3531-B
courteous, kind, friendly, obliging.	9-3575-B
courteous.	9-3618-B
courteously, dutifully, solemnly, ceremoniously.	9-3639-B
courteously, generously, honorably.	9-3698-B
courteously, in a kindly, friendly manner.	9-3746-B
courteously.	9-3797-B
courtrai.	9-3821-B,9-3843-B,9-3863-B
courtyard.	25-5078-S
cousin.	18-2720-S
covenant, agreement / law.	8-5094-S
covenant, agreement.	17-2202-S
covenant, assembly.	9-3883-B
covenant, deal.	34-4150-S
covenant, pact.	5-1378-S,34-4471-S
covenanted.	9-3913-B
cover with earth, bury,.	9-3934-B
cover, bury, conceal, hide, protect, shield.	30-4409-S
cover, put on clothing, erase writing, revoke, anull.	9-3964-B
cover, shield, protect, defend.	30-4476-S
cover,.	39-3190-S
cover.	33-3652-S,37-4740-S
cover/ lead against / pass, spend.	31-3654-S
covered gallery.	40-4998-S
covered passage.	5-5305-S
covered wholly.	9-4025-B
covered with hair.	14-5019-S
covered with trees, forested.	42-1999-S
covering, awning, curtain.	23-5565-S
covering, blanket, carpet, tapestry.	8-3984-S
covering, garment.	9-4050-B
covering, monk's garb, nun's veil, mantle.	9-4077-B
covering.	8-366-S,9-4128-B,9-4147-B
